obi_d,ofi_d,n,p_exit_1s,c_unwind_1s,p_exit_10s,c_unwind_10s,t_exit_med,pnl
1,1,12214,0.1081545767152448,4.084176135132089,0.7545439659407237,4.140600010579421,4.398499965667725,-4.0955339682348555
1,2,8284,0.09295026557218734,3.6707684795150457,0.7349106711733462,3.536758427856902,4.728500127792358,-3.4538949287439396
1,3,6408,0.09082397003745318,3.3439310081847555,0.6935081148564295,3.2638127561962635,5.273999929428101,-3.16190057964856
1,4,4915,0.08728382502543235,3.237421468541096,0.6553407934893184,3.2642878536849684,5.880000114440918,-3.0232758917210063
1,5,3436,0.08643771827706635,2.95384132242078,0.6443538998835856,2.9345355533012456,5.92549991607666,-2.8281188406114173
1,6,2257,0.08949933540097474,2.7386490966938237,0.6087727071333628,2.6661895443129024,6.9730000495910645,-2.4639308218789355
1,7,1540,0.07272727272727272,2.1601048433976278,0.5149350649350649,2.036618464613669,9.588000297546387,-1.897780733398319
1,8,1669,0.08328340323547034,1.8525381593325714,0.5062911923307369,1.477082420024914,9.79699993133545,-1.0516353947255
1,9,1819,0.13578889499725125,2.2698679260487262,0.7163276525563497,2.007936046783894,4.564000129699707,-1.8046099462122986
1,10,2137,0.19606925596630792,2.547576124144242,0.8062704726251755,2.4959284029574924,3.1640000343322754,-2.5110742983390404
2,1,7112,0.11318897637795275,3.742985654785965,0.7734814398200225,3.629831177963801,4.200500011444092,-3.624437615702545
2,2,7019,0.10941729591109844,3.147899676209168,0.7476848553925061,3.055027506782556,4.5269999504089355,-3.025877828310529
2,3,6690,0.10239162929745889,2.9093213541770235,0.7029895366218236,2.7782028329697757,5.070500135421753,-2.709508449260719
2,4,6078,0.09279368213228036,2.8528700267823854,0.6676538334978611,2.634150812854256,5.646499872207642,-2.4817945122732294
2,5,5057,0.09333596994265375,2.7077041572296787,0.6474194186276448,2.61003147742626,6.039999961853027,-2.4734082590586572
2,6,3333,0.09390939093909391,2.497811730933584,0.6204620462046204,2.2639180235245697,6.763000011444092,-2.0167728816839467
2,7,2194,0.08979033728350046,2.0634174416430437,0.5478577939835916,1.9258559959695292,8.368500232696533,-1.6838401611368006
2,8,2100,0.08428571428571428,1.9155507218272678,0.4876190476190476,1.663160702290521,10.546000003814697,-1.1847758633395036
2,9,2525,0.15445544554455445,1.930692444109738,0.7251485148514851,1.6489116825536132,4.375999927520752,-1.5510937538012715
2,10,2572,0.20373250388802489,2.0601717691200157,0.8250388802488335,1.7871389311996833,3.0304999351501465,-1.8102585673868123
3,1,5751,0.13023821944009736,3.500787976884624,0.7835159102764736,3.4388526860773503,3.9760000705718994,-3.3826385309786597
3,2,5889,0.11343182204109356,3.044281421762089,0.7413822380709798,2.900435438356131,4.492000102996826,-2.7973410489325774
3,3,5814,0.10681114551083591,2.7043500703869157,0.7088063295493636,2.5525212369526367,5.150000095367432,-2.436949135357912
3,4,5724,0.09661076170510133,2.638793148771473,0.6752271139063591,2.496980286900038,5.485499858856201,-2.320863804792638
3,5,5430,0.09650092081031307,2.462932964962119,0.6539594843462246,2.344778800446248,5.9079999923706055,-2.24848107482696
3,6,4379,0.09385704498744006,2.383686885299173,0.615208951815483,2.2165338504493293,6.548999786376953,-2.0800006279462813
3,7,2934,0.0736196319018405,2.0724501349120383,0.5422631220177232,1.8020708781082568,8.642000198364258,-1.4199683503574745
3,8,2788,0.07998565279770445,1.7683415422388096,0.4935437589670014,1.4965571419724866,10.2524995803833,-1.0438489375413507
3,9,3071,0.15858026701400196,1.728035977747237,0.6971670465646369,1.5497485230315675,4.73799991607666,-1.397179282066882
3,10,2899,0.19385995170748535,1.9390049858158405,0.8020006898930666,1.6770361785353978,3.2909998893737793,-1.5629533468570564
4,1,4605,0.14071661237785016,3.4205791511990777,0.7871878393051032,3.4196952211158265,3.821000099182129,-3.2645619644404236
4,2,5106,0.12769291030160596,3.0580405053965443,0.7593027810419115,2.695136172085908,4.170500040054321,-2.6057255075386476
4,3,5223,0.11047290829025465,2.7835621884617483,0.717020869232242,2.724823313161555,4.781000137329102,-2.5844393247742405
4,4,5192,0.10651001540832049,2.5876051419173502,0.6864406779661016,2.387451280169123,5.460999965667725,-2.25688703496939
