dt,n,n_cand,fill,lat_med,edge_med,spr_med,mk1_med,pnl1_mean,ts_min,ts_max
2026-05-04,273596,136798,0.3930320618722496,14.936567,0.08624928,4.6153708,-0.6913418,-4.1465874,1777852800576195752,1777939199751696254
2026-05-05,374188,187094,0.3974152030530108,16.20526,-1.0252123,4.3749228,-0.66958493,-5.1472836,1777939200092349468,1778025599013000000
2026-05-06,430376,215188,0.4656161124226258,15.161879,-0.5256479,4.8824153,-0.5563216,-4.6210604,1778025600091000000,1778111998963721934
2026-05-07,378614,189307,0.4366610849044145,14.973045,-1.1790367,3.9838195,-0.6095006,-4.664561,1778112000330974856,1778198399999495182
2026-05-08,377326,188663,0.47051356121762083,14.036011,-0.7549791,3.8842494,-0.63545185,-4.0449567,1778198400247350539,1778284798997501568
2026-05-09,110964,55482,0.4393226632060849,14.923285,2.7443805,6.5691366,-0.39103997,1.5073789,1778284805377747001,1778371196664483587
2026-05-10,131000,65500,0.43844274809160305,11.799695,0.8413532,3.9369304,-0.5274748,-1.4168088,1778371200512356260,1778457599635292010
2026-05-11,545624,272812,0.5919735935369412,10.322795,-0.6374624,3.9147608,-0.82312083,-4.8593683,1778457600028837480,1778543992696572546
2026-05-12,618826,309413,0.5797445485483803,10.773,-1.0886201,3.0802402,-0.7829985,-5.1977444,1778544000264492001,1778630399953312777
2026-05-13,536756,268378,0.5804648667178383,10.106054,-0.7375538,2.3447962,-0.75259644,-4.3354664,1778630400227965033,1778716796280270770
2026-05-14,614278,307139,0.5806312451365668,10.924269,-0.9488086,2.0154433,-0.38119683,-3.284545,1778716800404243924,1778803199930671034
2026-05-15,729912,364956,0.585996668091496,11.369009,-1.4132278,2.4079301,-0.6040086,-4.3467045,1778803200071000000,1778889599900200176
2026-05-16,178502,89251,0.3919451882892068,15.115008,0.34924248,2.093145,-0.21004653,-0.80847824,1778889600510496409,1778975997181000000
2026-05-17,252320,126160,0.44843849080532655,14.854816,0.07067887,2.0747604,-0.3445745,-1.3348452,1778976000691991953,1779062399766900151
2026-05-18,737318,368659,0.5714698406928896,11.2840605,-1.7174047,2.2000082,-0.57476634,-4.760115,1779062400172490140,1779148799595357774
2026-05-19,796074,398037,0.5615947763650113,11.845586,-1.7783595,2.3785372,-0.44739726,-4.663864,1779148800360499917,1779235199738480740
2026-05-20,687428,343714,0.5098163007616797,13.50886,-1.7070673,1.6519597,-0.4133057,-4.166747,1779235200493848374,1779321599943553022
2026-05-21,739194,369597,0.5635489465553021,12.549421,-1.3909035,1.8612814,-0.4000547,-3.6909535,1779321600346369033,1779407999856123988
2026-05-22,528680,264340,0.4807842172959068,14.558476,-1.1830586,1.5784281,-0.33160347,-3.5889854,1779408000340445987,1779494389678265918
2026-05-23,299312,149656,0.4061614636232426,15.403042,-0.0,2.2332718,-0.39687526,-1.674236,1779494402015000000,1779580799905363201
2026-05-24,272062,136031,0.3666774485227632,15.756211,0.06437616,2.3295844,-0.38413766,-1.8658289,1779580800038000000,1779667199965469457
2026-05-25,356814,178407,0.40202738681778183,17.79869,0.0,1.8909907,-0.2528381,-1.4478441,1779667200177599165,1779753599838368171
2026-05-26,748562,374281,0.5809765924532637,10.275,-0.941239,1.5377913,-0.4398712,-3.310799,1779753600246981004,1779839999847546223
2026-05-27,891536,445768,0.6776035964896538,8.013,-0.9674775,1.4921157,-0.66245276,-3.6277316,1779840000065072432,1779926399947325614
2026-05-28,791250,395625,0.6220714060031596,9.766795,-1.1551347,1.3198851,-0.7027882,-3.8552456,1779926400408924672,1780012799039000000
2026-05-29,639736,319868,0.5293714907399302,11.691761,-1.098332,1.5578265,-0.47116348,-3.6495361,1780012800396402063,1780099199368000000
2026-05-30,213424,106712,0.3334207961616313,15.030495,0.051235545,1.5467027,-0.3594324,-2.1250803,1780099200594000000,1780185599921000000
2026-05-31,234376,117188,0.3515163668635014,13.188966,0.05014115,1.4271443,-0.407926,-2.0354245,1780185600212331937,1780271999984929744
2026-06-01,783434,391717,0.4870250716716405,12.091164,-1.4374012,1.9241871,-0.49440092,-3.9656296,1780272000268527945,1780358398602895876
2026-06-02,776196,388098,0.5073396410185056,11.936031,-1.4332808,1.9107672,-0.4876265,-4.0667353,1780358400156621692,1780444799899803444
2026-06-03,657564,328782,0.46966226861567845,12.031552,-0.94849664,1.8775817,-0.92429984,-4.2397494,1780444800176491034,1780531199296354876
2026-06-04,762070,381035,0.5720603094203944,10.116155,-1.4315026,1.9792182,-0.6577233,-4.326422,1780531200109476028,1780617599977000000
2026-06-05,905072,452536,0.6854128732299751,7.6575136,-1.4938751,1.8448777,-0.6227652,-4.362465,1780617600117000000,1780703999985522574
2026-06-06,367410,183705,0.6116981029367736,9.255411,-0.23258384,2.1780374,-0.46840328,-2.6692061,1780704000120466424,1780790398053000000
2026-06-07,407980,203990,0.632354527182705,10.167,-0.2799552,2.0111732,-0.3989411,-2.4514713,1780790400286482951,1780876799968903061
2026-06-08,872410,436205,0.6837507593906534,7.853576,-1.2621067,1.7031966,-0.7273521,-4.2078133,1780876800318906275,1780963199936581287
2026-06-09,793104,396552,0.6907026064677521,6.030027,-0.85509205,1.8435729,-0.72154677,-3.7510507,1780963200005000000,1781049599995278074
2026-06-10,970408,485204,0.6801376328307269,7.75502,-1.5828571,1.7918084,-0.7746576,-4.5554132,1781049600279054463,1781135999887474715
2026-06-11,863120,431560,0.6151033460005562,10.287692,-1.9570323,1.839578,-0.5550129,-4.798908,1781136000239281826,1781222399898161879
2026-06-12,761118,380559,0.5985313709569344,10.656433,-1.6134993,2.157841,-0.55466056,-4.1875443,1781222400104087008,1781308798046820332
2026-06-13,197952,98976,0.4354540494665373,14.413235,0.050777145,1.9177681,-0.2536687,-1.1554682,1781308800767000000,1781395199885271099
2026-06-14,251764,125882,0.4516014998172892,11.408,0.20121737,1.9839301,-0.49574897,-2.029297,1781395200491921443,1781481599910235711
2026-06-15,607144,303572,0.5234804263897856,11.348221,-0.48555475,1.852538,-0.48382804,-3.3928494,1781481600049204953,1781567999511798576
2026-06-16,714988,357494,0.5281305420510554,11.756989,-1.8190086,1.8628912,-0.48196256,-4.8014736,1781568000191817489,1781654398361839088
2026-06-17,778362,389181,0.5325658241281049,12.087878,-1.8642803,1.8951957,-0.4772928,-5.0259113,1781654400169393483,1781740799283021703
2026-06-18,678020,339010,0.5201955694522286,13.163031,-0.91709465,1.7787265,-0.45356616,-3.684132,1781740800025352528,1781827199474290844
2026-06-19,439202,219601,0.47374101210832376,11.943851,0.0,1.784599,-0.44765764,-2.8086963,1781827200145566952,1781913597588429574
2026-06-20,236472,118236,0.32476995162217936,15.161444,0.43510422,1.7604084,-0.87313366,-2.5957377,1781913600303358097,1781999999912121141
2026-06-21,232134,116067,0.3615368709452299,13.727444,0.43548316,1.748099,-0.4437443,-2.1600995,1782000000316242947,1782086399877058316
2026-06-22,729212,364606,0.5138094271624712,11.367863,-0.8618461,1.7015485,-0.83475935,-3.8942263,1782086400216617963,1782172798938210129
2026-06-23,1096914,548457,0.6561444197083819,8.640721,-1.4182385,1.8677624,-0.9254975,-5.269234,1782172800155591085,1782259199854297457
