window,n,mean_s,max_s,p1,p5,p25,p50,p75,p90,p95,p99,share_zero,share_lt_0.001,share_lt_0.01,share_lt_0.1,share_lt_1.0,share_lt_10.0,share_lt_60.0,share_lt_600.0,share_lt_3600.0,n_rejected,n_orphan,n_censored,n_nonresting,n_other_tif
開場前 1 時間,21100094,30.181877139050172,4327482.897327914,0.0,0.0,0.20003271728914718,0.5982211294344003,2.4865490295591055,9.574466086755429,21.39677937481159,103.65856355480737,0.11000581324424431,0.11000581324424431,0.11001638191754028,0.1698707124243143,0.60088888703529,0.9035263065652693,0.9816640627288201,0.9985116180051141,0.9997435556448232,0,0,1625,217217,0
開場後 1 時間,59183305,36.299846967160164,7137239.400778109,0.0,0.0,0.11556894033788144,0.37820868929245033,1.1421259870619385,4.030314324312981,8.551224904990066,38.69229867849966,0.15119255337294868,0.15119270544286095,0.1512075745009509,0.2412747817986846,0.7257514936011094,0.9573239615462502,0.9937961727551377,0.999242049763865,0.9996554940620501,0,0,3958,784031,0
昼 12 時から 1 時間,29863795,40.6020670352508,6304262.57265336,0.0,0.0,0.19506036560192258,0.5223671332453023,2.0523587146236473,7.729990303935163,17.334093912018428,79.56981119376144,0.11375322526825543,0.11375322526825543,0.11376795882773773,0.17933852680143297,0.6294076489608906,0.9188782269634519,0.9856010597447511,0.9986749842074659,0.9995528029843495,0,0,663,315727,0
閉場前 1 時間,30313743,32.826963270060126,5991658.865504499,0.0,0.0,0.19100443877295167,0.4938292903570277,1.9931874518309602,7.448660454057275,16.709185359309338,77.26464457978398,0.11660265774503663,0.11660265774503663,0.11661803031054264,0.18296562717444692,0.6345473734470863,0.9214905265905302,0.9859535326930758,0.9989206215807794,0.9996800461097793,0,0,509,278821,0
夜 12 時から 1 時間,13660680,29.652058281814593,2920540.997673544,0.0,0.0,0.20412506790978743,0.7224177596782723,3.069439501568268,12.212296837367816,29.5879337462636,156.6731175504719,0.09635757517195337,0.09635757517195337,0.09636518826295616,0.15084278381456853,0.560323424602582,0.8834820814190801,0.9729921204508121,0.9975617612007601,0.9994940954623049,0,0,250,121024,0
(参考)昼 12 時 UTC,9224103,32.494346768920735,4051700.3529137704,0.0,0.0,0.20226725641947305,0.658369841296637,2.825155566544113,10.766057748680538,24.253650026819496,121.3875451841209,0.10367024305778025,0.10367024305778025,0.10367718140181219,0.15953366956114864,0.5794654504616872,0.8932699472241366,0.9790085821895094,0.9981150470674492,0.9995494412844262,0,0,197,92743,0
(参考)夜 12 時 UTC,21833658,22.563749371241244,2926512.994952599,0.0,0.0,0.19336397534759103,0.48127012720992507,1.8813200066716136,7.457967101242596,17.540439902476297,92.04393319473242,0.1116147830107076,0.1116147830107076,0.11162421798491119,0.18031257061917888,0.6409769265415809,0.9202039346773683,0.9835627635094404,0.9985002055083945,0.9995604492843114,0,0,325,225097,0
