model,n,r2,adj_r2,t_nq,t_nk,t_ko_ss,t_ko_hx,t_jp_kx,t_jp_tel,t_tw_tsmc
指数先物だけ(NQ+日経),48,0.7726670562810533,0.7625633698935446,7.984236379850227,-1.0252790670881717,,,,,
アジアのメモリ現物だけ,48,0.7305394047836291,0.6984607624959659,,,0.7066317346711132,3.6451648751270773,0.8355892260277569,-0.13545026135610466,0.029027257179414002
両方,48,0.8502458225498692,0.8240388414960964,3.5787258555619132,-0.8040104147474505,0.008674146276830082,2.6903964296896525,-0.32020710752674525,-0.5322206267202376,-0.03696828669094488
