label,diff,se,t,lo,hi,pos,n
always − (cond km=1s kd=1),-7.23794797492829,18.65889826681304,-0.3879086466644067,-43.728353889496084,28.81214024546976,19,39
always − (cond km=1s kd=2),19.988820692085937,21.13237481719767,0.9458861516983362,-22.35601461916845,63.755103517459304,22,39
always − (cond km=1s kd=5),92.19101499727911,20.56238133902595,4.483479489912341,47.80782518940755,139.89437598169587,26,39
always − (cond km=1s kd=∞),313.5956215265616,45.63636524142226,6.871616963086352,196.24486910238667,454.36003521380877,27,39
always − (cond km=5s kd=1),74.4446172622934,14.16569052222084,5.255276270896696,46.0097752991694,101.82290894128103,33,39
always − (cond km=5s kd=2),95.3064015860189,17.24619139369665,5.526228916887275,59.808551541416655,129.04862521023182,32,39
always − (cond km=5s kd=5),163.75883412398,21.58543791198981,7.5865421304711536,110.14851413609749,212.4538330688578,33,39
always − (cond km=5s kd=∞),107.0581278922335,32.79159234940934,3.264804183690759,11.858093666216034,213.43124560386315,22,39
always − (cond km=60s kd=1),79.53968078592021,15.435346447450028,5.153086848857898,47.693270038196694,109.32800827209408,34,39
always − (cond km=60s kd=2),102.6551664764486,17.804056154408958,5.765830302159954,67.01277129575799,137.36208766828864,34,39
always − (cond km=60s kd=5),172.5283074214948,20.902245482347958,8.254056128428678,123.50858383445515,218.7740492797225,34,39
always − (cond km=60s kd=∞),232.48956975477105,43.232874108478136,5.3776107776553985,126.05883154821795,368.3922138777541,25,39
always − (keep km=60s(上界・幽霊注文)),4910.933243456188,322.4428121786298,15.230400734551294,4087.9407504504807,5783.98652978988,39,39
