dt,ok,n_hl,n_bnc,cells,usable,usable_pct,hl_fresh_pct,bnc_fresh_pct,hl_move_pct,bnc_move_pct,bnc_half_spread_bp
2026-05-04,true,126692,98821,4320000,1231665,28.51076388888889,65.42590277777778,36.36569444444444,4.59232015198938,2.4337786654650415,0.993268720678711
2026-05-05,true,178538,150450,4320000,1691138,39.146712962962965,76.2992824074074,41.659814814814816,5.497836368173384,2.902246889372718,0.8765424387970461
2026-05-06,true,188681,218262,4320000,2377784,55.041296296296295,85.03215277777778,58.156990740740746,5.027117686047176,3.0210061132550305,0.814795068741854
2026-05-07,true,175145,194351,4320000,2094326,48.47976851851852,80.26729166666667,51.13861111111111,5.374234956735484,2.8933413422743164,0.6404289600323915
2026-05-08,true,175657,232468,4320000,2224082,51.48337962962963,79.25481481481481,55.19046296296296,5.388245577276377,3.1844599254883588,0.47034526525860804
2026-05-09,true,48936,32839,4320000,520934,12.058657407407408,38.884421296296296,22.572986111111113,2.6306595461229256,1.4061282235369548,0.2829027001116967
2026-05-10,true,56702,64722,4320000,890806,20.620509259259258,43.65733796296296,30.772754629629627,3.1196467019755145,2.0555541835147046,0.32619177987365855
2026-05-11,true,241162,535359,4320000,3069731,71.05858796296296,92.28905092592593,73.47444444444444,5.895369985187627,4.2799189896443695,0.690661150804229
2026-05-12,true,287947,524089,4320000,3129969,72.4529861111111,94.50854166666667,74.00666666666666,6.424153082666314,4.3669761585498135,0.5085661081581891
2026-05-13,true,248094,438061,4320000,2892269,66.95067129629629,92.16939814814815,68.95543981481481,5.530191002289206,3.862434649059268,0.4952326484309361
2026-05-14,true,286195,334999,4320000,2668608,61.77333333333333,92.61400462962963,63.104421296296294,6.382990682782934,3.2369310142216468,0.3110495312325538
2026-05-15,true,343340,455704,4320000,3184353,73.711875,94.42597222222221,75.28386574074074,7.030753185969017,3.79653260803686,0.33445385839450353
2026-05-16,true,83179,40749,4320000,816085,18.89085648148148,46.419884259259256,25.801111111111112,3.4565026927342126,1.3182450357499524,0.36610619610048206
2026-05-17,true,117941,55768,4320000,1064361,24.63798611111111,57.051111111111105,29.515810185185188,4.108944239783307,1.517718142622663,0.3408040945976487
2026-05-18,true,349121,493660,4320000,2922873,67.65909722222221,91.61511574074073,72.5186574074074,7.377535732821781,3.8207954981280405,0.6581266289914461
2026-05-19,true,379187,493207,4320000,3148543,72.88293981481482,96.28243055555555,73.65951388888888,7.607264693542379,4.243454829741884,0.39791094658946724
2026-05-20,true,330412,397358,4320000,2774344,64.22092592592593,92.01,68.98601851851852,6.812817732768539,3.2481912841378,0.28102783238313517
2026-05-21,true,352333,413287,4320000,2895464,67.02462962962963,93.01368055555555,67.9993287037037,7.122865281695784,3.457615083454672,0.2137752797168397
2026-05-22,true,249024,319461,4320000,2473045,57.24641203703704,85.78108796296297,59.6005324074074,5.7032120321304305,2.856599859687147,0.17501342353274751
