h_quote,n_fill,half_spread_T,A,A_se,B,B_se,edge,total
0.1,27142,1.3029215234757343,-0.007919926094383804,0.001009002167279105,-1.4704555437099405,0.07593293414696556,1.2950015973813505,-0.26345394632859
0.5,84848,1.1272011964901874,-0.13609852180263385,0.008717357202649382,-1.9300637158811276,0.1018882500720319,0.9911026746875535,-1.0269610411935741
1.0,143950,1.1433587423417602,-0.3340041734137699,0.012535376706028585,-1.9383351590672906,0.11635523420289344,0.8093545689279902,-1.2169805901393005
2.0,235170,1.1851285418050788,-0.5967120375816775,0.019615688795284136,-1.8518843999952856,0.12107525551008298,0.5884165042234013,-1.3514678957718844
5.0,445608,1.2618084746874194,-1.2034477905633032,0.04430877377825694,-1.7644336040482096,0.1262663876904034,0.05836068412411621,-1.7940729199240935
10.0,715472,1.320408709025983,-1.824780612392766,0.06995367099234716,-1.710527473821477,0.12952183938813386,-0.5043719033667828,-2.30289937718826
