px_bucket,liq_long_usd,liq_short_usd,liq_usd,dwell_h,vol_usd,n_trades,liq_per_hour,liq_per_vol_bp
540.0,0.0,0.0,0.0,0.22644361111111103,1002803.0478900002,764,,0.0
550.0,0.0,29387.2584,29387.2584,7.370574444444426,22520062.849780124,9993,3987.105567077022,13.049367844142994
560.0,0.0,38254.01412,38254.01412,6.0018955555555555,4958821.552539988,5048,6373.655417010848,77.14335697441196
570.0,0.0,0.0,0.0,7.557058888888885,12756166.697799983,6470,0.0,0.0
580.0,0.0,0.0,0.0,10.462853333333296,8105488.823209997,5492,0.0,0.0
590.0,0.0,712657.96645,712657.96645,3.193348888888885,9097171.303200003,3356,223169.4660516618,783.3841341421337
600.0,0.0,4945.424209999999,4945.424209999999,2.4498408333333357,7410452.49576001,4256,2018.6716388717748,6.673579262304955
610.0,0.0,46104.90246000001,46104.90246000001,0.13559027777777774,832865.8229900001,694,,
620.0,0.0,53687.96069,53687.96069,0.2941475,4034994.4274900057,1356,,133.0558484151289
630.0,220799.44105000002,35903.34015999999,256702.78121000002,3.8451802777777786,14868606.72897998,8896,66759.62182931893,172.64750214266405
640.0,69836.4158,224547.97085999988,294384.3866599999,13.343022777777778,53149039.89121969,25277,22062.79578194862,55.388467461033606
650.0,62250.64885000003,15935.843550000001,78186.49240000003,23.11689750000005,49249408.237730235,33750,3382.22256684747,15.875620682098052
660.0,42601.21130000001,14921.36067,57522.57197000001,20.177735000000133,82441543.47847028,45478,2850.794302234598,6.977376883418262
670.0,0.0,129594.6028,129594.6028,22.734481388889165,82152950.66462061,57253,5700.354478432734,15.774795883966984
680.0,366795.5035099999,490760.0033199999,857555.5068299999,9.052601388888814,70254558.64435974,39205,94730.28469833717,122.06403732049453
690.0,691436.0835799997,0.0,691436.0835799997,6.1453786111110915,60517108.73176981,29298,112513.1789813333,114.25464601170131
700.0,964746.2119500003,345035.22667,1309781.4386200001,14.235599444444219,74524693.44370073,41280,92007.46647385991,175.7513353086742
710.0,797212.0455800004,59523.980370000005,856736.0259500004,43.159593888888836,142638194.0066798,94262,19850.419078446466,60.063577775660775
720.0,777656.26091,23514.789209999995,801171.0501199999,39.605614166667465,213460869.46474347,144966,20228.72431035988,37.532455111278665
730.0,1511136.4694000012,0.0,1511136.4694000012,28.652034166666866,244731747.99261174,149931,52740.98378529869,61.74664635033871
740.0,995855.0966299995,7362.333850000001,1003217.4304799995,38.767061388889296,257631650.4807675,127729,25878.088112387166,38.93999159683569
750.0,1168779.79353,638215.55726,1806995.35079,38.19084222222241,206765400.38980186,121206,47314.88612572543,87.39350720107836
760.0,465873.47564000014,70743.71456000002,536617.1902000002,48.73613750000067,223264619.18810827,155279,11010.663087529101,24.0350303667184
770.0,1109797.7696600012,138562.37913000002,1248360.1487900012,74.03945777777903,301624754.2095625,184586,16860.74137032191,41.38785465607597
780.0,1308501.8872299995,547627.26199,1856129.1492199996,44.10783166666675,369506483.07949954,207155,42081.62312868163,50.23265447877547
790.0,207102.82551999998,424086.59506999986,631189.4205899999,45.57574750000071,391048865.9485335,203102,13849.239018844179,16.140934690066885
800.0,205463.44682999994,530719.7745200001,736183.22135,21.988551388889437,332425135.6627159,146380,33480.2965565974,22.14583502785854
810.0,679586.4539799999,284769.8106000001,964356.26458,41.503839444444786,468856859.7871927,247744,23235.350692574957,20.56824475209144
820.0,619660.41779,63067.128150000004,682727.54594,30.470720833334102,446261184.0529547,243334,22406.01886887807,15.298833291738532
830.0,865452.8342899996,2567.1694500000003,868020.0037399996,35.42072444444525,395748783.17237663,221434,24505.992391584874,21.933611438595765
840.0,382057.39058000024,3245.3995800000002,385302.79016000027,61.32450833333615,461083742.4234099,297258,6283.014746170395,8.3564601114515
850.0,3838304.357389999,23839.49523,3862143.852619999,42.006936388890736,529973538.766367,305875,91940.62182647987,72.87427711221225
860.0,913308.73207,46510.64565999999,959819.3777300001,44.90506916666793,664310130.1293459,344723,21374.410407154064,14.448362808243138
870.0,3703202.657899996,51783.492839999984,3754986.1507399958,90.57586694444795,895982285.4519298,541901,41456.806072229,41.909156148617335
880.0,5208184.768979993,261323.73552000002,5469508.504499992,86.27044833333757,900985919.1545241,500871,63399.56045396376,60.7058155762581
890.0,1617261.4121000003,114755.52834999996,1732016.9404500003,58.74510250000327,810140077.8258349,476712,29483.59721476193,21.379227961394005
900.0,623789.4011600005,107539.37151999999,731328.7726800004,64.7559244444494,839477394.4584163,463268,11293.619525227652,8.711714901528858
910.0,494848.1571900001,133460.83317999993,628308.99037,54.918925000003796,801992861.5808588,413404,11440.664404300642,7.834346419636459
920.0,493519.09791,543342.2981899999,1036861.3960999999,63.79612944444643,804827436.124617,376674,16252.732025112859,12.883027461050116
930.0,947454.0884799999,611778.4821599997,1559232.5706399996,70.88723111111327,687556064.8246777,336326,21995.9581746952,22.677897125925195
