day,quotes,fills,fill_rate,net_usd,notional_usd,net_bp,label
2026-08-19,1112,24,0.02158273381294964,-3.1361550138800838,1873.3010439449818,-16.74132955841235,g_p-1_l0.25
2026-08-20,361,5,0.013850415512465374,-0.7333710000000244,380.510082,-19.27336579744093,g_p-1_l0.25
2026-08-21,459,5,0.010893246187363835,0.7885499999999898,473.804936,16.642924969443328,g_p-1_l0.25
2026-08-22,82,1,0.012195121951219513,0.3913439999999909,99.98523600000001,39.14017865597585,g_p-1_l0.25
2026-08-23,86,0,0.0,0.0,0.0,NaN,g_p-1_l0.25
2026-08-24,1042,8,0.007677543186180422,-2.2837199999999935,749.929549,-30.452460541730083,g_p-1_l0.25
2026-08-25,599,7,0.011686143572621035,0.10972900472068042,532.7791329176237,2.059558979342502,g_p-1_l0.25
2026-08-26,574,1,0.0017421602787456446,0.0021199999999999817,0.37264,56.89136968656026,g_p-1_l0.25
2026-08-27,356,8,0.02247191011235955,-0.38876999999998607,799.9107740000001,-4.8601670665831795,g_p-1_l0.25
2026-08-28,280,5,0.017857142857142856,2.0128800000000022,499.87485200000003,40.267678838942714,g_p-1_l0.25
2026-08-29,4,0,0.0,0.0,0.0,NaN,g_p-1_l0.25
2026-08-30,54,0,0.0,0.0,0.0,NaN,g_p-1_l0.25
2026-08-31,146,3,0.02054794520547945,0.9487229999999905,229.39012000000002,41.35849442861752,g_p-1_l0.25
2026-09-01,382,6,0.015706806282722512,0.7393370000000202,530.07455,13.947792815180811,g_p-1_l0.25
2026-09-02,487,1,0.002053388090349076,-0.30547299999999855,100.033423,-30.5370935872102,g_p-1_l0.25
2026-09-03,652,7,0.010736196319018405,1.1854940000000111,525.275897,22.568977689071676,g_p-1_l0.25
2026-09-04,835,14,0.016766467065868262,-2.456195999999995,1179.258737,-20.828304450374358,g_p-1_l0.25
2026-09-05,77,0,0.0,0.0,0.0,NaN,g_p-1_l0.25
2026-09-06,167,1,0.005988023952095809,-0.05130399999999736,100.03118400000001,-5.128800634809776,g_p-1_l0.25
2026-09-07,403,4,0.009925558312655087,-0.05212053599193306,400.060361,-1.3028168014859403,g_p-1_l0.25
2026-08-19,5124,122,0.023809523809523808,-3.0035443152398695,9948.71460917344,-3.0190275158465023,main_Premium
2026-08-20,3333,50,0.015001500150015001,-0.5016852043077453,4481.817080143646,-1.1193790271593722,main_Premium
2026-08-21,3606,30,0.008319467554076539,-0.12479827893714512,2445.247051668735,-0.51037083902004,main_Premium
2026-08-22,486,4,0.00823045267489712,-0.466975180403436,400.00144600000004,-11.674337307356533,main_Premium
