delay_s,corr,retained,n
0.0,-0.09968654600615094,1.0,172790
0.25,-0.050990594345639725,0.5115092897540402,172790
0.5,-0.028769496256313157,0.2885995895026596,172790
1.0,-0.01149991324904271,0.11536073532262953,172790
2.0,-0.003040387275737889,0.03049947457854833,172790
3.0,-0.0018508551757260936,0.018566749976590528,172790
5.0,-0.0033169626257723256,0.03327392470361707,172790
