dec,n,sd_med,fill_pct,rt_mean,n_pair
0,1591101,-7.821743929117275,4.961847173749498,-1.7690332,29563
1,1543852,-4.241449282438303,4.33687944181178,-1.5855185,28491
2,1536095,-2.7708920613722654,4.478954752147491,-1.5386171,31069
3,1547368,-1.7589516952121187,4.721953665837733,-1.5310534,34265
4,1563892,-0.9168821952032502,5.016394994027721,-1.5451591,38378
5,1567062,-0.15141584611688685,5.2965358103253095,-1.6228752,41676
6,1564502,0.63032750590164,5.527509712355752,-1.7387712,44267
7,1543831,1.5247647861293956,5.866510000123071,-1.812391,48039
8,1531510,2.7574153143317126,6.426598585709528,-1.9693255,54244
9,1574249,5.498437653339572,8.043390848588755,-2.2591481,75489
