feat,q,side,h,n,n_fill,n_touch,sum_pnl,sum_pnl_touch,sum_ret,sum_ret_fill,sum_retc,sum_retc_fill,sum_mmend_fill,sum_spr,sum_tau,sum_q,fill_rate,touch_rate,pnl,pnl_touch,ret,ret_fill,retc,spread,tau,q_ahead,per_order,adverse,pnl_micro
ai_net_10s,0,-1,0.1,1454495,30297,136236,-6093.401969586157,74457.05675278587,4428.637383517753,-25387.72257436401,6999.2259423515525,-18951.712442989316,-4610.889871624045,2253408.6360813277,251237047312.11057,20561732.815,0.020829910037504427,0.09366549902199732,-0.28912228833172116,0.4585299682373666,0.003044793817453998,-0.8379615993122754,0.0048121347562910515,1.5492721776845761,172731.461649652,14.136681676458153,-0.006022391255787168,-0.9757583771740093,-0.44131193983596395
ai_net_10s,0,-1,0.5,1454495,86535,256705,-55101.90523851987,40746.61689135584,30044.632619783762,-106344.85352838515,31863.91704031359,-92825.51816550092,-12490.372619258806,2253408.6360813277,251237047312.11057,20561732.815,0.05949487622851918,0.17649080952495538,-0.7247585975445757,0.07072934649249468,0.02065640144502646,-1.2289230199154695,0.02190720287131519,1.5492721776845761,172731.461649652,14.136681676458153,-0.04311942305646967,-1.4113946863868638,-0.8690975658147416
ai_net_10s,0,-1,1.0,1454476,135809,358034,-122576.71755161157,-47866.783987517134,54688.629997691976,-205766.3429720837,56488.3311673239,-177362.14436320815,-10073.349953066763,2253387.3868954508,251236044563.5109,20561656.98,0.09337314606772473,0.24616012914616672,-0.9905669694321552,-0.2216934033849219,0.03760022853432575,-1.5151156622321325,0.0388375821720839,1.549277806505883,172733.0286395313,14.136814206628367,-0.09249235432665204,-1.6772058726850967,-1.0647398884070889
ai_net_10s,0,-1,3.0,1454436,245533,595106,-353506.1905006999,-300353.8076863711,105581.89592994259,-510394.9739636502,113061.74876659026,-454182.82071939495,-5940.883255023675,2253314.8771471456,251232988074.83356,20561028.315,0.16881664095223164,0.4091661647538977,-1.5277502189143615,-0.5927064013576927,0.07259301607629527,-2.0787225096571547,0.07773580189612349,1.5492705606483514,172735.67766119208,14.136770758562083,-0.25790966017115907,-2.2143854992385372,-1.5519460836454717
ai_net_10s,0,-1,5.0,1454397,322354,731784,-588047.0997475209,-513165.52434279944,138220.56417057436,-800988.437116558,149595.8831263797,-731399.8814756649,-6006.124148753127,2253256.51051554,251229952787.0817,20559784.176,0.22164099623417816,0.5031528530380632,-1.9122277116074902,-0.7892527253162127,0.09503633751346734,-2.4848099825550727,0.10285766756008138,1.549271973550234,172738.22263596643,14.136294406547867,-0.4238280550272868,-2.598863698382607,-1.9308597873650521
ai_net_10s,0,-1,10.0,1454306,455737,914194,-1103738.4462159812,-820791.52000111,200440.6731700965,-1415741.350853161,219184.8041068457,-1328365.7649525646,-5193.600477105127,2253121.597687553,251218828994.92834,20558835.355,0.313370776164026,0.6286118602274899,-2.509875876253149,-0.9858307886522008,0.13782565235245986,-3.106487625216212,0.15071436417565884,1.5492761479960566,172741.3824841047,14.13652653224287,-0.786521751416814,-3.196513950251177,-2.5212719237039924
ai_net_10s,0,-1,30.0,1453984,718486,1142582,-2477327.957506686,-1292952.4483662853,236627.8824149858,-2988367.300959801,263578.7170036861,-2890691.546503744,-7066.506036820605,2252604.7281316062,251168640690.43198,20555088.343,0.49414986684860357,0.7858284547835465,-3.535983617644166,-1.219605826423211,0.16274448853287643,-4.159256131587534,0.18128034215210492,1.5492637664043114,172745.1200910271,14.137080148749916,-1.747305833837708,-4.222615500846322,-3.5458188907557098
ai_net_10s,0,-1,60.0,1453554,886575,1231011,-3472376.9463809053,-1447856.0572817465,327988.93702012085,-4108127.776210771,356561.90683425515,-4014724.738597693,-8132.222268437524,2252079.70408111,251074400276.19867,20552096.765,0.6099360601670113,0.8468973288918059,-4.00461951485312,-1.2641520061817049,0.22564620029260754,-4.633705863813858,0.24530351595761501,1.549360879665365,172731.38822238366,14.139204160973724,-2.4425618493574404,-4.691299954685803,-4.013792142401198
ai_net_10s,0,1,0.1,1454495,31376,94629,-8863.872480510905,31024.12498240003,-4428.637383517753,-29008.93629312643,-6999.2259423515525,-22654.919208980245,-3368.8837247405436,2253408.6360813277,126840521.2263837,31894127.384,0.021571748270018117,0.06505969425814458,-0.3705048597817091,0.2398500774857605,-0.003044793817453998,-0.9245581429476807,-0.0048121347562910515,1.5492721776845761,87.20588329721566,21.927973203070483,-0.007992437568029389,-1.057140948623997,-0.4778762176584475
ai_net_10s,0,1,0.5,1454495,105204,259450,-67983.540690945,-9811.529834250176,-30044.632619783762,-131730.91866371862,-31863.91704031359,-112170.53682605672,-8379.836532248808,2253408.6360813277,126840521.2263837,31894127.384,0.07233025895585753,0.1783780624890426,-0.7342068047882684,-0.12581664996820263,-0.02065640144502646,-1.2521474341633267,-0.02190720287131519,1.5492721776845761,87.20588329721566,21.927973203070483,-0.05310536831748819,-1.4208428936305566,-0.8138600169498669
