feat,q,side,h,n,n_fill,n_touch,sum_pnl,sum_pnl_touch,sum_ret,sum_ret_fill,sum_retc,sum_retc_fill,sum_mmend_fill,sum_spr,sum_tau,sum_q,fill_rate,touch_rate,pnl,pnl_touch,ret,ret_fill,retc,spread,tau,q_ahead,per_order,adverse,pnl_micro
ai_net_10s,0,1,1.0,1454476,168906,390081,-146953.74547406798,-115147.75339842537,-54688.629997691976,-252337.6160122648,-56488.3311673239,-216017.1273429503,-5628.050615263138,2253387.3868954508,126838688.60087095,31893654.26,0.1161284201320613,0.26819349373932605,-0.9580327133083962,-0.38318934118407555,-0.03760022853432575,-1.4939529443137887,-0.0388375821720839,1.549277806505883,87.20576248825759,21.927934362615815,-0.11125482543133608,-1.6446716165613378,-0.9913533213108541
ai_net_10s,0,1,3.0,1454436,301319,626481,-424508.5642468808,-434695.5730575058,-105581.89592994259,-620006.7500910296,-113061.74876659026,-557547.4182311465,-757.4654153740212,2253314.8771471456,126837880.58440055,31892961.848,0.2071724022232673,0.4307381005420658,-1.496834372365768,-0.7818687255599225,-0.07259301607629527,-2.057642399221521,-0.07773580189612349,1.5492705606483514,87.20760527407225,21.928061357117123,-0.31010277265337277,-2.1834696526899435,-1.4993482046012858
ai_net_10s,0,1,5.0,1454397,387712,754908,-698694.4725474184,-689832.9177998276,-138220.56417057436,-958796.668625164,-149595.8831263797,-885853.4012247183,-482.19855041347506,2253256.51051554,126836769.14935029,31892309.941999998,0.26657920774039,0.5190522257677924,-1.890096588569398,-1.0017973339795414,-0.09503633751346734,-2.4729610345441047,-0.10285766756008138,1.549271973550234,87.20917957706891,21.92820113215305,-0.5038604511336441,-2.576732575344515,-1.8913402914994428
ai_net_10s,0,1,10.0,1454306,529941,924195,-1267245.7365082188,-1087644.6645181219,-200440.6731700965,-1637488.5626702483,-219184.8041068457,-1555639.79877641,-1056.4232675618612,2253121.597687553,126835674.55451654,31891491.849,0.3643944259323691,0.635488679823916,-2.4792958923884334,-1.2648562527584783,-0.13782565235245986,-3.0899450366554926,-0.15071436417565884,1.5492761479960566,87.21388384185758,21.929010709575564,-0.9034416034233639,-3.1659339663864614,-2.4812893657516226
ai_net_10s,0,1,30.0,1453984,791853,1144451,-2559482.8873922215,-1613835.591498625,-236627.88241498577,-3144310.6710226,-263578.7170036861,-3068716.07129805,-3531.42266819539,2252604.7281316062,126827530.50584833,31886811.009,0.5446091566344609,0.7871138884609459,-3.32027024131022,-1.4981395267238398,-0.1627444885328764,-3.9708262405049926,-0.18128034215210492,1.5492637664043114,87.22759707524177,21.930647798737812,-1.8082495759184567,-4.006902124512376,-3.3247299360618916
ai_net_10s,0,1,60.0,1453554,946995,1235492,-3550464.7421758245,-1932280.6477117497,-327988.93702012085,-4271115.639069503,-356561.90683425515,-4209159.019134773,-3668.1813605553957,2252079.70408111,126819215.32680635,31877042.806,0.6515031433300723,0.8499801176977257,-3.837190589365123,-1.65197665683934,-0.22564620029260754,-4.510177602911845,-0.24530351595761501,1.549360879665365,87.2476807375621,21.930415248418704,-2.4999417305279503,-4.523871029197806,-3.841064085382056
ai_net_10s,2,-1,0.1,1896240,18979,103505,-1436.648872367178,52680.41733387737,-1688.7431630035098,-10673.711971708952,-653.7059806260804,-5361.101562059831,-131.55734907568828,2427989.7536832956,950803612607.9243,13666298.244,0.010008754166139307,0.0545843353162047,-0.1636967633893871,0.42096495177892246,-0.0008905745912983113,-0.5623959097797013,-0.00034473799763008923,1.2804232342336916,501415.22835080174,7.2070509239336795,-0.0016384006625570486,-0.715908380506233,-0.17062849578180442
ai_net_10s,2,-1,0.5,1896240,44438,160292,-19581.316840531017,41497.711146409114,-2147.9156843477203,-38108.335283701854,-924.1562182301788,-31069.79392372516,-2933.594923078431,2427989.7536832956,950803612607.9243,13666298.244,0.02343479728304434,0.08453149390372526,-0.5286435222226702,0.17088822365688314,-0.001132723539397819,-0.8575618903573935,-0.00048736247428077603,1.2804232342336916,501415.22835080174,7.2070509239336795,-0.012388653778282823,-1.080855139339516,-0.5946589802333464
ai_net_10s,2,-1,1.0,1896224,70321,220661,-43630.36489471797,10489.787068002097,-983.6161101426015,-72971.20847833756,-558.0537440205455,-61277.19322021981,-2688.0150289386597,2427977.4168639057,950796578524.9858,13666187.869,0.03708475369998481,0.11636863577298885,-0.7084457401731769,-0.04046197983330947,-0.0005187235844196685,-1.0376872979385612,-0.00029429737416072444,1.2804275322239913,501415.7496819921,7.207053527958722,-0.026272535784125698,-1.2606595062851724,-0.7466706662825704
ai_net_10s,2,-1,3.0,1896196,147927,468919,-137204.6103626789,-72339.66474193023,-352.1635072284894,-202815.6178054392,-705.1981385663187,-176523.07891407557,-1335.5047961977461,2427956.8010223373,950782547970.6019,13666068.489,0.07801250503639919,0.2472945834713289,-1.015515668962927,-0.24226899899967846,-0.00018572104741729724,-1.3710520581465127,-0.00037190150098740776,1.2804355673265513,501415.7544740111,7.207096992610468,-0.07922292123951263,-1.5677334526262028,-1.0245438030844718
ai_net_10s,2,-1,5.0,1896161,208120,639405,-239011.1911753909,-172723.00177371473,1130.7767962040746,-335883.628786501,282.6934496227389,-299851.580484926,-1021.2272100043584,2427927.838962045,950763522492.9998,13665721.791,0.1097586122697387,0.33721028963257865,-1.2364297096645729,-0.358130827525144,0.0005963506243425925,-1.6138940456779791,0.00014908726085112968,1.2804439280008633,501414.9760980211,7.20704718164755,-0.13570880910185945,-1.7886516736650044,-1.24133662495385
ai_net_10s,2,-1,10.0,1896061,324811,912148,-494082.53062778,-385717.3969253376,950.4895040468123,-655392.9776237778,1342.23264340485,-602492.909418699,-268.8754222149646,2427814.33783687,950701474131.9639,13665142.951,0.1713083070639605,0.4810752396679221,-1.609138540960066,-0.5108671190698633,0.0005012969013374635,-2.017767186529329,0.0007079058339393353,1.2804515982538907,501408.69630880223,7.20712200240393,-0.2756587992832404,-2.1613643400870113,-1.6099663313434427
ai_net_10s,2,-1,30.0,1895623,603189,1309808,-1339798.3746326396,-818676.8932815847,18093.547625335945,-1666287.7785664087,21135.882945025405,-1587881.5702559566,-742.8248484271817,2427271.0115999384,950498667207.1482,13660228.662,0.31820092919319926,0.6909643953465431,-2.3091916573953433,-0.7130358016454204,0.009544908257251544,-2.7624638025003914,0.011149834616390181,1.2804608361472394,501417.5641502283,7.2061948298791485,-0.7347869310683821,-2.8614220754689628,-2.310423153408081
ai_net_10s,2,-1,60.0,1894989,829967,1465391,-2255028.8287463603,-1120978.9476490153,604.1130250910172,-2724101.9452004144,1829.2404285646694,-2638404.683106735,-2002.156596078404,2426514.5297725643,950193850262.1487,13655441.723,0.4379798510703756,0.7732978924943628,-2.8050102290167684,-0.8529691772701042,0.0003187950036074179,-3.2821810327403553,0.0009653039825374551,1.280490034386777,501424.4675099162,7.20607967803507,-1.2285379623556445,-3.357255246210157,-2.8074225617915394
ai_net_10s,2,1,0.1,1896240,14586,43793,-2128.849721013384,13646.745371539626,1688.74316300351,-9239.7733175289,653.7059806260803,-6107.12707503839,-1013.8084790599322,2427989.7536832956,1284600280417.283,12764392.586,0.007692064295658777,0.023094650466185716,-0.23395157829517235,0.22361933120680536,0.0008905745912983114,-0.6334686217968531,0.0003447379976300892,1.2804232342336916,677446.040805638,6.731422491878665,-0.0017995705823173143,-0.7861631954120182,-0.3034571644092497
ai_net_10s,2,1,0.5,1896240,39734,97283,-21163.437683978897,-1033.9733872425436,2147.915684347721,-37678.10110358002,924.1562182301784,-32632.83884240007,-3582.905706846775,2427989.7536832956,1284600280417.283,12764392.586,0.020954098637303294,0.05130310509218242,-0.6206279177525267,-0.09862851050278613,0.0011327235393978194,-0.9482584462571102,0.00048736247428077587,1.2804232342336916,677446.040805638,6.731422491878665,-0.013004698605650601,-1.1728395348693725,-0.7108002061414826
ai_net_10s,2,1,1.0,1896224,64930,154341,-46231.78797631568,-36668.547870508715,983.6161101426022,-73501.27746888815,558.053744020546,-63695.880661495066,-3095.327338346134,2427977.4168639057,1284593278638.803,12764195.048,0.03424173515365273,0.08139386485984779,-0.8000250727909392,-0.3255813806474541,0.0005187235844196689,-1.1320079696425096,0.00029429737416072465,1.2804275322239913,677448.06448964,6.731375116020049,-0.027394246658789086,-1.352238838902935,-0.8476968321987034
ai_net_10s,2,1,3.0,1896196,136793,333137,-143710.70105680998,-169268.13736474217,352.16350722849194,-205399.16907492917,705.1981385663187,-182793.20317282478,-2093.290306575035,2427956.8010223373,1284575276861.215,12763672.685,0.07214074916306121,0.1756870070393567,-1.1385705778571271,-0.5961036851647885,0.0001857210474172986,-1.5015327471064248,0.00037190150098740776,1.2804355673265513,677448.5743357834,6.731199034804419,-0.08213733446163266,-1.6907883615204027,-1.1538731906119832
ai_net_10s,2,1,5.0,1896161,193096,462551,-249420.47375252185,-308672.6881585814,-1130.7767962040746,-341226.3844203315,-282.6934496227367,-309218.42893169436,-1294.630180535279,2427927.838962045,1284548273380.6309,12763386.366,0.10183523445530206,0.2439407835094172,-1.379691561464359,-0.7553268205205077,-0.0005963506243425925,-1.7671333658922583,-0.00014908726085112852,1.2804439280008633,677446.8377846769,6.731172282311471,-0.14050121363772478,-1.9319135254647906,-1.3863961549335935
ai_net_10s,2,1,10.0,1896061,305152,685289,-515106.95654503966,-596037.6004932696,-950.4895040468105,-670609.474021148,-1342.23264340485,-624062.6870288517,-1500.78867243213,2427814.33783687,1284468258927.4146,12762185.785,0.16093996975835692,0.3614277177791221,-1.7760340176208567,-0.9577609336984391,-0.0005012969013374625,-2.197624377428783,-0.0007079058339393353,1.2804515982538907,677440.3665954917,6.73089409306979,-0.2858348610857138,-2.328259816747802,-1.780952185197776
ai_net_10s,2,1,30.0,1895623,579755,1072964,-1418875.9518275636,-1252960.1722232436,-18093.54762533595,-1742898.445055207,-21135.882945025405,-1675922.546295557,-5027.580552066598,2427271.0115999384,1284146191935.0789,12758480.552,0.3058387664635848,0.5660218302900946,-2.535371651521011,-1.2557560218453216,-0.009544908257251546,-3.006267207795029,-0.011149834616390181,1.2804608361472394,677426.9946793633,6.730494698576668,-0.7754149384279279,-3.0876020695946305,-2.5440435569846405
ai_net_10s,2,1,60.0,1894989,807000,1280413,-2350201.9950508135,-1705450.5261985892,-604.1130250910119,-2822803.091914345,-1829.2404285646667,-2747851.3198759854,-6313.7934064338715,2426514.5297725643,1283734060422.3418,12753478.014,0.4258599917994247,0.6756836055512724,-3.0002701301744903,-1.4199534604839137,-0.00031879500360741507,-3.4978972638343806,-0.0009653039825374536,1.280490034386777,677436.1542058248,6.730106620143969,-1.2776950130321674,-3.552515147367879,-3.0080939138255856
ai_net_10s,4,-1,0.1,1455276,34588,153013,-8205.48682876249,77337.11521352566,-8683.246059481231,-30159.043877922097,-8572.846381212732,-21479.204252510328,-2747.725071132221,2229648.916859441,89222965.92905407,29438650.79,0.02376731286711249,0.10514362911227836,-0.32523507658038886,0.4174283963684502,-0.00596673487330323,-0.8719510777703856,-0.005890873196021051,1.5321141260210716,61.30999613066804,20.228912446848568,-0.0077299638204453925,-1.0032921395909247,-0.40467664796735026
ai_net_10s,4,-1,0.5,1455276,106146,310050,-67062.39196043053,37999.257074982444,-35292.11036338893,-130028.42896225149,-34754.50008847595,-109299.34599871507,-7707.830334352099,2229648.916859441,89222965.92905407,29438650.79,0.07293874151707305,0.21305236944744502,-0.7197938684494049,0.034558481132018856,-0.02425114573688354,-1.2249960334091863,-0.023881724214840312,1.5321141260210716,61.30999613066804,20.228912446848568,-0.05250085891640523,-1.3978509314599408,-0.7924092315752136
ai_net_10s,4,-1,1.0,1455255,168045,433477,-146763.78615339415,-63990.04131127014,-57873.19337884723,-249468.679212367,-59058.257780934495,-212427.09088806645,-4533.2095490800575,2229612.314285975,89222661.46814816,29438397.002,0.11547460754300792,0.29787013272587964,-0.9613600294765934,-0.2356203842678392,-0.03976842091512981,-1.4845349710635067,-0.040582755449,1.5321110831338665,61.31067164733889,20.229029965195103,-0.11101267211134415,-1.6394155710435268,-0.9883361938913636
ai_net_10s,4,-1,3.0,1455215,299052,688164,-418517.3314021332,-360509.486633776,-118097.56254144547,-608699.873903711,-124082.4545046655,-545267.2331768443,-158.9040437756051,2229546.365193455,89220662.93052502,29437970.599,0.20550365409922244,0.47289507048786605,-1.4874801285466515,-0.6118714705125173,-0.081154717716245,-2.0354315433560415,-0.08526743780449315,1.5321078776630634,61.31098355261938,20.229292990382863,-0.305682601816318,-2.165534067378183,-1.4880114877877721
ai_net_10s,4,-1,5.0,1455174,385433,824813,-690713.4201969384,-599265.8467366529,-160937.64272921823,-943491.2430156311,-170438.05097678633,-868333.9554754144,1088.19438946405,2229488.1823402196,89220132.96509323,29437560.271,0.2648707302356969,0.5668140029989541,-1.880045362480479,-0.814547528635767,-0.11059683771783871,-2.447873542264495,-0.11712554716946999,1.532111061866292,61.31234681563389,20.22958097863211,-0.49796898803643996,-2.558100893413625,-1.877222058846737
ai_net_10s,4,-1,10.0,1455073,526567,996959,-1271355.3032231508,-975045.7495388995,-241033.2713049912,-1629781.7478197995,-259197.60076771386,-1545605.5159222705,-160.18185434802504,2229352.078606776,89219298.32753655,29436585.812,0.36188356185565945,0.685160813237549,-2.5024226721825538,-1.0660199080793689,-0.16565029473091125,-3.095108025796906,-0.1781337436456548,1.5321238718653813,61.31602904289788,20.230315463210435,-0.9055856298777798,-3.1804846081152442,-2.502726872510998
ai_net_10s,4,-1,30.0,1454693,794118,1202504,-2727384.4313256135,-1585208.1400777274,-460577.8458539986,-3289962.439096435,-487332.6735407271,-3210586.2852470637,-2472.306650773746,2228813.761238572,89211792.87778762,29432342.054,0.5459007501926524,0.8266376479435867,-3.5224825722696296,-1.4062560224978273,-0.316615152375105,-4.14291382275233,-0.3350072307632793,1.532154042975784,61.326886757403535,20.232682809362526,-1.9229258787425347,-4.2005595937575215,-3.5255958459276675
ai_net_10s,4,-1,60.0,1454101,949974,1276799,-3836195.644067183,-1951434.6842082557,-643004.3292095625,-4515282.045172792,-669846.4546720057,-4450206.478617424,-1462.6210512197256,2227884.424969214,89189141.21659797,29424295.502,0.653306751044116,0.8780676170362306,-4.126211197429806,-1.6163804923157488,-0.44220059625126623,-4.753058552310686,-0.46066019806877634,1.5321387062997784,61.33627665244572,20.235386332861335,-2.6956816315147183,-4.804280550579696,-4.127750840673958
ai_net_10s,4,1,0.1,1455276,25564,75091,-7532.332594078862,26092.961164273045,8683.246059481231,-23581.49491652503,8572.84638121273,-19362.430181495798,-4489.9341878084,2229648.916859441,374173765507.8587,20561140.614,0.017566427261907706,0.05159914682850538,-0.3826460880174801,0.25948453428870366,0.00596673487330323,-0.9224493395605159,0.0058908731960210505,1.5321141260210716,257115.32761335906,14.128688038557634,-0.006721724672212598,-1.0607031510280158,-0.5582811290051346
ai_net_10s,4,1,0.5,1455276,81512,197756,-58009.812960283045,-14878.974995907804,35292.11036338893,-106295.6440913414,34754.50008847595,-95120.34485797581,-12831.846854320669,2229648.916859441,374173765507.8587,20561140.614,0.05601136829027621,0.13588899974987562,-0.7996720600682481,-0.16323905720133802,0.02425114573688354,-1.3040490245772574,0.023881724214840312,1.5321141260210716,257115.32761335906,14.128688038557634,-0.044790726267926524,-1.477729123078784,-0.9570948549244738
ai_net_10s,4,1,1.0,1455255,130489,302752,-123994.58712915967,-109460.21099273289,57873.19337884723,-203950.9049486347,59058.257780934495,-177817.64123489728,-10752.656641338082,2229612.314285975,374167764865.5719,20561015.271,0.08966744659870607,0.20804051523616135,-1.038230188975007,-0.44955074447974874,0.03976842091512981,-1.5629739284432764,0.040582755449,1.5321110831338665,257114.91447586293,14.128805790737706,-0.09309545002708094,-1.7162857305419401,-1.120632971135481
ai_net_10s,4,1,3.0,1455215,237035,515379,-349876.6167096558,-387924.8775382283,118097.56254144547,-502638.19571231824,124082.4545046655,-450736.51079151203,-8348.592324421703,2229546.365193455,374158757364.51556,20560829.355,0.16288658376940865,0.35416003820741265,-1.5640546615886084,-0.8406982619358342,0.081154717716245,-2.1205231114068313,0.08526743780449315,1.5321078776630634,257115.7920750649,14.129066395687236,-0.25476352065478697,-2.2421086004201403,-1.5992755881371
ai_net_10s,4,1,5.0,1455174,312032,643150,-580143.4274511249,-617345.248213158,160937.64272921823,-788617.6051093392,170438.05097678633,-723424.3977905582,-8317.730686268278,2229488.1823402196,374149738427.7511,20560499.69,0.21442933972157283,0.44197463671011167,-1.9472433707155834,-1.0478775530018782,0.11059683771783871,-2.527361312651713,0.11712554716946999,1.532111061866292,257116.83855521822,14.129237939930208,-0.4175461102597524,-2.6252989016487294,-1.973900029924473
ai_net_10s,4,1,10.0,1455073,444103,823675,-1088145.6357181817,-974812.2848910169,241033.2713049912,-1397480.038910085,259197.60076771386,-1315418.3753889329,-7637.811868256464,2229352.078606776,374130682754.56415,20559573.719,0.3052101166058335,0.5660712555315094,-2.538210054240079,-1.2714914072795909,0.16565029473091125,-3.14674757637324,0.1781337436456548,1.5321238718653813,257121.5896072322,14.12958230892883,-0.7746873866247135,-3.2162719901727694,-2.5554083435294026
ai_net_10s,4,1,30.0,1454693,704954,1067441,-2350133.9366679415,-1441331.4948813205,460577.8458539986,-2867016.4004402338,487332.6735407271,-2774080.6349275666,-9109.498133131905,2228813.761238572,374041496805.0197,20555858.873,0.48460671770607266,0.7337912535497181,-3.4217408351012146,-1.4382680662269114,0.316615152375105,-4.066955291324304,0.3350072307632793,1.532154042975784,257127.44668807765,14.130719590319057,-1.6581985949392357,-4.099817856589107,-3.4346629521941483
ai_net_10s,4,1,60.0,1454101,874651,1174284,-3296767.5759922676,-1611411.545123712,643004.3292095625,-3956152.081958826,669846.4546720057,-3869653.7375581185,-11816.694464693355,2227884.424969214,373863343590.9991,20550163.587,0.6015063602872153,0.8075670121951639,-3.857237759966281,-1.460250277721328,0.44220059625126623,-4.523120744112596,0.46066019806877634,1.5321387062997784,257109.61177455974,14.132555845157937,-2.320153045759729,-4.53530711311617,-3.8707479422729305
obi,0,-1,0.1,1682006,5060,123332,-44.88588682821145,93008.72163999492,102325.58545056771,-3584.235462713652,-91712.30862422561,-3438.7144238018586,3263.77577654549,2430145.391517705,350373083163.74207,62204892.986,0.003008312693295981,0.07332435199398814,-0.09687072862217617,0.666132922842368,0.06083544615808012,-0.7083469293900498,-0.054525553787694934,1.4447899659797319,208306.6785515284,36.982563074091296,-0.00029141744252292285,-0.7312657116120421,0.5481442469796993
obi,0,-1,0.5,1682006,17296,216481,-5189.9857836202555,136159.6777139745,317886.57545955136,-16153.160806825921,-197132.77336024147,-22928.156850394163,2949.9189895053223,2430145.391517705,350373083163.74207,62204892.986,0.010282959751629898,0.1287040593196457,-0.3880685582574154,0.5409682591727426,0.18899253359354923,-0.9339246534936356,-0.1172009929573625,1.4447899659797319,208306.6785515284,36.982563074091296,-0.0039904933654340445,-1.0224635412472813,-0.2175135750528986
obi,0,-1,1.0,1681980,32782,306176,-23001.490416884266,107631.9810543927,416651.6126033377,-43173.65298340962,-214246.24665280097,-58248.82085800641,2891.660169703236,2430106.0307664536,350368043113.8684,62203739.189,0.019490124733944517,0.182033080060405,-0.7896500035655013,0.26353630935929895,0.24771496248667504,-1.3169926478985303,-0.1273774044000529,1.4447888980644559,208306.90205226484,36.982448774063904,-0.015390377065651353,-1.4240444525977294,-0.7014412252815883
obi,0,-1,3.0,1681929,78008,557607,-125899.26743772291,-32534.12317094451,561023.7898565162,-173425.25734561612,-208459.24153642365,-209997.67616442486,5933.686148608235,2430039.800819375,350362984486.4503,62201731.726,0.046380079063979514,0.3315282630836379,-1.701927641238372,-0.14634597336644717,0.3335597340057257,-2.2231727174855926,-0.12394057153210608,1.4447933300510158,208310.21076778526,36.98237661994056,-0.07893553856180785,-2.33632430626388,-1.6258625434457323
obi,0,-1,5.0,1681872,117626,712919,-265309.91232594114,-195747.1414495417,621337.2282293187,-338223.6715330293,-206463.82407588084,-395346.7559705223,8238.694445563564,2429982.6799752833,350347954820.1427,62199821.395,0.06993754578231876,0.42388421948876015,-2.3435379960717966,-0.3625713628750835,0.36943193550360476,-2.8754159074781875,-0.12275834550779181,1.4448083326051466,208308.3342966306,36.98249414640353,-0.16390129589287483,-2.9779421623743696,-2.2734965558667097
obi,0,-1,10.0,1681760,200709,936967,-649823.2989596692,-461849.85767183715,711704.4048842059,-777100.2768240887,-184409.94543655138,-879960.9150912486,11731.456027244756,2429853.4238064326,350327821061.5931,62197353.935,0.11934461516506517,0.557134787365617,-3.325639064315348,-0.5809200896849485,0.42319023218783053,-3.871775938418749,-0.10965295014541396,1.44482769468083,208310.23514746045,36.98348987667681,-0.3968971143086226,-3.960052911655763,-3.267188989693658
obi,0,-1,30.0,1681283,423992,1245104,-2029376.4500604174,-900245.7102932323,796794.9172850719,-2303668.5218721307,-169772.30536859133,-2536707.6005471675,16664.334283870943,2429117.545640237,350230765084.2538,62182752.399000004,0.25218360026241865,0.7405677687813413,-4.874355521001381,-0.8110285263666588,0.4739207600892128,-5.433282990886929,-0.10097782786633264,1.4447999210366351,208311.60791149008,36.98529777497304,-1.2292325242451256,-5.508755481519699,-4.835052104229671
obi,0,-1,60.0,1680702,614784,1366192,-3459066.9553251914,-1148219.8075455688,816205.4854419744,-3858656.84705591,-183058.57524086314,-4208271.214396564,18289.096690053633,2428223.83515383,350112123330.41205,62165230.469000004,0.3657900091747377,0.8128698603321707,-5.714475242239862,-0.9284527383746711,0.48563367297829974,-6.276443185014428,-0.10891792551021129,1.4447676239772607,208313.0283241241,36.98765781738821,-2.0902979512877304,-6.348859054228493,-5.6847264252731655
obi,0,1,0.1,1682006,64943,100629,-20828.952740988127,1836.7596432610424,-102325.58545056771,-57690.442667421674,91712.30862422561,-44859.8136671258,-21742.296344280094,2430145.391517705,532982178010.825,1866395.072,0.03861044490923338,0.059826778263573376,-0.40872667941099317,-0.06974721359388404,-0.06083544615808012,-0.8883242638532509,0.054525553787694934,1.4447899659797319,316872.93506136426,1.1096245031230565,-0.015781118938332044,-1.043121662400859,-0.7435171317196345
obi,0,1,0.5,1682006,182998,256468,-143669.2506823612,-126971.5172408236,-317886.57545955136,-239560.60899884056,197132.77336024147,-188411.18546181443,-38393.45647503801,2430145.391517705,532982178010.825,1866395.072,0.10879747159046996,0.15247745846328728,-0.8730864527610203,-0.5830774258029212,-0.18899253359354923,-1.3090886730939166,0.1172009929573625,1.4447899659797319,316872.93506136426,1.1096245031230565,-0.09498959854029129,-1.5074814357508863,-1.0828890542923921
obi,0,1,1.0,1681980,271703,372667,-264538.9697589353,-262931.30266721634,-416651.6126033377,-412167.35109432845,214246.24665280097,-305720.83882307285,-30833.5322962819,2430106.0307664536,532974176653.4853,1866366.876,0.16153759259919856,0.2215644656892472,-1.061632862938338,-0.7935395370859677,-0.24771496248667504,-1.5169775493620918,0.1273774044000529,1.4447888980644559,316873.0761682572,1.1096248920914635,-0.17149361690325404,-1.696027311970566,-1.175115350420191
