coin,underlying,days,spread_bp_med,spread_bp_p25,spread_bp_p75,spread_tick_med,spread_tick_p25,spread_tick_p75,mid_med,mid_p25,mid_p75,bid_sz_med,bid_sz_p25,bid_sz_p75,ask_sz_med,ask_sz_p25,ask_sz_p75,rv_10s_med,rv_10s_p25,rv_10s_p75,delta_bp_med,delta_bp_p25,delta_bp_p75,obi_abs_med,obi_abs_p25,obi_abs_p75,bbo_chg_10s_med,bbo_chg_10s_p25,bbo_chg_10s_p75,msg_rate_10s_med,msg_rate_10s_p25,msg_rate_10s_p75,trd_rate_10s_med,trd_rate_10s_p25,trd_rate_10s_p75,vol_10s_med,vol_10s_p25,vol_10s_p75,trd_sz_10s_med,trd_sz_10s_p25,trd_sz_10s_p75,vpin_10s_med,vpin_10s_p25,vpin_10s_p75,ofi_norm_10s_med,ofi_norm_10s_p25,ofi_norm_10s_p75
xyz:MU,マイクロン(メモリ),98,1.0706868171691895,0.5383145213127136,2.009188652038574,4.0,1.0,14.0,922.9149780273438,814.9112548828125,1008.5,1.7610000371932983,0.5249999761581421,8.392250061035156,1.7580000162124634,0.5270000100135803,8.695249557495117,2.1925888061523438,0.8443385362625122,3.944894552230835,0.0,-0.296688437461853,0.2918876111507416,0.6806968450546265,0.34298330545425415,0.9006190896034241,17.0,6.0,33.0,3.5,1.5,6.0,0.5,0.20000000298023224,1.399999976158142,2.2690000534057617,0.125,15.702249526977539,0.5699999928474426,0.1694255918264389,1.457281470298767,0.9508064985275269,0.590423583984375,1.0,0.0,-0.2741549611091614,0.29349708557128906
xyz:INTC,インテル(ロジック/ファウンドリ),99,2.041024684906006,1.0909289121627808,2.920987367630005,2.0,1.0,3.0,111.62000274658203,101.58499908447266,123.78500366210938,16.079999923706055,4.619999885559082,65.69000244140625,18.600000381469727,5.070000171661377,75.62999725341797,2.0329742431640625,0.49884018301963806,4.076297760009766,-0.02646212838590145,-0.5194126963615417,0.46094366908073425,0.6362055540084839,0.31424063444137573,0.8709073662757874,6.0,1.0,15.0,1.600000023841858,0.4000000059604645,3.9000000953674316,0.10000000149011612,0.0,0.30000001192092896,0.3499999940395355,0.0,12.579999923706055,2.8475000858306885,0.7633333206176758,8.245250701904297,1.0,0.9108911156654358,1.0,0.0,-0.19946230947971344,0.20073431730270386
xyz:AMD,AMD(ロジック),99,2.8283400535583496,1.7222408056259155,4.400827407836914,14.0,9.0,22.0,504.6650085449219,466.4549865722656,530.0999755859375,2.3929998874664307,0.5950000286102295,8.616250038146973,2.3469998836517334,0.6230000257492065,8.600000381469727,1.2636315822601318,0.15939399600028992,3.0687336921691895,0.0,-0.6812826991081238,0.6765743494033813,0.6442633867263794,0.29392004013061523,0.8921838998794556,7.0,1.0,19.0,1.0,0.20000000298023224,2.700000047683716,0.0,0.0,0.20000000298023224,0.0,0.0,0.8709999918937683,0.5619999766349792,0.14000000059604645,1.6826666593551636,1.0,0.9773331880569458,1.0,0.0,-0.20582261681556702,0.23301535844802856
xyz:KIOXIA,キオクシア(NAND),47,13.924724578857422,7.9965105056762695,26.173099517822266,51.0,26.0,112.0,382.55999755859375,314.885009765625,498.625,0.18650001287460327,0.06800000369548798,0.6230000257492065,0.21699999272823334,0.0689999982714653,0.9559999704360962,0.6715350151062012,0.1344606727361679,4.0681562423706055,0.0,-3.7315404415130615,3.0396053791046143,0.60317462682724,0.25777575373649597,0.8631824254989624,6.0,1.0,14.0,0.800000011920929,0.20000000298023224,1.7999999523162842,0.0,0.0,0.10000000149011612,0.0,0.0,0.10999999940395355,0.13500000536441803,0.05000000074505806,0.38999998569488525,1.0,0.9772147536277771,1.0,0.0,-0.25180280208587646,0.30663812160491943
xyz:SKHX,SK ハイニックス(メモリ),99,2.1803712844848633,0.9073175191879272,6.855184078216553,3.0,1.0,10.0,1319.949951171875,1192.75,1547.449951171875,0.6380000114440918,0.09799999743700027,5.769999980926514,0.7580000162124634,0.10300000011920929,5.65500020980835,2.176825523376465,0.69441819190979,4.791823387145996,0.0,-0.5831472277641296,0.4904049336910248,0.7365033626556396,0.36079949140548706,0.9413726329803467,9.0,2.0,21.0,2.0,0.6000000238418579,5.5,0.6000000238418579,0.10000000149011612,2.299999952316284,1.0720000267028809,0.008999999612569809,13.86400032043457,0.34843650460243225,0.09314285963773727,0.9345617294311523,0.8620522618293762,0.4591439664363861,1.0,0.0,-0.2421845644712448,0.2608121931552887
xyz:SMSN,サムスン電子(メモリ),99,3.653134822845459,1.815129041671753,9.391560554504395,8.0,3.0,21.0,193.55499267578125,174.2100067138672,212.4600067138672,1.718000054359436,0.6039999723434448,7.403249740600586,1.9459999799728394,0.6050000190734863,8.341249465942383,1.387946367263794,0.0,4.072187423706055,0.0,-0.895180881023407,0.810480535030365,0.6521739363670349,0.2799376845359802,0.8886885643005371,6.0,0.0,17.0,1.0,0.20000000298023224,2.9000000953674316,0.10000000149011612,0.0,0.5,0.06700000166893005,0.0,8.193249702453613,1.631891131401062,0.5600000023841858,3.4700000286102295,1.0,0.6940768361091614,1.0,0.0,-0.1900489181280136,0.19484129548072815
xyz:SNDK,サンディスク(NAND),99,1.297858476638794,0.7348888516426086,2.1529297828674316,2.0,1.0,4.0,1578.3499755859375,1395.449951171875,1841.5,1.055999994277954,0.33399999141693115,5.5980000495910645,1.0945000648498535,0.35499998927116394,5.513000011444092,2.326451301574707,0.8764972686767578,4.419058322906494,0.0,-0.3262080252170563,0.32310205698013306,0.6425235271453857,0.3053532540798187,0.8806459307670593,12.0,3.0,25.0,2.799999952316284,1.0,5.900000095367432,0.30000001192092896,0.10000000149011612,1.100000023841858,0.6050000190734863,0.007000000216066837,5.6892499923706055,0.3100000023841858,0.0957999974489212,0.7759497761726379,0.9710843563079834,0.6110695600509644,1.0,0.0,-0.23406919836997986,0.23685328662395477
