feature,a_p10,a_p50,a_p90,b_p10,b_p50,b_p90,a_r,a_t,b_r,b_t
spread_bp,0.9359352588653564,2.449479579925537,4.694615364074707,0.2733794093132019,1.9311472177505493,4.2050688743591325,0.019100797195751983,1.1063242344314534,-0.004464356045982821,-1.404072123946226
spread_tick,1.0,3.0,5.0,2.0,15.0,33.0,0.018539522723049796,1.0753488240166587,-0.0050526142472039825,-1.595781195629171
depth_bbo,8.450000762939453,61.46000289916992,350.0940246582031,0.9198000192642214,9.175000190734863,46.868801879882824,-0.00029118451170509,-0.10134044340129841,0.007188117314127894,1.4102455123557482
qb1,1.8200000524520874,17.160001754760742,226.50001220703132,0.23400001227855682,2.121000051498413,23.200200653076173,-0.02508709536387555,-8.18828941693005,-0.012384885881142402,-3.2336610888591526
qa1,1.790000081062317,16.040000915527344,197.28401184082034,0.22800001502037048,1.9550000429153442,26.62780151367188,0.024196218615257774,7.281894517823303,0.01987629388432302,2.2559508726993656
depth_cum10,636.7500244140625,1659.81005859375,3022.2441406250005,9.541000747680664,44.198001861572266,151.93740234375008,-0.0019333084699251295,-0.9648780260334394,0.0017484422199751976,0.953400565613638
obi1,-0.9180834531784058,0.007519552716985345,0.9286317467689514,-0.9303115665912628,0.002011378644965589,0.9375816583633423,-0.07613469507008785,-13.946446156273883,-0.09739903416544402,-6.358931102558088
obi10,-0.5026053488254547,0.08362581208348274,0.6067785918712617,-0.9187050521373749,-0.0058021931909024715,0.9230367124080658,0.014475121415156552,3.9133078628913247,0.029277594076580832,7.644983575767746
delta1_bp,-1.2076926231384277,0.013772992417216301,1.2272579193115236,-1.0955704689025878,0.003010770305991173,1.1289288043975831,-0.13061670952565688,-12.095081496009378,-0.14939769292866126,-8.009275160491827
micro_slope,-0.09240960404276848,0.004046976566314697,0.1050864115357399,-0.09802535027265548,3.8411883451772155e-7,0.09729415103793145,0.0820386608333225,14.31403294188054,0.128546228697315,9.823041784070583
ofi_1s,-101.39999999999999,0.0,95.09400024414072,-17.87060012817381,0.0,17.602799606323245,0.0074985308540208755,2.0386331185596225,0.030162284614336794,6.54222840148199
ofi_z,-0.6744933307170867,0.0,0.6376760542392731,-0.5670449674129485,0.0022943412186577916,0.6081205129623414,0.01649951217766517,5.655942103321607,0.0320295513514841,8.308137685695762
cancel_rate,0.004764835815876722,0.4727718234062195,3.4929104804992677,0.09221544563770301,5.17947244644165,42.423282623291016,0.0060961576308294204,0.840619058727289,0.0026828021559292307,0.9684090208015261
add_intensity,4.099999904632568,17.5,63.2100006103516,6.400000095367432,19.899999618530273,48.5,0.0023428569257294015,0.463439835304276,0.008071514199878725,2.081739831680481
cancel_intensity,4.099999904632568,17.5,62.609998703002965,6.300000190734863,19.799999237060547,47.900001525878906,0.0024308146071772055,0.48748156213302035,0.007948503195777562,2.1388194742371454
trade_imb,0.0,0.0,0.0,0.0,0.0,1.0,0.018548457933428655,4.591394452275348,0.046810225119554974,5.620775364797729
signed_vol,0.0,0.0,0.0,0.0,0.0,0.17900000512599945,0.006529314451003342,1.4985217642673914,0.02272924776061252,3.461003552728496
aggr_mom,-27.353000259399412,0.0,21.692000389099128,-6.967600011825561,0.0,5.560399961471559,0.013370638318852308,2.76901286219611,0.026377454151402368,2.971290774847875
liq_conc,0.21180847883224488,0.2917862832546234,0.5078089237213135,0.39348587691783904,0.611466109752655,0.8538241624832154,-0.0017078472101109106,-0.45607719045843564,-0.0028065239849397925,-0.964572105131541
gap12_b,1.0,1.0,2.0,1.0,2.0,10.0,-0.04063368239238396,-9.146377343287819,-0.05559371547230304,-18.01127757634572
elast_b,0.6070034146308899,1.5544897317886353,2.5296131134033204,0.0,0.5659676790237427,1.8536425828933716,0.05131372807520613,10.720036124887278,0.07948250077774863,14.853792687356812
t_since_mid_move,0.0,1.0,9.0,0.0,0.0,5.0,-0.002186714991890818,-0.8122330475771887,-0.003324740664435947,-1.0915632672547593
