coin,cfg,n_days,se_lag0,t_lag0,p_sign,pairs_day,ev_pair_bp,ev_pair_nw,se,t,day_bp,se_day,t_day,p_day_pos,worst_day_bp,p_off_60s
xyz:AMD,無作為の門,37,0.42556079950194353,-4.310187244546734,8.364584573428147e-6,31.625,-1.952578944927838,-1.834246729792387,0.28138632475736347,-6.5186065149898065,-61.90742841930103,26.74546516606064,-2.3146887906014095,0.15,-605.5091717802097,NaN
xyz:AMD,門あり,40,0.7566455305348593,-0.8278833312026654,0.6358280026288412,24.275,-0.3978568724149297,-0.6264142223588074,0.39183002487300045,-1.5986886726249223,-9.695767818537904,12.06814606465593,-0.8034181693353855,0.45,-210.3230838370386,0.7708971407408907
xyz:AMD,門なし+130ms,40,0.0810545985093617,-28.521459987622904,1.8189894035458565e-12,1042.975,-2.247387854081737,-2.311795488197599,0.10502846355054829,-22.011133078081958,-2347.700727852381,334.32298590685076,-7.022253410079613,0.0,-6076.3961693654155,0.6398453400233346
xyz:AMD,門あり+130ms,39,0.9490778674444895,-2.5524849255573603,0.26818725105476915,18.875,-1.501990648635876,-2.422506949832186,0.8248405054870639,-2.9369398492399554,-28.38786573366765,9.421225554474582,-3.0131818381298516,0.4,-234.85806131299464,NaN
xyz:AMD,差(門あり−門なし),40,0.7481712921908965,1.9966440142282726,1.8189894035458565e-12,NaN,1.4938317321703856,1.4938317321703856,0.42667841832369996,3.501071692445173,2381.093476066846,371.5369229662972,6.408766743979412,1.0,208.39635983384403,NaN
xyz:AMD,差(門あり−無作為の門),37,0.8897943977374083,1.5973236726535986,0.006426576095691416,NaN,1.4212896553005139,1.4212896553005139,0.5933953809377153,2.395181528131405,52.21166060076312,16.122508277716186,3.238432860532486,0.725,-120.7350357526178,NaN
xyz:KIOXIA,門なし,19,0.8385739836583177,2.1406228542381336,0.063568115234375,1780.7368421052631,1.8365336369821426,1.79507063438851,0.555337768134925,3.232394296568677,3258.247098519911,1074.7480851749503,3.0316379656443164,0.7368421052631579,-8110.032054824608,0.77946036050409
xyz:KIOXIA,無作為の門,19,0.7988303070604124,2.943471416332484,0.063568115234375,943.8947368421053,2.8353937583226534,2.351334175332425,0.4550337965398516,5.167383594828206,2672.452093729691,573.2622549176461,4.661831597675327,0.7368421052631579,-1819.9997869764504,0.7823295074907121
xyz:KIOXIA,門あり,19,0.7038078409427725,9.168611801286351,3.814697265625e-6,882.4736842105264,7.128156757931182,6.452940876305771,0.5291506052630236,12.194904082360868,6287.955578214158,1047.1365843683511,6.004904873042086,1.0,126.19649900905912,0.802516938365942
xyz:KIOXIA,門なし+130ms,19,0.8755435902743712,1.0563905907234132,0.1670684814453125,1511.0526315789473,0.9175874843134101,0.9249160105340412,0.6875376758903775,1.3452586570419622,1377.4201479355556,844.3880310413375,1.6312644155280822,0.6842105263157895,-8898.994288377695,0.7587345655764501
xyz:KIOXIA,門あり+130ms,19,0.6514230541970136,8.87262845243671,3.814697265625e-6,692.2631578947369,6.671685415868977,5.779834725241644,0.4262374480095219,13.560128872375675,4616.537713860132,770.0147850677682,5.99538840472243,1.0,53.08389987904486,0.7793886280034195
xyz:KIOXIA,差(門あり−門なし),19,0.5425079078257373,8.585810777551739,0.0192108154296875,NaN,4.657870241917261,4.657870241917261,0.7375394194807584,6.315418700191631,3029.7084796942468,734.9507203358587,4.122328743769007,0.7894736842105263,-956.6996929817224,NaN
xyz:KIOXIA,差(門あり−無作為の門),19,0.4538491372238281,9.037379086060765,3.814697265625e-6,NaN,4.101606700973346,4.101606700973346,0.521129730610834,7.870605839673957,3615.5034844844677,535.7167506867679,6.748908784072056,1.0,21.517946138922014,NaN
xyz:SKHX,門なし,40,0.07311077661661594,-17.340402279521495,1.8189894035458565e-12,10166.2,-1.2616280835851048,-1.2677702775003539,0.16516072718576325,-7.675979024204944,-12828.688232116727,1741.7368563052812,-7.365457178950683,0.0,-54794.88069702257,0.9585495660713139
xyz:SKHX,無作為の門,40,0.09802095588959972,-12.896848674076542,1.8189894035458565e-12,2268.9,-1.1494639961422333,-1.2641614349964994,0.21015569006845652,-6.015356684297765,-2608.1939432543704,643.9543799448177,-4.050277511083742,0.0,-21915.368911828886,0.9628412896816766
xyz:SKHX,門あり,40,0.10693035534518862,-6.880379266733268,0.000042277022657799534,2760.05,-0.6200796818939135,-0.7357213999014567,0.26822925118878205,-2.742882801337911,-1711.9732431474847,1051.1040722228256,-1.6287380939616036,0.175,-23285.67936366242,0.9872422988785828
xyz:SKHX,門なし+130ms,40,0.07749051865660488,-18.305240070861853,1.8189894035458565e-12,7789.275,-1.491041127333004,-1.4184825472247515,0.1488492860351377,-9.529656372620433,-11616.98821358526,1301.5138172015756,-8.925750967871627,0.0,-46703.43436041062,0.9538680567821167
xyz:SKHX,門あり+130ms,40,0.1099950861097402,-8.44106359286334,1.946500560734421e-8,1815.25,-0.9560949050306025,-0.928475516754796,0.2576569757117108,-3.6035333962533804,-1735.608412865676,725.9472155523471,-2.390819023315785,0.075,-18652.191210254754,0.9853143118419752
xyz:SKHX,差(門あり−門なし),40,0.07096086219458528,7.497779214406102,1.8189894035458565e-12,NaN,0.5320488775988973,0.5320488775988973,0.11559235931094315,4.602803167704945,11116.714988969241,968.9839195127644,11.472548475891195,1.0,787.8504267632047,NaN
xyz:SKHX,差(門あり−無作為の門),40,0.07026398441366795,7.520780944956619,0.0001821658297558315,NaN,0.5284400350950428,0.5284400350950428,0.0736559746883895,7.1744354389534895,896.2207001068853,508.5230095895579,1.76239950445949,0.8,-2521.3122688500407,NaN
xyz:SMSN,門なし,40,0.08213777699556965,-20.758604813467738,1.8189894035458565e-12,4534.975,-1.6592992019606005,-1.7050656529077717,0.1378341509948491,-12.370415028504006,-7532.297260747815,1257.9204761049082,-5.987896217470933,0.0,-27216.800228024054,0.8897940083496471
xyz:SMSN,無作為の門,39,0.2353361199975439,-7.575337186579459,1.8189894035458565e-12,169.875,-1.517629639859495,-1.78275046116272,0.14956441137053253,-11.919616737875659,-257.8073350711318,42.02885458156216,-6.134055701442564,0.0,-1591.1000802209971,NaN
xyz:SMSN,門あり,39,0.21376883551583678,-2.7512186838976027,0.1538599441628321,210.95,-0.3958116600739407,-0.5881248143062036,0.25035986352815814,-2.349117809932249,-83.49646969259774,69.56867546331705,-1.2002020900430208,0.375,-741.8229393999763,NaN
xyz:SMSN,門なし+130ms,40,0.0815238545641385,-23.62575377336204,1.8189894035458565e-12,3721.275,-1.933225597709479,-1.9260625145877133,0.13496532361522498,-14.270795364287489,-7200.889019617833,1049.1372070603306,-6.863629438702907,0.0,-24808.30830740324,0.8775162519008253
xyz:SMSN,門あり+130ms,39,0.2586615896380856,-4.539653402013318,0.0001821658297558315,144.125,-1.0317980994875442,-1.1742339653707081,0.19011813573736894,-6.176338521396015,-148.70790108864227,38.98704643468317,-3.814289993415623,0.2,-899.8393471545255,NaN
xyz:SMSN,差(門あり−門なし),39,0.17651091098978697,6.277632117189012,1.8189894035458565e-12,NaN,1.1080705638637773,1.1080705638637776,0.13338477017447523,8.307324460014103,7448.800791055216,1205.9450005181684,6.176733423045518,1.0,503.40487259508046,NaN
xyz:SMSN,差(門あり−無作為の門),39,0.23674362030874282,5.046073238630794,0.006426576095691416,NaN,1.1946256468565168,1.1946256468565168,0.22862599728409547,5.225239741095804,174.31086537853403,65.47036845085886,2.6624390469005736,0.725,-233.42190479583525,NaN
xyz:SNDK,門なし,40,0.09813766124836619,-19.00750917565778,1.8189894035458565e-12,4299.025,-2.067791605049918,-1.8653524966559154,0.18512858137414964,-10.075983312841306,-8891.37193796885,1607.6774278901762,-5.530569617835201,0.0,-32985.017011791475,0.8856547741826473
xyz:SNDK,無作為の門,40,0.23244664511385324,-7.611060972365924,1.4933903003111482e-9,181.15,-1.9517495652925783,-1.7691655887834408,0.17722124400239864,-9.982807641049488,-353.5594337527506,53.183163535757316,-6.647957929675196,0.05,-1750.2741818428017,0.9006426791362887
xyz:SNDK,門あり,40,0.24318213421280183,-3.4103734253650764,0.03847730828420026,153.3,-0.6036606923496712,-0.8293418880429027,0.38769485469232795,-2.1391614513457053,-92.54118413720457,44.70215425181405,-2.070172806793739,0.325,-1105.0924324080258,0.9818684601417644
xyz:SNDK,門なし+130ms,40,0.10574415083672258,-19.310116234452263,1.8189894035458565e-12,3394.5,-2.3069752848022644,-2.0419318437705654,0.1550732409007897,-13.167531883059826,-7832.865454285592,1249.055595047247,-6.271030277070498,0.0,-27884.793526296427,0.8716640225772293
xyz:SNDK,門あり+130ms,40,0.3899658245718219,-5.295311125845768,0.000042277022657799534,106.225,-1.7670778427635039,-2.0649903695547875,0.6033136229731345,-3.4227477897457343,-187.7078438475532,48.47631896092726,-3.872155474487428,0.175,-1132.7869288168552,0.9739465231246978
xyz:SNDK,差(門あり−門なし),40,0.22922934169959777,4.51953751178456,1.8189894035458565e-12,NaN,1.0360106086130128,1.0360106086130128,0.23473902630807073,4.413457041665308,8798.830753831644,1569.5082097333786,5.60610686791269,1.0,449.36419724497864,NaN
xyz:SNDK,差(門あり−無作為の門),40,0.35863640159232496,2.6205474306784664,1.8570244719740003e-7,NaN,0.9398237007405378,0.9398237007405378,0.47574428307414357,1.975480808024904,261.018249615546,37.678357199174606,6.927537955961199,0.9,-638.782134534931,NaN
