coin,cfg,n_days,se_lag0,t_lag0,p_sign,pairs_day,ev_pair_bp,ev_pair_nw,se,t,day_bp,se_day,t_day,p_day_pos,worst_day_bp,p_off_60s
xyz:MU,門なし,39,0.06116647187669634,-27.665335678043533,3.637978807091713e-12,6246.871794871795,-1.8470198257342327,-1.6921909767104137,0.1086536496142011,-15.574175213800121,-11540.568323303403,2204.348791594623,-5.235364007415075,0.0,-30699.032260816366,0.9381004280344416
xyz:MU,無作為の門,37,0.7328070856807576,-3.0605319848321346,3.353161446284503e-7,39.12820512820513,-1.6340936977142224,-2.242779524437581,0.6979416403226996,-3.2134198547039143,-63.99687308361552,17.282701608504507,-3.702943818235212,0.10256410256410256,-276.84282938857916,NaN
xyz:MU,門あり,38,0.36709542627586933,-1.8725322508818931,0.0002940768754342571,23.743589743589745,-0.7611337921116932,-0.6873980248528017,0.33696478739674934,-2.0399699035716896,-18.072048499882765,5.232263657572086,-3.4539636537101974,0.20512820512820512,-142.5321412741403,NaN
xyz:MU,門なし+130ms,39,0.07801568414264783,-24.83424174065627,3.637978807091713e-12,5010.871794871795,-2.1302985578183824,-1.9374603595612,0.09329528545637898,-20.766969628567956,-10677.313983191949,1880.1459183254208,-5.678981550911672,0.0,-27148.740080797197,0.9290430694102463
xyz:MU,門あり+130ms,37,0.3759260130761414,-4.598449405065414,0.00007025478407740593,13.179487179487179,-1.554931770923781,-1.7286767511785952,0.2288817810382166,-7.552705782597683,-20.493203339867264,2.5866693304977058,-7.9226219981987915,0.1794871794871795,-94.37358174894234,NaN
xyz:MU,差(門あり−門なし),38,0.3613532973631649,2.8071466608992095,3.637978807091713e-12,NaN,1.0143717020979273,1.0143717020979275,0.2561886863065822,3.9594711098366933,11522.496274803518,2201.2009329460825,5.234640828259978,1.0,1500.0521798468594,NaN
xyz:MU,差(門あり−無作為の門),37,0.6839392928579809,2.2328320434743087,0.0002940768754342571,NaN,1.5271215688844597,1.5271215688844593,0.5173551425958962,2.951785810462673,45.92482458373274,14.0398292564419,3.2710386818031307,0.7948717948717948,-96.07708287570821,NaN
xyz:INTC,門なし,40,0.13295000777996585,-10.000095270104154,1.382612026645802e-6,826.3,-1.3462163942618943,-1.329512743960747,0.15746107338301182,-8.443437577278612,-1115.9301785453436,102.07495509233146,-10.932458187573374,0.125,-4527.794122530671,0.6123924795977134
xyz:INTC,無作為の門,38,0.3477674905982417,-3.236607455744099,0.0022214337732293643,71.375,-1.1033968769902878,-1.125586852935685,0.2707062718790908,-4.1579637040637945,-78.82643455571315,22.395158216330596,-3.5197980650224987,0.25,-920.1115247077164,NaN
xyz:INTC,門あり,36,0.7352112792657038,-1.5168546640052574,0.0806904677519924,30.525,-1.1454319995881548,-1.1152086579834546,0.686827283810856,-1.623710478995138,-35.14503470879443,10.594900000151856,-3.317165306731606,0.35,-353.51898967056144,NaN
xyz:INTC,門なし+130ms,40,0.14529098768802798,-10.151723890698326,1.382612026645802e-6,701.125,-1.5489148254046614,-1.47495399081571,0.1572733666854878,-9.378282044189302,-1089.3420700409747,110.89937879600953,-9.822796862052146,0.125,-4160.226049915412,0.5721908666313418
xyz:INTC,門あり+130ms,34,0.9938286930745314,-3.2807831149405096,0.006426576095691416,21.8,-2.2143799218988187,-3.2605363953823168,0.5120266599797948,-6.367903568753591,-48.45420521876024,13.925194169520882,-3.4796071515336995,0.275,-445.7612010691177,NaN
xyz:INTC,差(門あり−門なし),36,0.7750630976030918,0.20267726566640443,1.382612026645802e-6,NaN,0.15708766934112825,0.15708766934112817,0.6943439808613835,0.2262389732913788,1080.7851438365492,106.59836135967697,10.138853262385874,0.875,-418.9408419957314,NaN
xyz:INTC,差(門あり−無作為の門),35,0.8413792287430855,0.06807173328499519,0.42959050784338615,NaN,0.05727414245053422,0.05727414245053427,0.7308403846141998,0.07836751177997434,43.68139984691872,18.177730558905395,2.403017236137814,0.575,-428.88856979928426,NaN
xyz:AMD,門なし,40,0.07953196705611537,-26.659040798440344,1.8189894035458565e-12,1201.8,-1.9860721847595575,-2.120245954529193,0.09568939501608066,-22.157585531530266,-2390.789243885384,362.40501029134117,-6.597009356916462,0.0,-7223.590814003451,0.6646138616319239
