dt,ok,n_lgt,n_bnc,gz_bad,usable_pct,lgt_fresh_pct,bnc_fresh_pct,lgt_move_pct,bnc_move_pct,lgt_lat_ms_p50,bnc_lat_ms_p50
2026-08-18,true,824718,1391182,7,40.175,62.24131944444444,40.86666666666667,50.69026711839406,23.860310216875245,-29.9568,-27.7401
2026-08-19,true,1508587,3663055,0,94.48564814814814,99.11701388888889,95.05543981481482,55.43182141124705,26.332874383234767,-34.8521,-32.7784
2026-08-20,true,1716633,2438279,0,88.37025462962963,98.06493055555555,88.84351851851852,54.03166129461088,22.70421561218516,-76.5624,-75.1099
2026-08-21,true,1262710,1469099,0,81.96203703703704,96.83877314814815,82.89340277777778,46.780634666003905,18.45592471672748,-74.3127,-71.8295
2026-08-22,true,265118,197781,2,37.47939814814815,75.14409722222221,44.23009259259259,21.47754013007146,6.7240644551636395,-59.08355,-58.172
2026-08-23,true,351978,264155,20,45.303472222222226,83.2125,50.018634259259265,25.07370561695561,7.186617001599297,-57.40145,-56.32915
2026-08-24,true,1394345,1893216,0,85.36354166666666,97.96539351851851,86.20659722222223,51.567709456152265,19.483933774529145,-67.1097,-64.20885
2026-08-25,true,1275326,1824141,0,83.93356481481482,97.59560185185185,84.68506944444445,53.681262462320014,18.476776992385403,-62.2109,-60.2243
2026-08-26,true,1188998,1392743,0,84.24988425925926,98.95925925925926,84.74791666666667,50.86843453735924,16.429712646599416,-59.0591,-59.2893
2026-08-27,true,1360926,1486739,0,83.05613425925927,97.69918981481482,83.7837962962963,54.09828526835794,17.900655653179673,-59.5189,-61.11
2026-08-28,true,1413613,1427988,14,73.76319444444445,92.82766203703704,74.86562500000001,53.405071911177224,18.668662543110617,-63.4033,-63.7785
2026-08-29,true,124779,116530,0,28.064699074074074,59.71944444444445,34.67939814814815,14.835923935681027,4.252739412485205,-54.8231,-53.7158
2026-08-30,true,270676,224236,0,37.41956018518518,74.01076388888889,42.95682870370371,22.926338905986608,6.977621750359568,-66.4934,-66.1457
2026-08-31,true,1254679,926606,0,70.92673611111111,89.94988425925926,71.90613425925926,50.855489575021174,13.983684912215427,-69.5896,-67.9865
2026-09-01,true,1397488,1201978,0,81.31018518518518,98.16828703703703,81.77187500000001,55.212520639981776,16.163240904173545,-71.8473,-68.8852
2026-09-02,true,1169509,1053942,0,76.68344907407408,97.97858796296296,77.15277777777779,48.83698465764589,14.559162019183603,-70.9165,-67.6387
2026-09-03,true,1148036,1167642,2,71.18298611111112,92.975,72.5630787037037,48.03998562650706,15.852954614557877,-66.9897,-64.97
2026-09-04,true,1065704,1310945,36,71.81574074074074,90.71585648148148,74.13460648148148,42.91074122303735,17.013705341602094,-57.23,-55.092
2026-09-05,true,148364,171174,1,30.990856481481483,53.455671296296295,41.00219907407408,13.341748798368695,6.338861895496358,-61.0386,-59.989
2026-09-06,true,232333,198122,0,41.18553240740741,64.84363425925926,49.628935185185185,17.212366127758592,6.632419353478921,-63.8446,-64.4369
2026-09-07,true,524984,380882,0,53.68194444444444,84.1363425925926,56.24988425925926,30.71330625339577,9.016153096513243,-61.5098,-60.9521
2026-09-08,true,1457157,1550078,44,84.40844907407407,97.42939814814815,85.15370370370371,50.71130923406222,18.719739362584654,-62.2006,-59.3644
2026-09-09,true,277952,162456,11,19.89421296296296,26.68715277777778,19.973148148148148,47.088186356073216,10.536634746285328,-64.388,-60.609
2026-09-10,true,863889,741129,3,45.87928240740741,53.79409722222223,46.32164351851852,56.08518732482839,18.7221396731055,242.608,244.051
2026-09-11,true,1474943,1029502,0,72.4798611111111,95.06689814814816,72.99895833333333,53.48676037085652,15.938654734872074,427.4584,430.5617
2026-09-12,true,182625,102770,0,19.584027777777777,60.55891203703704,23.70740740740741,18.758791059418698,5.14934458588939,423.6819,424.3654
2026-09-13,true,572110,458736,16,48.29490740740741,76.00300925925926,53.424884259259265,29.575955980329187,8.514911280040645,422.69455,425.0573
2026-09-14,true,1258353,867395,23,52.88437499999999,63.5425925925926,53.63217592592593,56.65268175461403,17.7967307258804,409.6328,413.3823
