coin,dt,hour,n_bbo,n_fill,half_spread_bp,tick_bp,room_bp,sigma_short_bp,x1,depth,trade_size,depth_over_trade,obi_ic_mid,obi_ic_micro,n_lot,ev
xyz_MU,2026-05-04,0,9386,4694,4.066105845253459,0.18075991468132027,3.8853459305721385,2.125907918827828,1.8276172246982458,5.80625,0.8474999999999999,6.851032448377582,0.0827062325423141,-0.3336184957265147,143,0.11653317592816649
xyz_MU,2026-05-04,1,3133,743,1.08593354086734,0.18091852334301248,0.9050150175243276,0.8598879570442595,1.0524801633868508,5.2355,0.903,5.797895902547065,0.10684175574006517,-0.19990967889621208,24,-3.74070454693477
xyz_MU,2026-05-04,2,3427,1014,2.6051258096098926,0.17891648178630215,2.4262093278235906,1.0054153422345704,2.4131413415984446,4.8635,0.7515000000000001,6.471723220226214,0.11130377954515934,-0.2631126916906271,36,-4.4139186787441655
xyz_MU,2026-05-04,3,2376,616,3.0144249119217283,0.1772342593823386,2.8371906525393897,0.7814035509413346,3.6308904011525245,4.77125,0.7945,6.005349276274387,0.16644570381380527,-0.25644404711530133,26,0.37100660915558153
xyz_MU,2026-05-04,4,2359,727,2.217157249660775,0.1774843370072591,2.039672912653516,2.266249089142775,0.9000215035607744,4.452,0.295,15.091525423728815,0.009569520638326473,-0.18438214280809406,36,3.209072789089987
xyz_MU,2026-05-04,5,3015,751,2.305495947647427,0.17747488730344654,2.1280210603439804,0.504233986168901,4.220304697254513,4.45,0.223,19.955156950672645,0.08179498084057807,-0.42495759683881834,41,2.6424870534640985
xyz_MU,2026-05-04,6,3681,737,2.495855097784807,0.17829602489012508,2.317559072894682,0.6191178610713286,3.743324524484484,4.8155,0.11,43.77727272727273,0.1304886579625561,-0.40404803194449834,37,-2.370090015405613
xyz_MU,2026-05-04,7,3315,828,3.3001828479686437,0.17811183642208947,3.1220710115465544,0.6245351111522784,4.999032009243288,1.9085,0.085,22.45294117647059,0.10472257199039468,-0.38592177496602736,37,0.758747270289884
xyz_MU,2026-05-04,8,4847,860,4.3295509894829625,0.17968644714972373,4.149864542333239,0.913810209597591,4.541276184866319,0.599,0.12,4.991666666666666,0.15277580153534448,-0.3930245002470402,52,1.3301950839276497
xyz_MU,2026-05-04,9,4342,697,3.0350368630097178,0.17881890115785243,2.8562179618518653,0.7082516405820417,4.032772814341275,4.4624999999999995,0.231,19.318181818181817,0.12729069468722334,-0.36009254647605254,46,-0.6247025332818537
xyz_MU,2026-05-04,10,8859,1391,4.4500549445560305,0.18102168639803046,4.269033258158,1.981595270119392,2.1543416673076683,9.92,0.898,11.046770601336302,0.12976839484553757,-0.37360979148854606,79,-5.233729201074265
xyz_MU,2026-05-04,11,4916,578,2.6942316606851353,0.17910233907654838,2.515129321608587,0.7202418644541403,3.4920621054355996,9.2025,0.267,34.46629213483146,0.09088892243923231,-0.3955677727664995,39,-1.2726905948769014
xyz_MU,2026-05-04,12,5335,800,2.3175384176570093,0.17913281802792683,2.1384055996290825,0.6381495479245606,3.350947448891519,9.0625,0.264,34.327651515151516,0.17489231557670387,-0.36144485539808124,62,-0.5017535727350942
xyz_MU,2026-05-04,13,14623,3186,2.5077177174577243,0.17388431476538657,2.3338334026923375,3.1791064661989887,0.7341161510336963,11.820500000000001,1.0,11.820500000000001,0.08100137045202362,-0.23377333942026352,158,-4.119135826737679
xyz_MU,2026-05-04,14,5006,1220,2.201281824758703,0.16965255157437564,2.0316292731843273,1.439907668348131,1.4109441305462467,8.56475,0.478,17.917887029288703,0.14594609550273424,-0.23462613298182916,73,-1.650494026441178
xyz_MU,2026-05-04,15,5499,587,2.0573309559731956,0.171777033410633,1.8855539225625626,2.367246134391003,0.7965179011888596,6.517,0.47,13.865957446808512,0.137350320361324,-0.2950403331848011,50,-4.138754113437608
xyz_MU,2026-05-04,16,11235,1938,1.9030483374280067,0.1728444141006473,1.7302039233273594,1.332035488679431,1.2989172871382497,8.6445,1.0,8.6445,0.116319254007988,-0.33157320792442424,127,-1.6531257172386478
