window,n,mean_s,max_s,p1,p5,p25,p50,p75,p90,p95,p99,share_zero,share_lt_0.001,share_lt_0.01,share_lt_0.1,share_lt_1.0,share_lt_10.0,share_lt_60.0,share_lt_600.0,share_lt_3600.0,n_rejected,n_orphan,n_censored,n_nonresting,n_other_tif
開場前 1 時間,775275,136.1039542335586,1604689.3534889831,0.0,0.0,0.3343792149662566,1.1726790986897193,5.828213596604047,24.648196282687824,60.02324136840906,368.13130235398177,0.0952216955273935,0.0952216955273935,0.0952216955273935,0.13486311308890395,0.4658630808422818,0.8116887556028506,0.9496746315823418,0.9934861823224017,0.9988017155202993,0,0,50,9622,0
開場後 1 時間,1080760,258.0160776550297,1333853.5273058591,0.0,0.0,0.38970811583499954,1.3620182713323117,6.148145841980415,22.459120372054745,50.998195101378215,249.98605869745842,0.08195436544653763,0.08195436544653763,0.08195436544653763,0.12076224138569155,0.4454171138828232,0.8112124801065916,0.9572671083311743,0.9952736962877975,0.9984557163477553,0,0,337,19534,0
昼 12 時から 1 時間,686621,154.49898384023413,1632308.06214196,0.0,0.0,0.4041240756952004,1.860531797604487,9.339943140105849,33.92305511628998,81.87805014185216,539.1355196307184,0.08358468500089569,0.08358468500089569,0.08358468500089569,0.10973156952671125,0.39886633237258984,0.7630657961233344,0.9349845111058357,0.9908843452210171,0.9977877169501078,0,0,60,6974,0
閉場前 1 時間,630187,133.3341113970432,1011139.415688502,0.0,0.0,0.45741427936244183,2.0228759296145764,9.467999106123028,32.999371117581944,76.72275971975037,439.9384412922032,0.0714771964512121,0.0714771964512121,0.0714771964512121,0.09411809510510373,0.37916205824620314,0.7611740642063387,0.937090101826918,0.9925768065669397,0.9985607446678526,0,0,26,6400,0
夜 12 時から 1 時間,1460757,44.60394781119249,1018597.1220647431,0.0,0.0,0.3328258569265208,1.055381581526105,4.170754686475978,15.196671099458785,35.98583308703989,183.87818736243432,0.09654788578798527,0.09654788578798527,0.09654857036454387,0.13523399169060973,0.47943429331504145,0.8637980170555404,0.9675846153740835,0.9968085040838415,0.9992161598404116,0,0,211,19277,0
(参考)昼 12 時 UTC,422868,67.63958105639848,450324.306240983,0.0,0.0,0.26858051805355454,0.8895993244578708,4.95172444338709,20.079366186298454,52.62696601557219,340.7852985449813,0.09967176518440743,0.09967176518440743,0.09967176518440743,0.14280815762838522,0.5171235468278517,0.8384200270533595,0.9551018284665664,0.9937782002894521,0.9986402376155207,0,0,16,4224,0
(参考)夜 12 時 UTC,1591007,99.3674331933565,2084970.0497417082,0.0,0.0,0.403087176477058,1.2646499869410737,4.595455208496108,15.3873271803809,35.58928396252777,197.314514059834,0.06849247049195886,0.06849247049195886,0.0684937275574526,0.09735406569549977,0.4289616576168427,0.8580967902718215,0.9692647486780385,0.9961848062264969,0.9987209358601188,0,0,151,45720,0
