dt,n_open,n_carry,n_nobbo,n_wallet_matched,big_threshold
2026-05-04,1167536,988,10,1167536,270.392
2026-05-05,1362470,1184,522,1361949,270.392
2026-05-06,1917401,1581,558,1916844,270.392
2026-05-07,2104030,1318,1012,2103024,270.392
2026-05-08,2237678,1643,704,2236977,270.392
2026-05-09,306803,1800,862,306019,270.392
2026-05-10,308559,1849,590,307977,270.392
2026-05-11,2297509,2631,789,2296721,270.392
2026-05-12,3146669,2613,1505,3145165,270.392
2026-05-13,2821206,2760,1027,2820181,270.392
2026-05-14,3218459,2819,1007,3217473,270.392
2026-05-15,4220844,2533,1593,4219251,270.392
2026-05-16,444173,2395,808,443369,270.392
2026-05-17,664012,2471,576,663447,270.392
2026-05-18,4572065,2862,1165,4570902,270.392
2026-05-19,5032977,3124,932,5032055,270.392
2026-05-20,4100301,3881,1169,4099149,270.392
2026-05-21,4198773,3859,1092,4197686,270.392
2026-05-22,2718818,3690,870,2717972,270.392
2026-05-23,632372,3640,813,631565,270.392
2026-05-24,692465,3909,676,691789,270.392
2026-05-25,910201,3950,684,909521,270.392
2026-05-26,4264871,4426,972,4263909,270.392
2026-05-27,5541287,6010,1058,5540230,270.392
2026-05-28,5031443,5795,1250,5030237,270.392
2026-05-29,3166578,5564,1217,3165372,270.392
2026-05-30,585724,5787,741,584987,270.392
2026-05-31,627965,5747,849,627123,270.392
2026-06-01,3252267,5707,939,3251340,270.392
2026-06-02,3232372,6168,834,3231538,270.392
2026-06-03,3045348,5710,1349,3044002,270.392
2026-06-04,4990355,5947,1064,4989293,270.392
2026-06-05,7544325,6137,1282,7543043,270.392
2026-06-06,1542006,6632,784,1541246,270.392
2026-06-07,1797099,7012,807,1796331,270.392
2026-06-08,6383617,7314,1278,6382368,270.392
2026-06-09,6474217,8128,1563,6472654,270.392
2026-06-10,8464086,8421,949,8463171,270.392
2026-06-11,7014456,8647,1298,7013182,270.392
2026-06-12,5371852,8157,1477,5370378,270.392
2026-06-13,746715,8054,966,745759,270.392
2026-06-14,768056,8270,649,767425,270.392
2026-06-15,2959262,8004,1112,2958160,270.392
2026-06-16,4114987,8165,948,4114045,270.392
2026-06-17,4620107,8086,989,4619122,270.392
2026-06-18,3709968,8356,1013,3708965,270.392
2026-06-19,1702000,8416,1079,1700927,270.392
2026-06-20,883433,8217,821,882622,270.392
2026-06-21,777521,8269,714,776815,270.392
2026-06-22,3754664,8597,1169,3753555,270.392
2026-06-23,6384090,9907,1693,6382399,270.392
2026-06-24,6799565,10105,2694,6796876,270.392
2026-06-25,6042997,10274,2066,6040931,270.392
2026-06-26,6662171,9633,1884,6660290,270.392
2026-06-27,810066,10324,774,809292,270.392
2026-06-28,1067810,9947,1264,1066554,270.392
2026-06-29,5747092,10849,1366,5745727,270.392
2026-06-30,4216370,10979,1338,4215036,270.392
2026-07-01,5384910,10387,2203,5382717,270.392
2026-07-02,9100866,10854,1913,9098964,270.392
2026-07-03,2865966,10961,1221,2864745,270.392
2026-07-04,687599,11177,664,686937,270.392
2026-07-05,1114479,11060,719,1113796,270.392
2026-07-06,6281971,10950,1674,6280302,270.392
2026-07-07,8867509,10989,2505,8865007,270.392
2026-07-08,10613219,11318,2287,10610976,270.392
2026-07-09,9754544,11624,1935,9752627,270.392
2026-07-10,8933385,11324,2044,8931405,270.392
2026-07-11,1479116,11235,1000,1478126,270.392
2026-07-12,1706938,11029,952,1705998,270.392
2026-07-13,10324227,11134,1842,10322434,270.392
2026-07-14,9638044,11345,1498,9636557,270.392
2026-07-15,8632624,11348,2422,8630255,270.392
2026-07-16,11126030,12328,2210,11123863,270.392
2026-07-17,14427787,12164,2764,14425029,270.392
2026-07-18,1041092,12496,1071,1040041,270.392
2026-07-19,2162304,12393,1161,2161153,270.392
2026-07-20,11768006,12527,1429,11766593,270.392
2026-07-21,9577124,12381,2556,9574570,270.392
2026-07-22,10802706,12822,1740,10800974,270.392
2026-07-23,13669947,13045,1917,13668043,270.392
2026-07-24,12475780,12680,2691,12473089,270.392
2026-07-25,1275999,12364,1265,1274745,270.392
2026-07-26,1936396,12455,896,1935505,270.392
2026-07-27,13878858,11607,2551,13876321,270.392
2026-07-28,18208873,11584,2301,18206574,270.392
2026-07-29,23376260,13444,2398,23373875,270.392
2026-07-30,16313709,15012,3159,16310550,270.392
2026-07-31,16721808,14549,2883,16718925,270.392
2026-08-01,1505916,14739,1241,1504735,270.392
2026-08-02,3455380,14518,1371,3454019,270.392
2026-08-03,13987596,14556,2366,13985239,270.392
2026-08-04,17709614,14488,2534,17707080,270.392
2026-08-05,18400377,14464,2108,18398269,270.392
2026-08-06,16460312,14287,2424,16457905,270.392
2026-08-07,12770824,14055,2266,12768568,270.392
2026-08-08,1074389,13925,1096,1073294,270.392
2026-08-09,1222120,13984,838,1221285,270.392
