dt,day_type,kappa_買い,kappa_売り,t_half_買い,t_half_売り,n_買い,n_売り,asym
2026-05-04,立会日,1.230556085793172,1.2651399101497642,563.2796334594767,547.8818403436546,12190,11280,-0.013857386641967782
2026-05-05,立会日,1.3664519271313287,1.5316612839011352,507.2605678965298,452.5459955444602,20033,19409,-0.05700583267102601
2026-05-06,立会日,1.2875970601822682,1.2661415582211395,538.3261596308907,547.4484115850985,20557,20706,0.008401604536388538
2026-05-07,立会日,1.4470407673830756,1.350753871204797,479.0102973465158,513.155797911352,17978,19261,0.034415283684608576
2026-05-08,立会日,1.5142145695282097,1.5020949243773378,457.76021081075197,461.45364671095933,18497,17669,0.004018037663362983
2026-05-09,閉場日,0.8037548475926255,1.8111890375621054,862.3912410129367,382.7028503613926,832,2330,-0.38526034753126953
2026-05-10,閉場日,1.5260084614868772,1.1928069070321086,454.2226462234868,581.1061344079759,2480,1710,0.12255394695531413
2026-05-11,立会日,1.4557224518680876,1.3800972783280354,476.153415119016,502.24516362707544,25168,24630,0.02666783531223333
2026-05-12,立会日,1.6852472979025932,1.781181788145022,411.30294737629754,389.15016152383316,31494,32491,-0.027675307315117272
2026-05-13,立会日,1.380822262265181,1.4681570344594137,501.9814655670142,472.12060863830936,25764,25192,-0.030654758458455476
2026-05-14,立会日,1.6393084528177062,1.6355165477477356,422.82901632608394,423.80933973213735,31339,28284,0.0011578954812290435
2026-05-15,立会日,1.7620017862989992,1.7153554046642465,393.38619628523077,404.08371274865715,39513,37564,0.01341431986221449
2026-05-16,閉場日,2.1036952159172575,1.846038326195092,329.49047873692496,375.47821813500764,2380,1776,0.06523399286939459
2026-05-17,閉場日,1.982896934414085,1.9722604038204654,349.562889361382,351.4481045288188,4488,4039,0.0026892812811253083
2026-05-18,立会日,1.859618883224115,1.8742765364253202,372.73614868773603,369.821190784332,37327,36951,-0.0039255660788114505
2026-05-19,立会日,1.8937593854146104,1.8922581425239702,366.01649919120587,366.30688222876273,42955,44695,0.000396522963658238
2026-05-20,立会日,1.750462936280402,1.775974752626324,395.9793537543117,390.291123842545,36360,37530,-0.007234444103797922
2026-05-21,立会日,1.7989002553865532,1.7903228725666913,385.31718392079483,387.1632270209736,40183,39962,0.0023897602667998863
2026-05-22,立会日,1.4642634131502157,1.3686843295516806,473.3760211986961,506.4331968986516,24608,23239,0.033738385695522025
2026-05-23,閉場日,1.7460249062108106,1.7941110332300054,396.9858552572551,386.3457544219931,8718,7164,-0.013583130094939309
2026-05-24,閉場日,1.7896983245143379,1.50422333291641,387.2983346218651,460.8012946740521,4465,3928,0.08666720744676049
2026-05-25,閉場日,1.5446865624366117,1.4041318219015744,448.7300793607081,493.64823214036784,7930,10162,0.047664766769480976
2026-05-26,立会日,1.836974418541017,1.7925583427642966,377.33088365103765,386.6804019840414,36814,35151,0.012237408696304703
2026-05-27,立会日,1.835946833277651,1.8616136962967824,377.5420769252311,372.336743084126,47419,47403,-0.006941566693456012
2026-05-28,立会日,1.828220191790163,1.794498626992559,379.1376901275918,386.26230755138914,41389,40875,0.00930835830337365
2026-05-29,立会日,1.7999900969844365,1.8507449403624348,385.0838855842542,374.5233421652391,34215,34453,-0.013902636827591788
