k,side,h,n,n_fill,sum_edge,sum_as,sum_pnl,sum_wait
0,1,0.1,8551816.0,590347.0,993594.263983345,-233967.81284210837,707675.9151412365,26395.206999999995
0,1,0.5,8551816.0,1342450.0,1856929.101989563,-819812.3505332735,918981.1514562904,234976.6930000001
0,1,1.0,8551816.0,1898390.0,2463445.333837426,-1507855.1260737597,788531.8877636673,635761.642
0,1,3.0,8551816.0,3021761.0,4302467.462924676,-3097778.9696692643,938773.5252554123,2612079.7890000013
0,1,5.0,8551816.0,3602361.0,5501543.668587708,-4110342.8737398684,1074193.0268478438,4825497.881
0,1,10.0,8551816.0,4434171.0,7595518.787227765,-5802951.482052697,1402360.2571750707,10743110.664000003
0,1,30.0,8551816.0,5758266.0,12113168.885461682,-9062122.435180852,2544319.042280831,34477144.58100001
0,1,60.0,8551816.0,6328085.0,14503988.445498602,-11339621.939578678,2607495.025919933,59225138.95300001
0,-1,0.1,8551816.0,712785.0,1153740.1123563536,234446.66493096467,856568.3674253892,31247.786000000007
0,-1,0.5,8551816.0,1484655.0,2014543.9196835596,803711.059165127,1080183.2205184323,244429.54100000003
0,-1,1.0,8551816.0,2051172.0,2612920.9802915975,1473148.2347189693,959269.6095726279,652703.6129999998
0,-1,3.0,8551816.0,3281873.0,4552768.423121571,2973442.2826897562,1290521.3164318125,2789036.0100000002
0,-1,5.0,8551816.0,3918218.0,5827975.691268241,3885899.1963980016,1597273.310870238,5191884.8100000005
0,-1,10.0,8551816.0,4821479.0,8104018.869162687,5382397.935188453,2297330.7819742286,11561743.182000002
0,-1,30.0,8551816.0,6199908.0,12816174.640232475,8253093.462557216,4017489.2736752653,36007153.645
0,-1,60.0,8551816.0,6670517.0,14660467.982289933,10146851.331081951,3926611.155207971,56419928.961999975
1,1,0.1,8551816.0,164789.0,433895.72114358586,-193199.06565259385,226195.22349099192,7490.464999999998
1,1,0.5,8551816.0,482577.0,933035.9703823783,-648495.5465298492,242073.64785252855,101339.29500000003
1,1,1.0,8551816.0,821099.0,1325313.8867198105,-1273295.0603905166,-20237.88567070794,350418.25
1,1,3.0,8551816.0,1741221.0,2519970.0778443976,-2996329.8701018975,-629587.2402574989,2041573.5470000003
1,1,5.0,8551816.0,2292811.0,3347703.276253325,-4188035.919656301,-1042100.0114029724,4172365.603000001
1,1,10.0,8551816.0,3119923.0,4836588.36926901,-6304865.750556738,-1742830.6052877263,10102864.477000002
1,1,30.0,8551816.0,4513591.0,8257635.548313704,-10785584.848451031,-2925145.3081373274,35339241.35000001
1,1,60.0,8551816.0,5278764.0,10626817.998104945,-14155943.64468103,-3993656.878576088,68327011.56099999
1,-1,0.1,8551816.0,157638.0,406499.3913424816,192905.89217442,199721.35516806177,7273.726000000001
1,-1,0.5,8551816.0,480788.0,905860.9204967695,645659.241102101,217892.3353946682,102248.16099999998
1,-1,1.0,8551816.0,820363.0,1294862.6618781576,1258074.8932073903,-35404.1753292326,352159.28200000006
1,-1,3.0,8551816.0,1773190.0,2505793.379286839,2938030.190075884,-588277.5307890438,2099841.528
1,-1,5.0,8551816.0,2354448.0,3362469.276667192,4064532.4875537297,-909254.6348865365,4338488.498999999
1,-1,10.0,8551816.0,3236623.0,4953907.021148358,6038628.067966636,-1369543.8708182818,10646735.203000002
1,-1,30.0,8551816.0,4703737.0,8592923.720714014,10196036.881728018,-2017042.0170139985,37105320.139
1,-1,60.0,8551816.0,5474196.0,11001230.023457188,13223901.735282628,-2704400.9598254343,70245080.32199997
2,1,0.1,8551816.0,89246.0,284354.6351056825,-160568.12148689365,115932.8656187888,4144.807000000001
2,1,0.5,8551816.0,302535.0,718380.9968264386,-543805.7151737928,147952.20165264537,68150.32899999998
2,1,1.0,8551816.0,555685.0,1096669.599612677,-1098151.0323564047,-50381.712743727854,255593.50500000012
2,1,3.0,8551816.0,1315305.0,2222759.5127738696,-2732251.3371653394,-625238.6643914725,1671412.75
2,1,5.0,8551816.0,1803571.0,2999481.991199093,-3917413.942985958,-1076646.199786865,3566945.7869999995
2,1,10.0,8551816.0,2569969.0,4395929.7868628055,-6107366.728696227,-1937594.2138334254,9085517.341
2,1,30.0,8551816.0,3930604.0,7600606.9826994175,-10948693.289869111,-3693979.459169698,33900620.606000006
2,1,60.0,8551816.0,4747371.0,9994829.022336815,-14721069.756380979,-5144009.382044164,69122466.78700002
2,-1,0.1,8551816.0,85839.0,276509.9198992127,160093.985259574,108862.10263963873,4047.306
2,-1,0.5,8551816.0,303178.0,710763.7592154711,542221.876709778,141862.21850569334,69198.223
2,-1,1.0,8551816.0,558315.0,1085748.1888861277,1087882.1461680438,-51265.677281916905,258048.32400000008
2,-1,3.0,8551816.0,1334849.0,2225340.54395102,2673927.0650267475,-566053.233075727,1702509.6550000003
2,-1,5.0,8551816.0,1841330.0,3022524.0152754434,3796599.1772491266,-936112.2019736822,3663918.12
2,-1,10.0,8551816.0,2643294.0,4472422.622722086,5828301.244828315,-1588488.4941062322,9427961.963
2,-1,30.0,8551816.0,4054340.0,7773825.222352892,10316049.757076321,-2899006.454723432,35080199.642000005
2,-1,60.0,8551816.0,4886995.0,10189769.339405207,13703313.01601049,-3943599.236605286,70961091.372
3,1,0.1,8551816.0,60347.0,236575.17412188303,-137252.43865922978,94012.19946265355,2813.8669999999993
3,1,0.5,8551816.0,213345.0,625405.4123264116,-464256.5613280838,142374.49099832776,49132.55500000001
3,1,1.0,8551816.0,407638.0,991942.8812992764,-955957.3412909604,113.39600831635744,193571.62199999992
3,1,3.0,8551816.0,1040363.0,2120137.4837458995,-2488423.3629058036,-459837.8231599044,1385941.4889999998
3,1,5.0,8551816.0,1474187.0,2911459.5175479786,-3648097.7739582486,-866366.7124102712,3075630.5640000002
3,1,10.0,8551816.0,2186491.0,4337058.033236264,-5842014.135911527,-1697367.310675259,8222750.340999999
3,1,30.0,8551816.0,3517233.0,7602482.278110423,-10847643.799088603,-3554678.0249781897,32624295.11599999
3,1,60.0,8551816.0,4360614.0,10093483.411796028,-14806040.796567075,-5096291.416771045,69038263.484
3,-1,0.1,8551816.0,58535.0,231452.37393129652,137260.0365375677,89041.25739372896,2764.8239999999996
3,-1,0.5,8551816.0,214130.0,619125.0099851566,462130.509778796,138151.06020636062,49821.562999999995
3,-1,1.0,8551816.0,410313.0,982814.1041196437,948893.0555955878,-2186.495475945281,195625.81699999998
3,-1,3.0,8551816.0,1052084.0,2115909.722061112,2430246.4844839084,-406920.1544227962,1402653.6050000004
3,-1,5.0,8551816.0,1497700.0,2917495.0391543484,3530854.5723035824,-745157.1331492354,3135212.395000001
3,-1,10.0,8551816.0,2234645.0,4367494.000439309,5582375.536956876,-1411530.2965175682,8452637.648999998
3,-1,30.0,8551816.0,3599836.0,7650485.676066178,10244098.392862093,-2910398.284795918,33427628.502
3,-1,60.0,8551816.0,4457133.0,10140379.177000806,13807677.046003716,-4059525.5730028977,70458237.14799997
4,1,0.1,8551816.0,44254.0,204358.93436748575,-119347.09740691645,81117.48496056933,2067.2690000000002
4,1,0.5,8551816.0,159083.0,550725.7793190641,-399212.0225103653,137514.45280869873,36988.153000000006
4,1,1.0,8551816.0,310680.0,896963.9260443632,-834414.5961416704,35209.48990269319,149973.34399999992
4,1,3.0,8551816.0,838612.0,2002520.45905306,-2256992.222691894,-328269.6196388342,1153313.9999999998
4,1,5.0,8551816.0,1223016.0,2795113.483882228,-3377455.615857595,-689967.539975366,2654771.479
4,1,10.0,8551816.0,1882336.0,4234730.161365249,-5551638.607325096,-1482554.0139598472,7433821.324999998
4,1,30.0,8551816.0,3174065.0,7550406.612062559,-10642492.418168657,-3371403.5261060935,31235179.88999999
4,1,60.0,8551816.0,4029879.0,10138474.632942189,-14764259.99574384,-4980414.714801651,68247878.40600003
4,-1,0.1,8551816.0,43328.0,200843.97710649273,119926.06265621823,77105.05045027447,2035.704
4,-1,0.5,8551816.0,159595.0,544397.4172215698,396727.62708945776,133625.43013211203,37363.482
4,-1,1.0,8551816.0,312861.0,887438.7027296756,829483.2786367635,30423.656092912253,151594.34000000005
4,-1,3.0,8551816.0,846020.0,1992505.9329277284,2205028.438917678,-286972.2659899492,1163026.3790000002
4,-1,5.0,8551816.0,1237999.0,2788028.5050120708,3263449.691930874,-584365.098918803,2691701.586
4,-1,10.0,8551816.0,1915119.0,4233925.25003157,5295676.225584963,-1230281.447553394,7593342.197000002
