d,w,n,p50
2026-05-04,夜 12 時から 1 時間,4957,0.7388320020000001
2026-05-04,昼 12 時から 1 時間,80670,0.35856351900000005
2026-05-04,閉場前 1 時間,66817,0.280917377
2026-05-04,開場前 1 時間,38751,0.404914117
2026-05-04,開場後 1 時間,100877,0.47313700200000003
2026-05-05,夜 12 時から 1 時間,15426,0.399174525
2026-05-05,昼 12 時から 1 時間,40924,0.604712658
2026-05-05,閉場前 1 時間,99701,0.524407924
2026-05-05,開場前 1 時間,39262,0.401649588
2026-05-05,開場後 1 時間,97337,0.52942888
2026-05-06,夜 12 時から 1 時間,39381,0.49310887200000003
2026-05-06,昼 12 時から 1 時間,85624,1.40215267
2026-05-06,閉場前 1 時間,84572,1.35112757
2026-05-06,開場前 1 時間,108271,1.1520363980000001
2026-05-06,開場後 1 時間,250763,0.553070438
2026-05-07,夜 12 時から 1 時間,29105,0.40505646300000003
2026-05-07,昼 12 時から 1 時間,92177,0.8240279890000001
2026-05-07,閉場前 1 時間,76220,0.940089923
2026-05-07,開場前 1 時間,48466,1.004090602
2026-05-07,開場後 1 時間,158542,0.8054780130000001
2026-05-08,夜 12 時から 1 時間,6242,3.1094490215
2026-05-08,昼 12 時から 1 時間,119224,0.6536316145000001
2026-05-08,閉場前 1 時間,100226,0.7921427540000001
2026-05-08,開場前 1 時間,54233,1.009166626
2026-05-08,開場後 1 時間,201682,0.5377861025
2026-05-11,夜 12 時から 1 時間,25795,0.350562344
2026-05-11,昼 12 時から 1 時間,95267,0.8791863910000001
2026-05-11,閉場前 1 時間,141370,0.484080204
2026-05-11,開場前 1 時間,90041,0.9415934560000001
2026-05-11,開場後 1 時間,192577,0.671927045
2026-05-12,夜 12 時から 1 時間,35349,0.27744797800000004
2026-05-12,昼 12 時から 1 時間,146477,0.681649758
2026-05-12,閉場前 1 時間,136882,0.478281691
2026-05-12,開場前 1 時間,81133,0.644704226
2026-05-12,開場後 1 時間,207369,0.546195805
2026-05-13,夜 12 時から 1 時間,47956,0.269894637
2026-05-13,昼 12 時から 1 時間,111827,0.5744942940000001
2026-05-13,閉場前 1 時間,105085,0.428213367
2026-05-13,開場前 1 時間,87189,1.4535612640000002
2026-05-13,開場後 1 時間,214251,0.808514083
2026-05-14,夜 12 時から 1 時間,21690,2.393136706
2026-05-14,昼 12 時から 1 時間,89880,0.7366036810000001
2026-05-14,閉場前 1 時間,105319,0.47194140700000003
2026-05-14,開場前 1 時間,73200,1.4459077685000001
2026-05-14,開場後 1 時間,205428,0.8986798575000001
2026-05-15,夜 12 時から 1 時間,48275,0.399417332
2026-05-15,昼 12 時から 1 時間,116300,0.5847249290000001
2026-05-15,閉場前 1 時間,150263,0.403801964
2026-05-15,開場前 1 時間,56568,1.3234820520000001
2026-05-15,開場後 1 時間,242983,0.6760057650000001
2026-05-18,夜 12 時から 1 時間,19215,5.661645812000001
2026-05-18,昼 12 時から 1 時間,137549,1.325311354
2026-05-18,閉場前 1 時間,151315,1.004866732
2026-05-18,開場前 1 時間,28547,1.369178896
2026-05-18,開場後 1 時間,111983,1.1305945960000001
2026-05-19,夜 12 時から 1 時間,24418,1.4917262615000002
2026-05-19,昼 12 時から 1 時間,153461,0.953964044
2026-05-19,閉場前 1 時間,96544,1.1962641980000002
2026-05-19,開場前 1 時間,66716,1.612069301
2026-05-19,開場後 1 時間,321613,0.501653848
2026-05-20,夜 12 時から 1 時間,20641,2.9004572790000003
