block,rule,trig_rate,lat_ms,metric,point,lo95,hi95,se_boot,bias,vs_base,vs_base_lo,vs_base_hi,vs_other,vs_other_lo,vs_other_hi
1,無作為,0.02,130,ev,-0.41102067760707844,-0.47402879729645647,-0.34736784006451465,0.032481049140480785,0.00013426158820084577,0.2888192918611085,0.22831394480522788,0.34961818185225585,0.05013768642422972,0.031104711200727445,0.06733463097061833
1,無作為,0.02,130,mk,-1.0338850142962868,-1.0912450242591856,-0.9755682293599973,0.029644349177346756,0.0006752125760054462,-0.03321718558350084,-0.049540126181519886,-0.017340030253588944,-0.0780707904306962,-0.10315777951111979,-0.053440195359382416
1,無作為,0.2,130,ev,-0.1009961262762099,-0.11510273978752009,-0.08736963709517599,0.007082666705604456,1.5145648717129756e-6,0.598843843191977,0.4869296173211379,0.7104047238711194,0.009833678689346037,-0.001097275094730588,0.02036520507141967
1,無作為,0.2,130,mk,-1.1164511610205068,-1.2092763825655883,-1.0251250306347843,0.046600737562613015,-0.00011138259540333095,-0.11578333230772087,-0.17901329304635724,-0.055265167425778194,-0.26027275524702975,-0.2989329808142012,-0.21931452433217954
1,無作為,0.05,300,ev,-0.26738158216468616,-0.3044752366459803,-0.23034926703257727,0.018919732312652638,0.00005927862896148994,0.4324583873035008,0.3441906359905636,0.520452677222328,0.0815105592533415,0.057928107854700754,0.10362073151733009
1,無作為,0.05,300,mk,-1.0747867352716665,-1.1383688831336956,-1.0114823097815195,0.03223503720146533,0.0005197113650639018,-0.07411890655888054,-0.10102046837953033,-0.04817236254059704,-0.08932727899622861,-0.114052110724302,-0.06429555652936868
1,スコア,0.4,130,ev,-0.06138938814452614,-0.06814600781539276,-0.05476459540379664,0.003438179784265467,0.000016352055439788904,0.6384505813236608,0.5190366577763482,0.7577317937501333,0.00315748110352599,-0.0027024575649728724,0.008432561469754829
1,スコア,0.4,130,mk,-0.8503963340254488,-0.9482017442137414,-0.7619310513377321,0.0470847411404888,-0.0014544174861211845,0.15027149468733714,0.07410588379328381,0.21510499039652023,0.2741216527233856,0.24490921519662795,0.30104378773898993
1,無作為,0.4,200,ev,-0.07395316645383415,-0.0856669392635062,-0.06277990955025613,0.005810076559250621,-3.9641434364107164e-6,0.6258868030143527,0.5116222685000035,0.739436727020964,-0.00013845405645232511,-0.005167243739214029,0.00543713531257429
1,無作為,0.4,200,mk,-1.152085521839843,-1.2582235184965727,-1.0463948717805394,0.053515938481669655,-0.00012614527020704536,-0.151417693127057,-0.23022951855912194,-0.07495993118404184,-0.22831860393989456,-0.2493703123166119,-0.20494140685693293
