dt,slope,iv_hat,omega_bp,half_spread_bp
2026-05-04,0.03688985433566925,85790.287779757,0.1358121024350725,4.211871668627663
2026-05-05,0.10902147254461007,292857.74488223525,0.233475344035093,2.696975534578816
2026-05-06,0.20073407931116008,465482.9696238403,0.31680757512341784,2.1465881174423025
2026-05-07,-0.012566455187002721,113959.08861284434,0.0,2.074562206358117
2026-05-08,-0.012864038256609232,81378.04802341212,0.0,1.6825008692918606
2026-05-09,0.013366155927914396,12656.87674245223,0.08175009458072326,6.721595836947144
2026-05-10,0.04357778018358182,48425.59921562016,0.14761060291114222,3.9222095155480567
2026-05-11,-0.00836987871795001,121838.96029764085,0.0,1.8298655587011823
2026-05-12,-0.020356400988729716,172558.64891851472,0.0,1.8530958282183063
2026-05-13,-0.027187737791956563,87250.59750161305,0.0,1.6431333457478696
2026-05-14,-0.03441901107841362,90454.2409053071,0.0,1.8776438882686919
2026-05-15,-0.028001380238472637,102649.39008847257,0.0,2.0961430967021477
2026-05-16,0.004868293937002846,5462.343010468149,0.04933707498931633,3.94807680803953
2026-05-17,0.0045281943142945185,11556.566228788402,0.047582529957404106,4.152577564216916
2026-05-18,-0.04389689408210862,129250.58038720877,0.0,2.007060129159739
2026-05-19,-0.03644689270858315,130525.81663965421,0.0,2.2076679667378865
2026-05-20,-0.030295719462701935,155747.49829491624,0.0,1.5765943312170294
2026-05-21,-0.03500225752106992,125289.71689961228,0.0,1.3741926618112381
2026-05-22,-0.03653917944546941,126564.58300130075,0.0,1.2083795630055345
2026-05-23,0.005485306783349872,18688.98590528109,0.05237034840131327,2.1975492094058913
2026-05-24,-0.0010304511675119157,32078.18980129169,0.0,3.4852773439735723
2026-05-25,0.00034643860165424,9935.975283756246,0.013161280364277633,3.6580649881370615
2026-05-26,-0.030229384195133803,117406.4493874807,0.0,1.3071501111077137
2026-05-27,-0.018168150733777907,124624.06644363368,0.0,1.2607772206650643
2026-05-28,-0.012624006283079534,160602.690474688,0.0,1.4696516925486431
2026-05-29,-0.012074804565825149,91089.55018437635,0.0,1.5796228650406572
2026-05-30,-0.0034172295512692077,13792.87404020803,0.0,1.6401825426695684
2026-05-31,0.002812915496842389,22770.817087273623,0.03750276987665304,3.1352429813314413
2026-06-01,-0.0572189233990337,187727.75710718535,0.0,1.5669683080662145
2026-06-02,-0.021955217222045097,121024.74709320029,0.0,1.6630959019361948
2026-06-03,-0.061810574133647864,219793.90311077493,0.0,1.840496740382832
2026-06-04,-0.03497232328958206,152529.77843888968,0.0,1.8085076004905896
2026-06-05,-0.042980185145268655,203002.9942410859,0.0,1.5730071965081698
2026-06-06,0.020690480222135547,100296.4738539362,0.10171155347878516,1.5587770280801028
2026-06-07,-0.010459529606744105,54973.834742629275,0.0,1.739281676667808
2026-06-08,-0.05930522854882519,214356.18866284064,0.0,1.3346611500671997
2026-06-09,-0.08373461115923465,296618.99610403244,0.0,1.3017921338956022
2026-06-10,-0.0918668049685929,325194.7485850421,0.0,1.3253810470510776
2026-06-11,-0.08578083616492953,272514.80460951105,0.0,1.3943859874939912
2026-06-12,-0.0647911221062251,224481.13709212936,0.0,1.6537125847534777
2026-06-13,-0.005589014195935028,29565.378970122667,0.0,1.752438810677707
2026-06-14,-0.005416386222601151,46903.45820277386,0.0,1.5545753094584427
2026-06-15,-0.0325783450784351,108453.43774581028,0.0,1.1271415693788778
2026-06-16,-0.040580659725049636,107274.29222375141,0.0,1.3603326985112751
2026-06-17,0.0845353813275889,286807.3305558585,0.20559107632335225,1.257679098340787
2026-06-18,-0.028528544419351383,97401.66222784761,0.0,1.2255248545867197
2026-06-19,-0.0064272396879783795,28438.53912936375,0.0,1.40411311535236
2026-06-20,-0.00349450990728141,19743.986675186246,0.0,1.5773309726024856
2026-06-21,-0.0016094987458794426,15013.452164592269,0.0,1.4883167137964
2026-06-22,-0.04459916522271086,92162.28128181168,0.0,1.284993116109225
2026-06-23,-0.07487838473659125,165663.81975729304,0.0,1.63825419923059
2026-06-24,-0.059444542274438114,137331.5877366393,0.0,1.78140216143469
2026-06-25,-0.05583453882828604,184575.54424605236,0.0,1.9135093761963784
2026-06-26,-0.06842602122993861,199765.324746151,0.0,1.9271907340673888
2026-06-27,-0.0012604306040830625,4732.051859346486,0.0,1.632935345365432
2026-06-28,-0.002085155532745431,8576.069068475896,0.0,1.8387867878335664
2026-06-29,-0.05124113083220005,188427.39253175413,0.0,1.719559028640819
2026-06-30,-0.03419599667710357,170845.6655420506,0.0,1.6394998662508167
2026-07-01,-0.03795252815555723,134066.53435633396,0.0,1.717948949791175
2026-07-02,-0.035519906729940855,218538.17747207798,0.0,2.0342726506576163
2026-07-03,0.001617642369739918,23159.961045530395,0.028439781730350163,1.5149793584059403
2026-07-04,-0.002641078605112503,9188.520308548104,0.0,1.9790223629519728
2026-07-05,-0.003619164476768679,12088.303694591581,0.0,2.047425827346418
2026-07-06,-0.04379733314520584,145884.43482312298,0.0,1.7804432366578349
2026-07-07,-0.020410155723781177,188890.4645853671,0.0,2.337131172373051
2026-07-08,0.062220197558368155,204637.6105295221,0.17638055102301975,2.438667512071404
2026-07-09,0.03954203254393921,134508.8680054596,0.14060944588458346,2.4446999809855017
2026-07-10,0.02605314740103363,129029.2261851459,0.11413401640403624,2.0905860003455663
2026-07-11,0.005903901671535158,15584.686043447038,0.054331858386839474,1.497744572994885
2026-07-12,0.006409889439116049,14502.301870225197,0.056612231183358466,1.3391781017594768
2026-07-13,0.0263790471865848,156207.47060855138,0.1148456511727475,2.04468567604769
2026-07-14,-0.0029611718708544097,152412.04910483115,0.0,1.7137960582685328
2026-07-15,-0.03015313958318163,148456.26793560744,0.0,1.542697849605781
2026-07-16,-0.032813602308824213,192770.8834863238,0.0,1.667336870703086
2026-07-17,-0.048899261575868935,317402.1254540502,0.0,1.6655909724965976
2026-07-18,0.0015217610442566296,8942.203187597634,0.02758406282853044,1.5290052291976521
2026-07-19,-0.00005742971536405715,20804.541933836546,0.0,1.526764176005143
2026-07-20,-0.03646308317731495,234027.57256375035,0.0,1.5783762454377528
2026-07-21,-0.012137104094837642,99452.44753483887,0.0,1.2276311440577505
2026-07-22,-0.1010534891047011,272720.0005541041,0.0,1.1676052416493363
2026-07-23,-0.046311516404543104,256549.05203621127,0.0,1.1869869705352896
2026-07-24,-0.05118073363963171,196532.9671062581,0.0,1.0940919037199537
2026-07-25,0.000782238553382365,5192.514978849532,0.019776735744080277,1.242770422063911
2026-07-26,-0.000044067887394860546,10667.517556945373,0.0,0.9270761871212685
2026-07-27,-0.05265025547390626,206219.87695964164,0.0,0.940008648079776
2026-07-28,-0.028858119548853835,261551.33202569556,0.0,0.9437424631681627
2026-07-29,-0.04366368515830982,404123.2236962754,0.0,1.220310402591647
2026-07-30,0.00834613667992362,283752.2879575004,0.06459929055308433,1.1704393829446236
2026-07-31,-0.02603678653528385,235136.8125260791,0.0,0.9887480472228316
2026-08-01,0.0012032304524143723,14091.659352117387,0.024527845934920297,1.0547410610697472
2026-08-02,0.001183046298684179,29321.129700315287,0.02432124892644474,1.1188526674466117
2026-08-03,-0.01876995096090347,213634.1130034955,0.0,1.013130166963506
2026-08-04,-0.16317546380015485,714723.8609173073,0.0,0.8537846375687232
2026-08-05,-0.06718847507761144,256953.47213309153,0.0,0.8317737575377843
2026-08-06,-0.012478880348851683,168630.13961422024,0.0,0.8117706747847887
2026-08-07,0.0015801713384658142,129022.95614023616,0.028108462591058002,0.8139014365358734
2026-08-08,0.0043291366996117695,11403.560405878063,0.046524921814076,0.8306855232278787
2026-08-09,0.006696336244041117,13714.903779298606,0.057863357334504525,0.8261390392007201
2026-08-10,0.004388704874038641,107836.30443962435,0.04684391568837217,0.9216117966307408
