col,family,h,nday,mean,med,pos,worst,best
delta_bp__z,60 衝撃(z 得点),1s,47,-0.3090842733561239,-0.3055929706922489,0,-0.5060595214878713,-0.07987751063273879
delta_bp__z,60 衝撃(z 得点),10s,47,-0.35610009055312547,-0.3560526679562006,0,-0.4789992452729512,-0.2109027053454995
obi1__dev,63 平均回帰,1s,47,-0.29826684440582574,-0.29429894541268464,0,-0.5078281481472497,-0.09072735667065662
obi1__dev,63 平均回帰,10s,47,-0.3331011163316665,-0.33624448028067955,0,-0.44612933465077315,-0.16339578592888174
delta_bp__dev,63 平均回帰,1s,47,-0.31318855309092636,-0.31490504793475094,0,-0.525499195114516,-0.08670224880130281
delta_bp__dev,63 平均回帰,10s,47,-0.36273217300130745,-0.36058643176264576,0,-0.47927037461320626,-0.23129875938336905
obi1__z,60 衝撃(z 得点),1s,47,-0.2969198732540587,-0.29483679712637806,0,-0.49814000677104703,-0.07873442513184024
obi1__z,60 衝撃(z 得点),10s,47,-0.3305646881008394,-0.335098563098348,0,-0.4441422989419971,-0.15308167845268458
obi1__x__rv_10s,70 交互作用,1s,47,-0.28192616441737645,-0.27626078975110946,0,-0.4279091318058931,-0.07734072731061048
obi1__x__rv_10s,70 交互作用,10s,47,-0.30045448787705115,-0.30388214421093057,0,-0.4276401900843806,-0.16163183943937365
mret_500ms,2.1 マイクロプライス,1s,47,-0.2671551022086821,-0.26023241902908434,1,-0.5427052293126658,0.05953755006386882
mret_500ms,2.1 マイクロプライス,10s,47,-0.18097699017312782,-0.1757616427228202,1,-0.3559250314076836,0.02022077360804843
d_obi,4 板の偏り OBI,1s,47,-0.27420196795920543,-0.2895291749666745,0,-0.42962656933936094,-0.05402003359873568
d_obi,4 板の偏り OBI,10s,47,-0.21892681749529952,-0.2302742059314681,0,-0.32784790308738987,-0.0470052749558702
obi1__d,61 加速と高次の動き,1s,47,-0.27420196795920543,-0.2895291749666745,0,-0.42962656933936094,-0.05402003359873568
obi1__d,61 加速と高次の動き,10s,47,-0.21892681749529952,-0.2302742059314681,0,-0.32784790308738987,-0.0470052749558702
delta_bp__d,61 加速と高次の動き,1s,47,-0.27582608189920865,-0.2899331618615114,0,-0.41600934400492384,-0.0917916168891415
