dt,n_trade,n_row,vol,notional,px_open,px_close,px_min,px_max,px_med,sz_med,sz_p99,n_taker,buy_vol,sell_vol,n_liq,n_maker
2026-05-04,26112,26112,86186.655,48786577.78507,545.79,578.38,542.0,594.49,563.1,0.45,45.351,708,35085.927,51100.728,98,314
2026-05-05,28066,28066,98361.94,62036579.57686,578.5,676.22,578.27,687.38,637.1,0.506,46.846,1030,52149.936,46212.004,255,345
2026-05-06,54430,55356,90086.957,59558931.59462,676.24,659.6,628.48,688.17,667.72,0.22,25.118,1033,45016.505,45070.452,122,389
2026-05-07,41136,41560,105665.194,69311094.01646,659.82,644.8,635.91,684.02,653.72,0.337,32.558,783,52471.614,53193.58,12,317
2026-05-08,42988,42988,104127.256,74262986.67331,644.79,757.99,644.34,761.21,712.15,0.296,29.506,1160,49755.777,54371.479,239,395
2026-05-09,27768,27768,12658.886,9701651.948689999,758.51,771.89,756.57,775.5,767.18,0.216,4.008,671,8268.818,4390.068,61,238
2026-05-10,32053,32053,23507.494,18065978.37352,772.6,756.98,754.72,781.33,771.93,0.234,7.2,759,9316.005,14191.489,45,329
2026-05-11,104556,104556,189187.893,148712450.97177,756.0,799.27,745.82,819.0,786.57,0.238,24.85,1643,94963.97,94223.923,544,639
2026-05-12,90098,90798,217709.788,164341725.34068,799.02,748.52,707.13,799.9,766.5,0.271,27.056,1719,99323.343,118386.445,326,599
2026-05-13,82805,82805,174193.979,139173315.41469,748.87,803.61,748.72,818.95,801.11,0.249,26.542,1499,84627.96399999999,89566.015,154,537
2026-05-14,80383,80795,186136.441,147417487.86309,803.65,778.11,775.86,812.2,792.46,0.491,27.484,1074,88126.495,98009.946,0,426
2026-05-15,92026,93197,208400.698,155898353.04913,778.18,715.86,714.71,788.31,743.27,0.333,26.669,1413,98407.039,109993.659,835,524
2026-05-16,25758,25758,14134.91,10090190.5098,715.95,712.42,706.19,720.5,714.99,0.254,5.901,647,6986.958,7147.952,7,342
2026-05-17,32469,32469,16291.878,11773704.16447,712.42,722.12,705.0,735.95,724.39,0.257,5.121,666,8989.798,7302.08,8,315
2026-05-18,88748,89579,211219.725,148017683.74048,720.94,689.55,663.6,753.42,700.09,0.35,26.862,1481,95787.363,115432.362,571,613
2026-05-19,90500,90769,298192.261,205480928.07029,689.49,705.86,652.41,725.78,686.35,0.714,35.689,1332,147322.651,150869.61,122,527
