probe_id,decision_ns,send_ns,ack_ns,first_private_seen_ns,first_public_book_seen_ns,previous_block_ns,next_block_ns,side,price,size,bbo_at_decision,bbo_at_visible,obi_at_decision,obi_at_visible,ofi_at_decision,ofi_at_visible,ev_decision,ev_visible,filled_before_cancel,cancel_send_ns,cancel_effective_ns,regime,note,L_decision_ms,L_ack_ms,L_visible_ms,L_effective_ms,block_phase_ms,next_block_included,blocks_waited,blocks_waited_obs,block_delta_ms,gate_survived_at_visible
11,1589250187051300,1589250187089400,0,0,0,1589250187020000,0,1,0.0,0.001,,,0.0,0.0,0.0,0.0,nan,nan,0,0,0,dry,dry-run: 注文なし。t2/t3 は取得していない,0.0381,,,,0.0694,,,,,
12,1589250197909000,1589250197939000,0,0,0,1589250197884000,0,1,0.0,0.001,,,0.0,0.0,0.0,0.0,nan,nan,0,0,0,dry,dry-run: 注文なし。t2/t3 は取得していない,0.03,,,,0.055,,,,,
13,1589250208270300,1589250208286600,0,0,0,1589250208255300,0,1,0.0,0.001,,,0.0,0.0,0.0,0.0,nan,nan,0,0,0,dry,dry-run: 注文なし。t2/t3 は取得していない,0.0163,,,,0.0313,,,,,
14,1589250218687400,1589250218726500,0,0,0,1589250218660000,0,1,0.0,0.001,,,0.0,0.0,0.0,0.0,nan,nan,0,0,0,dry,dry-run: 注文なし。t2/t3 は取得していない,0.0391,,,,0.0665,,,,,
15,1589250229281100,1589250229340100,0,0,0,1589250229244900,0,1,0.0,0.001,,,0.0,0.0,0.0,0.0,nan,nan,0,0,0,dry,dry-run: 注文なし。t2/t3 は取得していない,0.059,,,,0.0952,,,,,
16,1589250240141700,1589250240165200,0,0,0,1589250240123300,0,1,0.0,0.001,,,0.0,0.0,0.0,0.0,nan,nan,0,0,0,dry,dry-run: 注文なし。t2/t3 は取得していない,0.0235,,,,0.0419,,,,,
17,1589250250602300,1589250250644200,0,0,0,1589250250576100,0,1,0.0,0.001,,,0.0,0.0,0.0,0.0,nan,nan,0,0,0,dry,dry-run: 注文なし。t2/t3 は取得していない,0.0419,,,,0.0681,,,,,
18,1589250261773100,1589250261812700,0,0,0,1589250261750300,0,1,0.0,0.001,,,0.0,0.0,0.0,0.0,nan,nan,0,0,0,dry,dry-run: 注文なし。t2/t3 は取得していない,0.0396,,,,0.0624,,,,,
19,1589250272640100,1589250272664600,0,0,0,1589250272625500,0,1,0.0,0.001,,,0.0,0.0,0.0,0.0,nan,nan,0,0,0,dry,dry-run: 注文なし。t2/t3 は取得していない,0.0245,,,,0.0391,,,,,
20,1589250283042400,1589250283084600,0,0,0,1589250283016000,0,1,0.0,0.001,,,0.0,0.0,0.0,0.0,nan,nan,0,0,0,dry,dry-run: 注文なし。t2/t3 は取得していない,0.0422,,,,0.0686,,,,,
21,1589250293619200,1589250293646900,0,0,0,1589250293602900,0,1,0.0,0.001,,,0.0,0.0,0.0,0.0,nan,nan,0,0,0,dry,dry-run: 注文なし。t2/t3 は取得していない,0.0277,,,,0.044,,,,,
22,1589250304249300,1589250304282600,0,0,0,1589250304216700,0,1,0.0,0.001,,,0.0,0.0,0.0,0.0,nan,nan,0,0,0,dry,dry-run: 注文なし。t2/t3 は取得していない,0.0333,,,,0.0659,,,,,
23,1589250314823100,1589250314849900,0,0,0,1589250314804800,0,1,0.0,0.001,,,0.0,0.0,0.0,0.0,nan,nan,0,0,0,dry,dry-run: 注文なし。t2/t3 は取得していない,0.0268,,,,0.0451,,,,,
24,1589250325363000,1589250325391800,0,0,0,1589250325340100,0,1,0.0,0.001,,,0.0,0.0,0.0,0.0,nan,nan,0,0,0,dry,dry-run: 注文なし。t2/t3 は取得していない,0.0288,,,,0.0517,,,,,
25,1589250336124700,1589250336143700,0,0,0,1589250336111700,0,1,0.0,0.001,,,0.0,0.0,0.0,0.0,nan,nan,0,0,0,dry,dry-run: 注文なし。t2/t3 は取得していない,0.019,,,,0.032,,,,,
26,1589250346579000,1589250346630400,0,0,0,1589250346544400,0,1,0.0,0.001,,,0.0,0.0,0.0,0.0,nan,nan,0,0,0,dry,dry-run: 注文なし。t2/t3 は取得していない,0.0514,,,,0.086,,,,,
27,1589250357583300,1589250357633900,0,0,0,1589250357555500,0,1,0.0,0.001,,,0.0,0.0,0.0,0.0,nan,nan,0,0,0,dry,dry-run: 注文なし。t2/t3 は取得していない,0.0506,,,,0.0784,,,,,
28,1589250368286800,1589250368350200,0,0,0,1589250368217700,0,1,0.0,0.001,,,0.0,0.0,0.0,0.0,nan,nan,0,0,0,dry,dry-run: 注文なし。t2/t3 は取得していない,0.0634,,,,0.1325,,,,,
29,1589250378814200,1589250378839100,0,0,0,1589250378797200,0,1,0.0,0.001,,,0.0,0.0,0.0,0.0,nan,nan,0,0,0,dry,dry-run: 注文なし。t2/t3 は取得していない,0.0249,,,,0.0419,,,,,
