kind,spec,var,beta,se,t,r2,n,clusters
同時,x1 のみ,x1,0.5531604819727663,0.10187744905154654,5.429665614152607,0.0829747384107512,3845,196
同時,depth のみ,log_dot,-0.2984671780124649,0.04928164052169415,-6.056356380447145,0.04663118508101616,3845,196
同時,OBI_IC(mid)のみ,obi_ic_mid,-0.1453386545613967,0.04307497414487553,-3.374085706298377,0.012793400485766937,3845,196
同時,OBI_IC(micro)のみ,obi_ic_micro,-0.41109420983777334,0.05500734671644336,-7.473441901441228,0.10497737777639904,3845,196
同時,3 つ(mid の IC),x1,0.5099049252467539,0.11675419524404876,4.367337072393079,0.1040050417404369,3845,196
同時,3 つ(mid の IC),log_dot,-0.21800950117319973,0.03804085410124081,-5.73093076703787,0.1040050417404369,3845,196
同時,3 つ(mid の IC),obi_ic_mid,0.07235605634655357,0.043602158741883994,1.6594604128407233,0.1040050417404369,3845,196
同時,3 つ(micro の IC),x1,0.2489073527439793,0.20972476321040553,1.186828626881147,0.1293598623252291,3845,196
同時,3 つ(micro の IC),log_dot,-0.1539856327796926,0.04063813798248384,-3.7891901653088693,0.1293598623252291,3845,196
同時,3 つ(micro の IC),obi_ic_micro,-0.2688751391358936,0.07010367699815571,-3.835392816028283,0.1293598623252291,3845,196
1 期先,x1 のみ,x1,0.44459901604306024,0.11400832234519266,3.899706678402916,0.06048590578359103,3419,189
1 期先,depth のみ,log_dot,-0.2375997128517617,0.051270948726888255,-4.634197703604346,0.030575564320818094,3419,189
1 期先,OBI_IC(mid)のみ,obi_ic_mid,-0.14177842846762384,0.04315369527098115,-3.285429615640893,0.012179780561618836,3419,189
1 期先,OBI_IC(micro)のみ,obi_ic_micro,-0.3192393575597778,0.05332928326867587,-5.986192537998913,0.06553664374566848,3419,189
1 期先,3 つ(mid の IC),x1,0.4054321895624054,0.13217054220289332,3.0674928225688265,0.07339468528714643,3419,189
1 期先,3 つ(mid の IC),log_dot,-0.1673775435658348,0.038613510432498464,-4.334688602281654,0.07339468528714643,3419,189
1 期先,3 つ(mid の IC),obi_ic_mid,0.03682998557173716,0.04651611485304699,0.7917683084257982,0.07339468528714643,3419,189
1 期先,3 つ(micro の IC),x1,0.24147730226494823,0.19528249454029944,1.2365537568197942,0.08671789148027376,3419,189
1 期先,3 つ(micro の IC),log_dot,-0.12390459636778489,0.038699960507091825,-3.2016724240604635,0.08671789148027376,3419,189
1 期先,3 つ(micro の IC),obi_ic_micro,-0.1859380126759949,0.06328069504439049,-2.9383054744509693,0.08671789148027376,3419,189
