dt,side,delta,grp,n,markout,obi,ofi,aggr,depth,qdepl,drift
2026-05-04,1,0.0,0,910,-24.222370229189316,0.11657750293434585,-1.0739109890109808,-4.267428571428537,22.46456483516483,2.282725933804624,-8.802762663076841
2026-05-04,1,0.0,1,902,-7.361357532935165,-0.020069258016856845,-0.9422439024390143,-1.863646341463397,6.04319512195122,2.1344990489861106,-4.4568828529187
2026-05-04,1,0.0,2,909,-1.5489408506148938,0.05564863694090672,-0.6307557755775577,-1.1012310231022973,4.439124312431243,2.0386450924757598,-1.7967194144709775
2026-05-04,1,0.0,3,1237,-0.12535632292886456,0.016472414187272553,0.12114308811641475,-0.49909215844784627,5.905152789005659,2.021507710553616,-0.36046824403389843
2026-05-04,1,0.0,4,564,5.497897349067525,0.3686867784668952,-0.1611028368794292,-2.4889042553191385,6.665374113475178,2.21632652995617,-2.738751723831127
2026-05-04,1,0.5,0,910,-24.222370229189316,-0.34268457568820215,-0.4547989010988982,0.013381318681320356,1.1014967032967034,0.08622397687526027,-0.2548124295034601
2026-05-04,1,0.5,1,902,-7.361357532935165,-0.30175215213325673,-0.00020509977826964598,-0.008544345898003671,0.7966674057649668,0.0934185661792739,-0.0627843765945363
2026-05-04,1,0.5,2,909,-1.5489408506148938,-0.4054635381852042,0.6304455445544558,0.0034895489548954356,0.5591001100110011,0.049156197033544236,-0.2935305786954987
2026-05-04,1,0.5,3,1237,-0.12535632292886456,-0.4724187373448775,-0.4248981406628858,-0.02588358932901684,0.26007356507679874,0.050047240712755584,-0.11975523990888101
2026-05-04,1,0.5,4,564,5.497897349067525,-0.2501980593665123,0.10302836879431909,-0.04556914893617081,0.7202978723404255,0.18146083014704734,-0.7358318858056064
2026-05-04,1,1.0,0,910,-24.222370229189316,-0.3554308099059425,-0.43675494505494145,-0.005195604395601604,1.1065901098901099,0.08456788491816497,-0.318221243369969
2026-05-04,1,1.0,1,902,-7.361357532935165,-0.2981188621391024,-0.04521840354767129,0.01846452328159661,0.8034878048780489,0.08154730181447249,-0.06916053778995543
2026-05-04,1,1.0,2,909,-1.5489408506148938,-0.4392480681654758,0.11489108910891471,-0.007276127612762403,0.5615962596259626,0.04119141228964567,-0.365947617355076
2026-05-04,1,1.0,3,1237,-0.12535632292886456,-0.4583489736895375,-0.3112093775262651,0.019445432497981578,0.274605497170574,0.045781014966751125,-0.05378851499033521
2026-05-04,1,1.0,4,564,5.497897349067525,-0.2610115462171744,0.0719929078014215,-0.026292553191488224,0.7500141843971632,0.16934764653794468,-0.5447917333766004
2026-05-04,1,2.0,0,910,-24.222370229189316,-0.29849252439566254,0.3573626373626369,0.03605384615384758,1.234245054945055,0.05802330617923145,-0.4699221912520452
2026-05-04,1,2.0,1,902,-7.361357532935165,-0.2973227328286447,-0.25775055432372074,-0.07972505543237218,0.8512328159645232,0.050240580867466925,-0.22657519407271132
2026-05-04,1,2.0,2,909,-1.5489408506148938,-0.41803474614965774,0.06021892189218319,-0.008383938393839475,0.6407249724972497,0.03412644102311179,-0.3133566529713038
2026-05-04,1,2.0,3,1237,-0.12535632292886456,-0.45195337726817425,0.06395634599839066,0.1330323362974948,0.29832012934519003,0.027961611094817033,-0.03425887391589663
2026-05-04,1,2.0,4,564,5.497897349067525,-0.29852366757475357,-0.11366134751772872,-0.02953368794326228,0.8943794326241135,0.054459129670057074,0.711004124751401
2026-05-04,-1,0.0,0,905,-27.314952773720808,-0.0213987441731044,-1.6054232044198884,-4.067203314917121,6.297620994475138,2.2994378680645577,-13.155215691359867
2026-05-04,-1,0.0,1,903,-9.314922961031755,0.1341404866639017,-0.3056600221483869,-4.163419712070848,5.216095238095238,2.1713470867643014,-5.627547875687883
2026-05-04,-1,0.0,2,901,-2.3023895091381217,0.13859633927399428,-1.3554572697003302,-2.81714095449498,5.658140954495005,2.4621381097189023,-2.549075829509253
2026-05-04,-1,0.0,3,1367,-0.10009204169837733,0.27214339251657027,-0.2572128749085633,-1.550309436722729,8.265833942940747,2.332928562397493,-1.2087908946724026
2026-05-04,-1,0.0,4,436,7.887987271254112,0.5813088621140231,-0.14614220183489154,-2.062511467889891,12.487009174311929,2.5561401301782354,-3.0759043684143244
2026-05-04,-1,0.5,0,905,-27.314952773720808,-0.3453599396671568,-0.9072198895027634,-0.38971381215469686,1.4056386740331495,0.09655981269647144,-0.8794885841139715
2026-05-04,-1,0.5,1,903,-9.314922961031755,-0.3474684102392529,-0.6830996677740814,-0.08982945736434006,1.0992724252491695,0.05759386878808743,0.09992815410842147
2026-05-04,-1,0.5,2,901,-2.3023895091381217,-0.3113295879210055,-1.1370521642619311,-0.01812763596004128,0.5182486126526082,0.047460816615625845,-0.2298107555168429
2026-05-04,-1,0.5,3,1367,-0.10009204169837733,-0.3211692404055138,0.12109290416971358,0.014614484272130378,1.0385683979517188,0.04831390885277713,-0.19216423742261984
2026-05-04,-1,0.5,4,436,7.887987271254112,-0.15406594653642433,0.2312889908256898,0.012642201834863039,1.181894495412844,0.10842462365427677,-1.3340926092076086
2026-05-04,-1,1.0,0,905,-27.314952773720808,-0.3569427194801681,-0.5486662983425413,-0.32920220994475247,1.2723325966850827,0.08751577876417453,-0.635743617811796
2026-05-04,-1,1.0,1,903,-9.314922961031755,-0.35107208577398225,-1.1983388704318902,-0.008004429678846924,1.1779302325581396,0.04187497174161743,-0.04735116201543748
2026-05-04,-1,1.0,2,901,-2.3023895091381217,-0.2649350607329441,0.6831265260821306,0.0215382907880198,0.8701098779134295,0.04080154913504871,-0.17956754611652
2026-05-04,-1,1.0,3,1367,-0.10009204169837733,-0.3564934313106142,-0.011910753474761492,0.021327724945136354,0.852858083394294,0.03805720670279799,-0.19493744827512213
2026-05-04,-1,1.0,4,436,7.887987271254112,-0.13816621993120676,-0.028841743119268768,0.004116972477062659,1.1226100917431194,0.10271679183615555,-1.3666730971848626
2026-05-04,-1,2.0,0,905,-27.314952773720808,-0.34904888304342124,-0.19897127071823256,-0.07061657458563607,1.6462895027624307,0.03764966749577204,-0.897678053652806
2026-05-04,-1,2.0,1,903,-9.314922961031755,-0.3047659004654856,-0.25780841638981117,-0.1337995570321158,1.2719844961240312,0.0181467473405828,-0.2057857258056913
2026-05-04,-1,2.0,2,901,-2.3023895091381217,-0.2874125813460058,-0.1310432852386238,0.06723196448391104,0.6029178690344063,0.03161797356590598,-0.23388283601996673
2026-05-04,-1,2.0,3,1367,-0.10009204169837733,-0.33761198355307664,0.14838112655450192,-0.012155084125823043,0.8767271397220189,0.01604597994721618,-0.11759739571359465
2026-05-04,-1,2.0,4,436,7.887987271254112,-0.10148690910204014,-0.18557798165137127,-0.1153325688073386,1.1997362385321102,0.0991617459645861,-1.2705564909731801
2026-05-05,1,0.0,0,964,-36.28764352654153,-0.01815633323890478,-1.234757261410787,-3.7876908713692887,13.537228215767632,2.077624586064767,-12.324739134472614
2026-05-05,1,0.0,1,964,-10.852342872096072,0.061031522182901816,-1.3806141078838137,-6.419986514522805,2.9594865145228213,2.2629320181129193,-9.286370428221845
2026-05-05,1,0.0,2,963,-3.1205248602567233,0.16236504580937428,-1.3875524402907582,-1.6218764278297182,6.27136240913811,2.2152647622200012,-3.968310787171428
2026-05-05,1,0.0,3,1223,-0.21925821219506236,0.1690995794155967,0.23347097301716158,-0.7429435813573249,4.68583728536386,1.9503649367501148,-1.6445933979250724
2026-05-05,1,0.0,4,705,12.622086219249065,0.1954580877354368,0.2798212765957436,-0.7117134751773161,2.948296453900709,2.1389504663490477,-6.061073892787913
2026-05-05,1,0.5,0,964,-36.28764352654153,-0.257268810711632,-0.22565248962655682,-0.17726556016597442,1.874748962655602,0.09760982164110646,-1.0652041626507822
2026-05-05,1,0.5,1,964,-10.852342872096072,-0.3305136514235224,-0.03148962655601802,-0.033644190871365394,1.3964139004149378,0.08276413819169037,-0.4482200782400273
2026-05-05,1,0.5,2,963,-3.1205248602567233,-0.24743729427415717,-0.8681484942886794,0.029028037383180536,1.1378016614745587,0.1408387727071796,-0.8134256317084488
2026-05-05,1,0.5,3,1223,-0.21925821219506236,-0.28865619331012343,0.05591414554374372,0.018034341782502357,0.5763164349959116,0.05069180126336805,-0.7522286633311652
2026-05-05,1,0.5,4,705,12.622086219249065,-0.18408915408884302,0.18474893617021473,0.2412496453900735,0.6705929078014183,0.13545114589329876,-1.3746836137503629
2026-05-05,1,1.0,0,964,-36.28764352654153,-0.25348520884520487,-0.16420228215767504,-0.20092219917012358,1.939002074688797,0.08201588251716499,-0.7439209360413404
2026-05-05,1,1.0,1,964,-10.852342872096072,-0.33739356250871516,0.02015871369294516,-0.005132780082983882,1.4268537344398342,0.07987345077526238,-0.6194262521281352
2026-05-05,1,1.0,2,963,-3.1205248602567233,-0.2661021679886275,-0.007892004153685314,0.019261682242993336,1.0617705088265834,0.12091524469134164,-0.8497888108526626
2026-05-05,1,1.0,3,1223,-0.21925821219506236,-0.3004438648222951,-0.06077923139820074,0.011149632052329949,0.49504170073589526,0.04259015525629132,-0.6951432213993071
2026-05-05,1,1.0,4,705,12.622086219249065,-0.1869263994765101,0.31859999999999866,0.057642553191491204,0.7410581560283687,0.12567362200664872,-1.3348074349316932
2026-05-05,1,2.0,0,964,-36.28764352654153,-0.24411859184206658,-0.6669481327800828,-0.16884439834024684,2.0044232365145227,0.05837692062936774,-0.6524353610788723
2026-05-05,1,2.0,1,964,-10.852342872096072,-0.3373618579629097,-0.39209232365145136,-0.6934242738589227,1.4514336099585066,0.05691532683575322,-0.6035967917172154
2026-05-05,1,2.0,2,963,-3.1205248602567233,-0.2789114252840111,0.016858774662515,0.15496677050882732,1.1265752855659397,0.08663132459423574,-0.60030144868258
2026-05-05,1,2.0,3,1223,-0.21925821219506236,-0.3062679476313015,-1.0321782502044157,0.06729599345870887,0.5234627964022894,0.030415925491233786,-0.6055149124170007
2026-05-05,1,2.0,4,705,12.622086219249065,-0.20965948616596317,-0.4446751773049673,0.4745546099290764,0.5343858156028368,0.09941707036234099,-1.046387753965472
2026-05-05,-1,0.0,0,1238,-39.06223594832188,0.026641289882807073,-1.0576413570274636,-6.011546042003234,3.503841680129241,2.200017874748461,-14.350790856405993
2026-05-05,-1,0.0,1,1230,-12.354007244007981,-0.07033021075460053,-0.7210764227642292,-3.3419804878048933,3.1746227642276423,2.3053510443686034,-7.069999190407761
2026-05-05,-1,0.0,2,1234,-3.7073698701798916,0.09622210198418432,-0.6828687196110216,-1.8460048622366423,3.9917528363047006,2.4056123286995845,-3.0468211702172336
2026-05-05,-1,0.0,3,1610,-0.44070524050740484,0.08226441010860755,-0.1689086956521802,-1.0715614906832396,3.5448944099378874,2.2577399804998564,-1.586163895072245
2026-05-05,-1,0.0,4,853,13.75513507028542,0.31265598729710925,-0.5500140679953145,-3.7748229777256785,8.950339976553341,2.5243555564460407,-4.771969087357356
2026-05-05,-1,0.5,0,1238,-39.06223594832188,-0.2312188261520561,-0.3059531502423246,-0.35188610662358544,1.2014636510500807,0.13457449239812136,-1.751552707389076
2026-05-05,-1,0.5,1,1230,-12.354007244007981,-0.4562260100861374,-0.27943739837398396,0.023665853658537402,0.4980552845528455,0.08349746146123731,0.21235126256815928
2026-05-05,-1,0.5,2,1234,-3.7073698701798916,-0.28965346707074063,-0.029576985413288816,-0.020447325769852982,0.7504335494327391,0.07552503418682173,-0.2364274892527878
