n_orph,n_trunc,n_fillev,n_live_end,dt,n_raw,n_ev,n_wallet,warmup
451,0,21410,6344,2026-07-18,2289359,2082968,400,5
73,0,33567,6241,2026-07-19,4737758,4324583,451,5
95,0,101381,6377,2026-07-20,28337947,23536259,820,5
99,0,124812,6231,2026-07-21,23435358,19154240,1126,5
23,0,127680,6672,2026-07-22,25871266,21605900,989,5
18,0,144770,6895,2026-07-23,33623664,27340165,944,5
8,0,119789,6530,2026-07-24,29925164,24951225,967,5
4,0,23920,6214,2026-07-25,2771951,2551687,433,5
0,0,29355,6305,2026-07-26,4258122,3872886,446,5
5,0,141511,5457,2026-07-27,32768213,27756888,1075,5
29,0,171669,5449,2026-07-28,42951118,36417774,1375,5
42,0,231685,7327,2026-07-29,56131485,46754521,1841,5
1426,0,223034,8897,2026-07-30,39028920,32630452,1485,5
162,0,219186,8434,2026-07-31,40070811,33443351,1356,5
8,0,36480,8624,2026-08-01,3390404,3012039,503,5
5,0,67255,8403,2026-08-02,7663215,6910551,580,5
139,0,157864,8441,2026-08-03,33904756,27975403,1114,5
245,0,178293,8373,2026-08-04,40493067,35419433,1073,5
138,0,234914,8349,2026-08-05,43228962,36800897,1031,5
59,0,144084,8172,2026-08-06,38824321,32920527,980,5
35,0,133288,7952,2026-08-07,30547793,25541473,934,5
2,0,14505,7822,2026-08-08,2613002,2148656,363,5
58,0,17386,7881,2026-08-09,2823857,2444360,317,5
