feat,bin_i,bin,n_full,n_sub,fill_rate,spread_bp_mean_full,spread_bp_med,spread_bp_q1,spread_bp_q3,qsize_mean_full,qsize_med,qsize_q1,qsize_q3,fillsz_mean_full,fillsz_med,fillsz_q1,fillsz_q3
OBI,0,−1.00〜−0.75,982182,29512,0.1258616020248793,19.785597559855944,14.92819323770075,8.59797742535943,27.318931770464022,16.676129052450765,2.3005000000000004,0.8397500000000001,12.6155,0.2752856659966944,0.0,0.0,0.0
OBI,1,−0.75〜−0.50,529906,15821,0.07916687110544134,20.16338011705264,15.67551680219563,9.175815172866773,27.364642749257488,2.1510377576406206,0.565,0.3,1.3659999999999999,0.1222658584730167,0.0,0.0,0.0
OBI,2,−0.50〜−0.25,424566,12536,0.07664768257467626,20.259463889526128,15.366903887022183,8.903424228975958,27.31841443797868,1.6488426652155024,0.484,0.193,0.98625,0.10976494820593835,0.0,0.0,0.0
OBI,3,−0.25〜0,510238,15188,0.06753319039350264,17.54519815773326,12.086570249474754,7.989230522404652,22.853659698462145,1.4195358009396433,0.247,0.119,0.79,0.09974435263544124,0.0,0.0,0.0
OBI,4,ちょうど 0,243073,7291,0.02741151835045439,14.34840911730371,10.527064513834684,7.94713083787631,14.97211777024244,0.19801015332855337,0.124,0.098,0.184,0.03835001419326721,0.0,0.0,0.0
OBI,5,0〜+0.25,533166,15909,0.06768811214518555,17.84370328113326,12.16811467231267,8.020661223311249,22.942079327893353,1.4658181598221365,0.247,0.121,0.7969999999999999,0.0944773691495774,0.0,0.0,0.0
OBI,6,+0.25〜+0.50,421652,12525,0.07699714456471213,19.808394491664792,14.312828650548541,8.53344256139812,26.71471172962269,1.8219025570846057,0.423,0.177,1.029,0.12181135154108647,0.0,0.0,0.0
OBI,7,+0.50〜+0.75,514180,15617,0.07919211171185188,19.665560875594505,14.450369860657696,8.657869843356105,26.871575006415554,2.313532545023253,0.538,0.28300000000000003,1.172,0.1257574506982025,0.0,0.0,0.0
OBI,8,+0.75〜+1.00,875831,26230,0.1296859782309601,19.593380690590152,13.648740906825441,7.932793388010381,27.106536790800007,16.536456578947693,1.962,0.626,12.734,0.30249268979972543,0.0,0.0,0.0
OFI_z,0,< −2σ,71414,2032,0.03303273867869045,21.324219021519177,17.923511367048583,9.416702585826528,28.401362421469056,31.080883986333816,10.9025,1.6720000000000002,33.70125,0.8017800851373695,0.0,0.0,0.0
OFI_z,1,−2〜−1σ,87671,2657,0.028504294464532173,21.100789524229864,18.57066747849781,9.751012928498865,27.68249383161813,9.021711512358461,1.4,0.583,5.185,0.2810438115226242,0.0,0.0,0.0
OFI_z,2,−1〜−0.5σ,145335,4396,0.03483675645921492,20.135775516059137,16.55056196680723,9.198995434112534,26.585711361898994,4.320873973923102,0.904,0.483,2.23,0.20111801699521795,0.0,0.0,0.0
OFI_z,3,−0.5〜0σ,2131433,64006,0.08984753449909051,18.384191216096337,12.878300077097364,8.134150919784474,25.02588242720711,6.042612748793565,0.567,0.212,1.752,0.13559750740464244,0.0,0.0,0.0
OFI_z,4,ちょうど 0,30197,846,0.01685597907076862,20.192712935775134,13.859112706526195,9.360512403199223,24.398354621520006,1.460608934662444,0.156,0.106,0.5135000000000001,0.044267311322316774,0.0,0.0,0.0
OFI_z,5,0〜+0.5σ,2167427,64745,0.10494932470620695,18.705999003525218,13.218382363741844,8.310084881580481,25.279533300922793,6.34938886661324,0.5750000000000001,0.22199999999999998,1.8369999999999997,0.12988804190401285,0.0,0.0,0.0
OFI_z,6,+0.5〜+1σ,145510,4351,0.03710397910796509,20.498624984964554,17.00731922130781,9.393766564899948,27.400932379283546,6.0570764552262775,1.012,0.49,2.4945,0.2012587657205698,0.0,0.0,0.0
OFI_z,7,+1〜+2σ,77593,2360,0.03470673900996224,21.166203684057894,17.003446238111174,9.051831198905235,27.35692462324755,8.334599835036228,1.247,0.5527500000000001,4.8815,0.3092853607928545,0.0,0.0,0.0
OFI_z,8,> +2σ,60714,1704,0.04241196429159667,20.70591748086164,17.27420984872456,8.588667413239794,28.479394268533547,44.6064409032517,9.3265,1.5210000000000001,29.903,0.9676349935764397,0.0,0.0,0.0
