open_day,b,v_mean,v_q1,v_q3,o_mean,o_q1,o_q3,n
false,0,1377.1575806451572,456.4900000000002,1714.3890000000185,-65.15958064515566,-85.84449999996286,74.89099999994505,31
false,1,780.8361935483877,396.80999999999983,919.8620000000058,7.246983870983616,-63.28699999986566,85.52100000003702,31
false,2,923.5469677419368,309.75700000000023,912.0779999999986,-57.842258064507696,-101.77000000001863,66.45400000004156,31
false,3,871.5839677419366,304.8829999999994,920.7299999999981,27.568080645148463,-17.431999999986147,78.70150000002468,31
false,4,1191.2384516129139,366.1350000000008,861.7179999999994,64.7661612903152,-11.57699999997567,174.72300000011455,31
false,5,991.9961612903202,244.04199999999977,1093.3179999999977,46.283451612910156,-59.074999999967986,61.368000000016764,31
false,6,779.4026129032236,211.00100000000018,610.9320000000001,-29.104419354839447,-92.12599999994563,30.69800000009127,31
false,7,599.8517741935468,163.45099999999988,833.8700000000001,5.735903225798299,-52.53800000001502,47.87700000013865,31
false,8,706.9578064516122,218.37699999999998,690.7290000000012,30.37759677417841,-48.68599999998696,69.43500000005588,31
false,9,686.1374516129024,213.15699999999995,715.1379999999986,-16.500080645175448,-57.94499999997788,34.35499999995227,31
false,10,745.7208709677441,206.1980000000012,604.8239999999969,-17.90070967740875,-33.435999999943306,32.92100000011851,31
false,11,554.7512258064503,201.38299999999992,494.98800000000017,16.162887096762724,-31.736000000018976,24.661999999982072,31
false,12,727.4974516129014,225.7859999999997,721.3709999999988,55.85180645159985,-34.284000000028755,28.43799999989278,31
false,13,664.8755483870958,240.55999999999995,568.9620000000066,38.29924193548645,-47.30250000000524,58.34999999997672,31
false,14,645.5483225806453,253.78399999999985,821.9529999999978,-34.53972580646176,-54.563999999983935,49.37850000002072,31
false,15,651.353903225806,293.77100000000013,824.8820000000006,-2.14322580643385,-40.72599999999511,74.63500000005297,31
false,16,604.4232580645149,275.3309999999994,642.2380000000006,14.489403225829816,-26.226999999955297,75.42900000000373,31
false,17,706.8930645161275,221.2040000000003,954.4339999999982,-1.1119838709508316,-38.095999999990454,54.46599999995669,31
false,18,845.7687419354831,199.57799999999975,1285.029000000006,105.91887096776777,-30.08299999994051,78.70199999993201,31
false,19,596.5913548387099,230.9100000000006,684.32,4.45730645163595,-8.98499999998603,68.86099999998987,31
false,20,568.9599677419347,209.35999999999885,746.5070000000021,5.005935483897995,-46.66399999996065,52.90200000000186,31
false,21,1090.1734516129106,236.06099999999944,1144.8290000000009,134.97925806449558,-41.090000000054715,123.97399999879417,31
false,22,695.1503225806453,247.01899999999995,800.8419999999987,107.37967741938549,-42.72000000010303,85.637000000017,31
false,23,881.7307741935497,187.76500000000001,589.7259999999993,152.42745161292024,-12.59599999988859,42.03699999998207,31
false,24,950.0113870967715,186.2340000000003,881.9060000000011,102.15350000001396,-9.281999999948312,127.14999999997963,31
false,25,832.2058709677427,172.02099999999996,866.0939999999957,-27.60461290319818,-72.91099999992002,39.88000000004831,31
false,26,1011.9620000000027,248.99600000000046,873.6319999999964,-48.876451612857636,-35.8159999998461,115.71799999990617,31
