luid,usd,n,pnl,days,long_share
L56,195534.74516000002,49,22689.656312,1,1.0
L57,194083.60397,67,23854.709714,1,1.0
L58,192193.82246,48,-58353.82246,1,0.0
L59,189755.423,63,-10417.138875,1,1.0
L60,189513.80482000002,47,-10679.790252,2,1.0
L61,168675.6877,18,-8580.339134,1,1.0
L62,165399.17104,25,-12626.801926,1,0.0
L63,160564.58751,20,-9393.555615,2,1.0
L64,156904.73186,23,-8670.158591,1,0.0
L65,154846.00828,17,-11345.687003000001,2,1.0
L66,152002.5894,23,-5235.8106,1,1.0
L67,149495.59207,22,-10901.569682000001,2,1.0
L68,142461.62491,22,-7892.176058,1,1.0
L69,140714.88449,14,-26182.342138,1,1.0
L70,140222.78737,50,-7836.390083,2,1.0
L71,137489.4787,33,-11521.25688,1,1.0
L72,136606.58005,51,-2613.17495,2,1.0
L73,136069.86434,24,-10112.834139999999,1,1.0
L74,135202.8728,93,-6315.1984,4,0.0
L75,132776.60009,13,-7586.6132800000005,1,1.0
L76,132112.45624,65,-9815.93702,4,0.0
L77,130680.14962,13,-60202.638107,2,1.0
L78,129197.41581,8,-17745.008838,1,1.0
L79,126565.49003999999,65,-8217.061177,2,0.3384615384615385
L80,124314.82581,35,-3470.959566,1,1.0
L81,123776.52186000001,29,-19670.677864999998,5,0.9655172413793104
L82,123603.23087,46,-7796.903756,2,1.0
L83,122223.89929999999,17,-8108.581005,1,1.0
L84,121783.20847,19,-8372.955396000001,3,1.0
L85,118278.37075999999,67,-6782.853184,2,1.0
L86,115180.8485,6,-7503.81178,2,1.0
L87,114180.36464999999,28,-6351.213887,8,1.0
L88,113192.85801,16,-6840.345603,1,0.0
L89,111875.89279000001,15,-6483.3751250000005,5,1.0
L90,108703.58785000001,50,-6165.52118,1,1.0
L91,108342.8783,16,-6642.8783,1,0.0
L92,106066.40615999998,6,-4905.45916,1,0.0
L93,105889.81358,17,-5895.99502,1,1.0
L94,105770.71244,33,-5101.85624,1,0.0
L95,104894.75925,21,-5792.65035,1,1.0
L96,104580.75996,23,-52430.78718299999,1,1.0
L97,99085.12258,32,-5643.985866,1,1.0
L98,97702.18736,27,-5532.722511,1,1.0
L99,96088.41868999999,22,-5401.58131,1,1.0
L100,95633.59153,23,-19977.363763999998,1,1.0
L101,94621.99717,19,-17478.56299,1,1.0
L102,93282.80621,13,-6970.104917,3,0.0
L103,92892.77524,62,-5981.51023,12,1.0
L104,91111.40606,13,-1790.658778,1,1.0
L105,90839.944,19,-5104.972223000001,1,1.0
L106,90764.85557999999,12,-5035.177644,1,1.0
L107,90750.95523,10,-4999.050306,1,1.0
L108,90084.64347,16,-21448.12253,1,1.0
L109,89657.97569,22,-9073.045626,4,0.8181818181818182
L110,87600.18345,26,-5079.053961,3,1.0
L111,87518.20896,24,-4931.12324,8,1.0
L112,86442.89940000001,10,-7565.913301,1,1.0
L113,85250.1249,24,-15792.4751,1,1.0
L114,83307.40714,19,-4363.3636400000005,2,0.0
L115,82978.5613,22,-13895.98048,1,0.0
L116,81191.571,11,-3819.963932,1,0.0
L117,81155.12284,50,-3774.284202,4,0.0
L118,81123.43478,15,-4123.43478,1,0.0
L119,80219.62964,16,-4453.09675,1,1.0
L120,79990.84577,15,-6100.1221399999995,5,1.0
L121,78867.96836,24,-6011.291848,1,1.0
L122,78804.5434,15,-19778.4866,1,1.0
L123,78691.15039,8,-4359.95411,1,1.0
L124,78629.29424999999,2,-3630.377214,1,0.0
L125,78100.81324,38,-3902.2762399999997,1,0.0
L126,77923.47297,1,-3744.218352,1,0.0
L127,77744.0,5,-4278.18,1,1.0
L128,77239.21992,16,3688.1714620000002,2,1.0
L129,76706.02192,7,-24472.60808,1,1.0
L130,76590.5663,33,-3588.364605,2,0.0
L131,76392.7975,5,-3999.966422,4,0.4
L132,75522.16575,9,-3851.019842,3,0.4444444444444444
L133,73740.03944,22,-3504.219196,1,0.0
L134,73386.66338,7,-4065.978844,2,1.0
L135,73370.72457,13,-7010.798491,1,0.0
L136,73205.50409,13,-4129.848722000001,1,1.0
L137,73040.52276,9,-7959.9366150000005,2,1.0
L138,71384.02224,29,-3894.868141,1,1.0
L139,71037.61416,15,-3937.749409,3,1.0
L140,70944.02538,29,-3859.0574739999997,7,0.5172413793103449
L141,65541.082,14,-8508.043816,1,1.0
L142,64404.57783,6,-20396.429797,1,1.0
L143,63277.982659999994,9,19664.648748,1,0.0
L144,62968.12904999999,3,-11590.790573999999,1,1.0
L145,62895.173749999994,26,-2947.80887,1,0.0
L146,61919.72382,6,-5032.948536,1,1.0
L147,61800.96607,18,-3578.834638,4,0.7777777777777778
L148,61721.94279,22,-16160.047681,2,1.0
L149,60485.29602,16,-2839.13602,1,0.0
L150,58699.19784000001,20,-24128.914380000002,1,1.0
L151,57942.89812,2,-2795.885888,1,0.0
L152,57797.59617999999,22,-3212.842296,3,0.9090909090909091
L153,57750.189399999996,15,-6856.935238,1,0.0
L154,57744.20689,36,-7103.65451,1,0.0
L155,57709.11049,18,-2397.0148289999997,1,1.0
L156,57626.8993,9,-3931.312709,1,1.0
L157,56249.96807,3,-4630.1760699999995,2,0.0
L158,56184.2778,13,-3168.5292,2,1.0
L159,56057.6768,2,-4830.812175999999,1,1.0
L160,55879.923389999996,8,-3037.92661,1,1.0
L161,53831.54899999999,8,-3835.6018400000003,1,0.0
L162,53646.511900000005,14,-4087.74129,2,0.0
L163,52253.38177,18,-2478.59265,1,0.0
L164,52168.60403,10,-2878.238048,2,1.0
L165,51998.784,3,-2939.2695,1,1.0
L166,51958.16703,9,-2883.637772,2,1.0
L167,51824.3146,3,-4039.7854,1,1.0
L168,51221.24938,22,-7041.5070000000005,2,0.2727272727272727
L169,51170.24142,12,-2670.572748,1,0.0
L170,51036.67143,10,-7143.413308,1,1.0
L171,50525.86614,4,-4456.6396,2,1.0
L172,50431.92480000001,2,-4546.57659,1,1.0
L173,50382.94480999999,8,-7216.908520999999,1,1.0
L174,49707.432,1,-2296.5616,1,0.0
L175,49592.02174,10,-10592.506136,1,1.0
L176,49497.08682,15,-2400.848183,3,0.06666666666666667
L177,49091.11421,9,-2714.376526,4,1.0
L178,49068.733309999996,45,-2294.896192,2,0.0
L179,48764.13834,22,-2697.92466,2,1.0
L180,48722.96419,13,-3214.4531300000003,1,1.0
L181,48535.23609,13,-13305.273702,1,1.0
L182,48161.20744,5,-2835.5254449999998,1,1.0
L183,47996.33528,10,-7159.70472,2,0.2
L184,47906.34169,15,-3362.169486,2,1.0
L185,47297.61613,18,-2608.370812,2,1.0
L186,46694.38880000001,1,-2184.17864,1,0.0
L187,46246.9914,3,-5711.298606,1,1.0
L188,45871.39957,44,-2464.66981,1,0.0
L189,44521.54491,7,-4846.846385999999,1,1.0
L190,44418.10931,10,-3722.19069,1,1.0
L191,43847.40268,24,-3554.541938,10,1.0
L192,43737.85816,12,-2220.5829799999997,1,1.0
L193,43666.71361,9,-2064.50939,1,1.0
L194,43659.58236,19,-6356.999334,1,1.0
