luid,usd,n,pnl,days,long_share
L559,8250.13811,14,-455.55989,5,1.0
L560,8240.8,1,-1188.0,1,1.0
L561,8231.176950000001,10,-378.281022,1,0.0
L562,8076.638899999999,6,-448.65044,2,1.0
L563,8059.5102,3,-808.163916,2,1.0
L564,8058.62934,5,-1836.53066,1,1.0
L565,8056.382439999999,6,-442.749151,1,1.0
L566,7989.782,2,-877.959877,2,1.0
L567,7964.61596,8,-499.447323,5,0.0
L568,7960.1,2,-1421.6094999999998,2,1.0
L569,7959.8328,1,-441.580464,1,1.0
L570,7936.9341,3,-432.30758699999996,2,1.0
L571,7894.4353599999995,1,-1105.417168,1,1.0
L572,7892.70092,3,-1091.503416,2,1.0
L573,7886.88526,7,-1779.7414099999999,1,1.0
L574,7868.41906,2,-436.68094,1,1.0
L575,7859.428980000001,2,-1102.3200120000001,1,1.0
L576,7766.010200000001,1,-470.3132,1,1.0
L577,7757.168199999999,3,-465.281433,1,1.0
L578,7699.63011,1,-376.162266,1,0.0
L579,7689.327399999999,3,-1013.042856,1,1.0
L580,7655.452799999999,1,-446.7738,1,1.0
L581,7618.36014,1,-423.286704,1,1.0
L582,7588.490280000001,1,-412.58997,1,1.0
L583,7580.3374,1,-421.344522,1,1.0
L584,7563.9985,2,-429.89277,1,1.0
L585,7562.730820000001,5,-346.17244,1,0.0
L586,7487.45331,3,-2923.188784,1,1.0
L587,7486.253280000001,4,-410.589342,1,1.0
L588,7478.6387,2,-589.0213,1,1.0
L589,7441.64569,4,-396.96635000000003,1,1.0
L590,7429.421969999999,6,-410.09253,2,1.0
L591,7421.350450000001,3,-415.18955,2,1.0
L592,7402.6752,1,116.021648,1,1.0
L593,7344.76248,1,-903.725424,1,1.0
L594,7343.962799999999,6,-397.80111600000004,3,0.8333333333333334
L595,7298.774399999999,5,-395.923965,2,0.8
L596,7296.928999999999,1,-412.810188,1,1.0
L597,7286.62777,6,-399.40237,2,1.0
L598,7248.7168,5,-330.072944,4,0.0
L599,7227.28455,12,-497.115689,3,1.0
L600,7221.98745,17,-355.514862,2,0.058823529411764705
L601,7205.25815,2,-1118.6749810000001,2,1.0
L602,7200.852739999999,2,-610.8355799999999,1,1.0
L603,7188.245999999999,1,-908.712324,1,0.0
L604,7149.718940000001,2,-1302.65746,1,1.0
L605,7144.58703,2,-2472.12327,1,1.0
L606,7143.8706,4,-1128.75576,1,0.0
L607,7133.77883,12,-323.159306,1,0.0
L608,7095.584879999999,3,-398.96924,1,1.0
L609,7093.5985,4,-401.89572999999996,2,1.0
L610,7091.40645,4,-436.594473,3,1.0
L611,7080.327110000001,1,-1319.662604,1,1.0
L612,7050.525049999999,2,-690.1887200000001,1,1.0
L613,7002.6221000000005,6,-275.37356,3,0.8333333333333334
L614,6990.984,1,-778.272,1,1.0
L615,6977.1644400000005,7,-809.655218,2,0.8571428571428571
L616,6975.46,4,-1234.1778709999999,1,1.0
L617,6967.91478,1,-949.58022,1,1.0
L618,6905.23398,12,-68.988285,7,1.0
L619,6899.73655,1,-401.232139,1,1.0
L620,6865.008,1,-348.205657,1,0.0
L621,6844.19457,6,-692.398008,1,0.0
L622,6835.5046,3,-387.871355,2,1.0
L623,6801.03395,1,-375.392008,1,1.0
L624,6758.86501,3,-368.862796,2,1.0
L625,6755.54121,3,-692.8910520000001,2,1.0
L626,6697.8681400000005,6,-436.22586,4,1.0
L627,6691.440600000001,2,-836.072172,1,0.0
L628,6690.67561,2,-313.07561,1,0.0
L629,6637.33705,3,-388.257385,3,1.0
L630,6634.50704,2,-362.981199,2,1.0
L631,6632.25532,1,-1469.373092,1,1.0
L632,6630.88652,1,-363.86184,1,1.0
L633,6622.5985,7,-362.53711500000003,7,0.7142857142857143
L634,6607.936000000001,1,-304.76512,1,0.0
L635,6604.7406,3,-287.271679,1,0.0
L636,6591.0379,3,-318.10079199999996,1,0.0
L637,6589.8243299999995,3,-554.87267,1,1.0
L638,6577.613910000001,3,-544.7570400000001,3,0.6666666666666666
L639,6576.669099999999,2,-467.42999999999995,2,0.0
L640,6541.171200000001,2,-367.8147,1,1.0
L641,6473.88,1,-360.815,1,1.0
L642,6442.96797,2,-359.41601,2,1.0
L643,6427.259749999999,1,-573.62044,1,1.0
L644,6416.2524,4,-349.076517,1,1.0
L645,6361.59331,10,-806.80489,4,1.0
L646,6344.13988,1,-1617.70492,1,1.0
L647,6322.8889500000005,4,-364.10935,4,1.0
L648,6294.56666,5,-292.29274,1,0.0
L649,6276.462239999999,1,-1391.109832,1,1.0
L650,6247.89342,8,-385.995655,3,0.0
L651,6218.59572,1,-426.74256,1,1.0
L652,6077.12542,1,-1122.90956,1,1.0
L653,5954.13,1,-325.59422,1,1.0
L654,5943.1805,1,-335.4975,1,1.0
L655,5937.4975699999995,3,-548.142175,3,1.0
L656,5937.27682,1,686.337328,1,1.0
L657,5886.3058,5,-331.196548,1,1.0
L658,5856.181500000001,2,-313.49070700000004,2,0.5
L659,5832.474469999999,9,-334.9477,1,1.0
L660,5817.03852,3,-325.696394,2,1.0
L661,5798.6422,3,-330.316935,3,1.0
L662,5780.9069,5,283.61880199999996,1,1.0
L663,5778.518400000001,1,-318.985372,1,1.0
L664,5771.22004,1,-319.83676,1,1.0
L665,5734.079299999999,2,-320.99681499999997,1,1.0
L666,5729.2447600000005,1,-316.95524,1,1.0
L667,5683.78503,1,-318.077298,1,1.0
L668,5661.264999999999,2,-380.26800000000003,1,1.0
L669,5641.789500000001,3,-484.179435,3,0.6666666666666666
L670,5639.6237599999995,1,-312.30936,1,1.0
L671,5638.147220000001,2,-309.36713599999996,1,1.0
L672,5626.25287,1,-309.210807,1,1.0
L673,5614.605320000001,2,-256.73852,1,0.0
L674,5597.46376,2,-308.3193,2,1.0
L675,5591.7492,1,-2295.391021,1,1.0
L676,5583.76303,2,-1038.86177,1,1.0
L677,5579.4392,1,-310.6568,1,1.0
L678,5552.882,1,-693.152366,1,0.0
L679,5511.56931,7,893.339766,1,1.0
L680,5511.1,3,-305.343,2,1.0
L681,5500.1944,4,-318.741565,1,1.0
L682,5488.62225,2,-310.080044,2,1.0
L683,5472.80517,1,-247.472239,1,0.0
L684,5439.3903,2,-305.499138,2,1.0
L685,5431.21705,1,-469.45304,1,1.0
L686,5409.20016,3,-1479.3040079999998,1,1.0
L687,5407.214,3,-452.93399999999997,1,0.0
L688,5403.42164,4,-363.673122,3,1.0
L689,5362.9268,2,-290.685492,1,1.0
L690,5342.16206,7,-636.835929,1,1.0
L691,5327.08387,2,-301.035622,1,1.0
L692,5288.19803,6,-407.654605,2,1.0
L693,5271.88847,13,-2689.16847,1,0.0
L694,5246.8640000000005,1,-723.7664,1,0.0
L695,5246.3684,1,-246.064,1,0.0
L696,5244.24894,1,-243.003093,1,0.0
L697,5238.5392,3,-239.43519999999998,1,0.0
L698,5234.64573,2,-945.65427,1,1.0
L699,5217.056210000001,6,-1994.419026,1,1.0
L700,5215.15445,14,-303.21575,8,1.0
L701,5204.24704,5,-686.686151,5,1.0
L702,5184.1067,2,-731.598025,2,0.5
L703,5169.71571,2,-288.644117,2,1.0
L704,5168.21588,2,-851.19532,1,1.0
L705,5166.77795,7,-286.31978200000003,5,1.0
L706,5164.766320000001,2,-320.443736,1,1.0
L707,5162.77671,2,-281.0271,1,1.0
L708,5123.47006,2,-278.50259,2,0.5
L709,5119.9643,2,-289.4346,1,1.0
L710,5096.12826,2,-277.067688,1,1.0
L711,5089.07189,8,-279.26504600000004,2,0.875
L712,5077.70992,7,-426.27314,2,1.0
L713,5051.79332,2,-280.92494999999997,1,1.0
L714,5045.470800000001,5,-246.63768799999997,2,0.6
L715,5031.39508,2,-307.80692,2,0.5
L716,5027.97282,1,-283.036312,1,1.0
L717,5014.271,4,-399.555666,1,1.0
L718,5001.98022,4,-472.204556,1,0.0
L719,4993.0176200000005,2,-313.89761599999997,1,1.0
L720,4977.85,1,-442.15,1,1.0
L721,4972.8,1,-278.2016,1,1.0
L722,4972.43722,3,-278.79278999999997,3,1.0
L723,4940.15,1,-1152.35,1,1.0
L724,4883.3554,1,-278.519857,1,1.0
L725,4847.6428,2,-269.28104,2,0.5
L726,4828.482800000001,1,-269.8852,1,1.0
L727,4821.274009999999,2,-266.849172,1,1.0
L728,4809.27938,4,-276.274469,3,1.0
L729,4801.18908,2,-271.220298,1,1.0
L730,4790.30458,3,-976.151364,2,1.0
L731,4789.78955,1,-409.2453,1,1.0
L732,4780.99908,1,-224.957304,1,0.0
L733,4757.73,4,-247.915,2,1.0
L734,4747.653429999999,2,-642.378386,2,1.0
L735,4742.1496,3,-260.65923200000003,1,1.0
L736,4741.847879999999,2,-267.64430400000003,1,1.0
L737,4740.615,1,-848.17755,1,1.0
L738,4739.41755,12,-265.565873,1,1.0
L739,4739.20227,1,-261.12663,1,1.0
L740,4735.8528,1,-264.20787,1,1.0
L741,4734.897200000001,4,-263.99920000000003,1,1.0
L742,4733.9644,4,-264.5212,1,1.0
L743,4732.3472,1,-264.467936,1,1.0
L744,4729.43909,5,-246.54846,1,0.8
L745,4698.99032,8,-219.628456,2,0.0
L746,4697.7376,1,-262.083114,1,1.0
L747,4645.56193,3,-213.02512000000002,1,0.0
L748,4638.432459999999,2,-267.343528,2,1.0
L749,4633.716849999999,2,-543.1013,1,1.0
L750,4622.575290000001,4,-247.96250899999998,4,1.0
L751,4594.5256,2,-210.884549,1,0.0
L752,4571.28118,3,-486.783047,2,1.0
L753,4567.26063,2,-387.59091,1,1.0
L754,4548.736,3,-223.831309,3,0.3333333333333333
L755,4546.08,2,-253.99384500000002,2,1.0
L756,4541.46046,4,-384.34090000000003,4,1.0
L757,4516.706,1,-248.92418,1,1.0
L758,4501.41409,2,-246.57018,1,1.0
L759,4489.952,1,-208.9398,1,0.0
L760,4488.870130000001,3,-244.846052,1,1.0
L761,4476.12492,2,-209.79319800000002,1,0.0
L762,4474.0660800000005,2,-532.004136,1,1.0
L763,4472.19042,5,-452.80958,1,1.0
L764,4465.7126100000005,4,-257.417292,4,1.0
L765,4455.415800000001,1,-462.130044,1,1.0
L766,4454.90346,1,-1291.375243,1,1.0
L767,4431.24192,5,-278.2501,2,0.8
L768,4429.13219,2,-1120.86781,1,1.0
L769,4420.48965,6,-785.203434,1,1.0
L770,4417.19066,2,-245.58769,1,1.0
L771,4409.45,1,-563.55,1,1.0
L772,4409.17436,1,-248.923613,1,1.0
L773,4407.57534,5,-247.808646,1,1.0
L774,4402.89394,3,122.16394,1,1.0
L775,4386.400199999999,1,-613.80541,1,1.0
L776,4383.07665,1,-391.98141,1,1.0
L777,4382.4,1,-644.420964,1,1.0
L778,4367.4225,1,-810.42486,1,1.0
L779,4366.02672,1,-253.4976,1,1.0
L780,4358.48156,5,-239.334392,2,1.0
L781,4345.9640500000005,1,-289.316192,1,0.0
L782,4339.98223,9,-241.695464,1,1.0
L783,4336.48455,1,-238.703379,1,1.0
L784,4318.14,1,-236.80092,1,1.0
L785,4315.87269,2,-194.143898,2,0.0
L786,4315.2,1,-1657.2,1,0.0
L787,4312.0,1,-244.4,1,1.0
L788,4307.1511,1,-737.17303,1,1.0
L789,4299.687,1,-262.14288,1,1.0
L790,4276.190529999999,5,-240.838029,2,1.0
L791,4274.382299999999,2,-234.0137,1,1.0
L792,4272.42285,9,-242.15148399999998,1,1.0
L793,4267.738590000001,3,-232.822208,2,1.0
L794,4248.59554,8,-237.78581000000003,1,1.0
L795,4245.31751,4,-754.05529,1,1.0
L796,4227.98776,4,-773.27553,1,1.0
L797,4221.00276,2,-764.534992,1,1.0
L798,4220.0932,2,-775.7674,1,1.0
L799,4210.18942,1,-787.98178,1,1.0
L800,4207.91163,4,-220.116736,4,0.75
L801,4203.6,2,-223.44,1,0.0
L802,4192.71182,5,-194.87059,2,0.0
L803,4183.8658,4,-229.389024,1,1.0
L804,4164.73616,1,-202.911184,1,0.0
L805,4164.048,1,-198.270504,1,0.0
L806,4156.26764,3,-227.62516,1,1.0
L807,4154.1708,2,-191.7508,2,0.0
L808,4153.4295,1,-232.635,1,1.0
L809,4151.3283599999995,5,-219.24796,3,0.6
L810,4149.77016,1,-1867.50875,1,1.0
L811,4111.89479,4,-386.551193,1,1.0
L812,4107.84951,5,-225.405306,1,1.0
L813,4106.933309999999,4,-113.628918,2,1.0
L814,4100.2715,3,-291.76307,1,1.0
L815,4094.0499999999997,1,-1059.95,1,1.0
L816,4091.63088,2,-223.623696,1,1.0
L817,4077.5,2,-582.075,1,1.0
L818,4071.5671899999998,1,-950.325014,1,0.0
L819,4068.92397,6,-300.11261400000006,1,1.0
L820,4066.7582599999996,2,-266.6818,1,1.0
L821,4066.54805,2,-765.209923,2,1.0
L822,4063.4705000000004,3,-227.394007,1,1.0
L823,4059.0660000000003,5,-41.17006,2,0.0
L824,4058.31,4,-244.036,4,1.0
L825,4045.629,1,-190.134,1,0.0
L826,4033.64037,4,-182.305074,1,0.0
L827,4030.0060000000003,1,-279.24,1,0.0
L828,4023.6852500000005,5,-222.62198800000002,5,0.8
L829,4012.0772999999995,4,-190.02727199999998,1,0.0
L830,3996.435,1,-1569.5553,1,1.0
L831,3995.9926000000005,1,-274.077574,1,1.0
L832,3982.4826000000003,1,-183.31042,1,0.0
L833,3970.00252,5,-179.58942,1,0.0
L834,3965.9115599999996,1,-230.236929,1,1.0
L835,3964.79457,1,-186.151979,1,0.0
L836,3953.7344000000003,1,-234.175776,1,0.0
L837,3946.2435,2,-220.273515,1,1.0
L838,3936.1900000000005,1,-334.694,1,1.0
L839,3905.615,1,-318.379675,1,1.0
L840,3896.98912,3,-216.81119999999999,3,1.0
L841,3881.1120199999996,4,-316.832128,3,0.0
L842,3880.4832699999993,2,-216.53862999999998,2,1.0
L843,3877.8500000000004,1,-186.0,1,0.0
L844,3872.6545800000004,1,-179.217159,1,0.0
L845,3869.2429299999994,2,-406.60267999999996,1,1.0
L846,3854.6779799999995,7,-177.202424,3,0.0
L847,3850.98346,6,-213.96654,1,1.0
L848,3847.50704,3,-179.186195,1,0.0
L849,3846.80346,5,-214.260348,2,1.0
L850,3836.58559,5,-284.70034000000004,1,1.0
L851,3832.8970500000005,4,-327.05295,1,1.0
L852,3828.07404,10,-226.16654,4,0.2
L853,3823.6426,4,-254.869538,1,1.0
L854,3820.28088,1,-215.040336,1,1.0
L855,3808.8506,3,-1648.4546,1,0.0
L856,3794.6697,5,-206.89434300000002,1,1.0
L857,3792.7554400000004,1,-1497.63766,1,1.0
L858,3792.0780999999997,4,-202.18337200000002,1,1.0
L859,3786.651,2,-211.23371400000002,2,1.0
L860,3779.7867,2,-208.452933,1,1.0
L861,3773.83632,1,-203.97168,1,1.0
L862,3770.26505,5,-1125.934135,1,1.0
L863,3761.6935500000004,7,-198.86334599999998,1,1.0
L864,3761.00577,3,-171.70710400000002,1,0.0
L865,3753.1930999999995,2,-851.238431,1,0.0
L866,3750.9566999999997,1,-212.089515,1,1.0
L867,3747.9882,2,-174.25734,1,0.0
L868,3730.58774,3,-208.480249,1,1.0
L869,3725.2338,1,-208.085916,1,1.0
L870,3701.7537500000003,1,-297.78284,1,1.0
L871,3698.8431,2,-207.76531,2,1.0
L872,3688.5963,5,-254.0552,1,1.0
L873,3683.8311300000005,4,-408.001455,2,0.75
L874,3677.68742,2,-204.44227,1,1.0
L875,3641.5607,2,-247.763152,1,1.0
L876,3640.5303,6,-513.31527,1,1.0
L877,3635.5,1,-206.05,1,1.0
L878,3623.8132,1,-672.8631,1,1.0
L879,3583.8765,1,-166.02075,1,0.0
L880,3574.1,2,-256.3,2,0.0
L881,3562.6816800000006,2,-181.03070000000002,2,1.0
L882,3554.59116,6,-201.990194,3,1.0
L883,3535.59546,2,-165.17421,1,0.0
L884,3534.8186299999998,14,-169.261388,1,0.0
L885,3529.2849,1,-198.9001,1,1.0
L886,3525.1782000000003,2,-196.514883,2,1.0
L887,3506.46624,1,-352.398168,1,0.0
L888,3478.66644,4,-190.22650399999998,3,1.0
L889,3473.31878,3,-160.953802,1,0.0
L890,3468.95407,1,-326.212442,1,1.0
L891,3467.2650000000003,3,-188.8844,3,1.0
L892,3446.6825999999996,4,-190.9512,1,1.0
L893,3442.1100000000006,2,-194.62900000000002,2,1.0
L894,3415.5137,8,-190.4729,1,1.0
L895,3411.90624,2,-367.968976,1,1.0
L896,3401.925,2,-191.591,1,1.0
L897,3365.34404,6,-200.020624,4,0.8333333333333334
L898,3361.5785799999994,9,-163.19245999999998,2,0.3333333333333333
L899,3360.43501,4,-237.615795,2,1.0
L900,3359.3199200000004,1,-373.325805,1,1.0
L901,3355.9323999999997,1,-343.51146,1,1.0
L902,3326.9033,2,-154.230868,1,0.0
L903,3326.68096,2,-185.582728,1,1.0
L904,3321.4810100000004,8,-265.055676,1,1.0
L905,3311.7315000000003,1,-183.84135,1,1.0
L906,3308.1048,1,-481.79394,1,1.0
L907,3307.78344,2,-282.26952,1,1.0
L908,3303.87911,9,-182.392362,1,1.0
L909,3266.3639600000006,3,-148.25316,1,0.0
L910,3257.29564,3,-202.92768,1,1.0
L911,3249.75291,7,-177.646471,1,1.0
L912,3203.9626000000003,1,-180.7794,1,1.0
L913,3199.0869999999995,2,-495.48253800000003,2,1.0
L914,3199.0562600000003,1,-804.012994,1,1.0
L915,3188.5,1,-1334.3,1,0.0
L916,3179.813,3,-147.6447,1,0.0
L917,3179.3684,1,-178.655776,1,1.0
L918,3170.61344,2,-178.080644,1,0.0
L919,3167.11395,1,-404.47407,1,0.0
L920,3156.8381600000002,1,-176.09984,1,1.0
L921,3150.2388600000004,5,-206.455806,2,0.0
L922,3149.803,2,-150.13633,1,0.0
L923,3143.8030200000003,3,-175.051182,2,1.0
L924,3141.879,1,-141.6389,1,0.0
L925,3126.546149999999,3,11.239014000000001,1,0.0
L926,3108.28569,2,-140.88972,1,0.0
L927,3101.69522,5,-144.60386,4,0.0
L928,3099.98306,2,-140.46519999999998,1,0.0
L929,3088.1285000000003,1,-138.4539,1,0.0
L930,3021.3,1,291.375,1,1.0
L931,3016.10092,3,-168.250584,1,1.0
L932,3008.03854,1,-186.21257,1,1.0
L933,3000.22788,1,-168.612828,1,1.0
L934,2990.2465599999996,1,-150.671367,1,0.0
L935,2990.05767,3,-191.55033,2,1.0
L936,2974.5455199999997,2,-140.22692,1,0.0
L937,2964.9624,5,-409.712288,1,1.0
L938,2961.0050800000004,1,-139.2919,1,0.0
L939,2959.2622,5,-164.5163,2,1.0
L940,2952.6157999999996,2,-160.8662,2,1.0
L941,2952.2034,1,-166.9656,1,1.0
L942,2950.0475100000003,7,-164.708621,5,1.0
L943,2947.8779,3,-163.88485200000002,1,1.0
L944,2940.0764,2,-165.5258,1,0.5
L945,2936.0297,2,-193.819509,1,1.0
L946,2934.55422,7,-164.073131,4,1.0
L947,2908.40774,2,-593.65343,1,1.0
L948,2891.94931,4,-130.16622999999998,3,0.0
L949,2882.4519999999998,1,-160.00926,1,1.0
L950,2868.6806500000002,1,-160.835125,1,1.0
L951,2866.7876100000003,10,-160.28795,3,1.0
L952,2864.21087,2,-160.01614,1,1.0
L953,2858.3784,3,-161.63488999999998,1,1.0
L954,2852.0411,2,-135.222,2,0.0
L955,2850.40196,3,-503.973864,2,0.6666666666666666
L956,2845.6798,1,-160.3664,1,1.0
L957,2844.49618,1,-157.851886,1,1.0
L958,2843.2201,1,-155.171317,1,1.0
L959,2841.79233,1,-156.389709,1,1.0
L960,2841.70327,2,-159.13988,1,1.0
L961,2841.18696,2,-157.33079999999998,1,1.0
L962,2841.04655,5,-158.807552,1,1.0
L963,2840.20272,4,-159.21956600000001,1,1.0
L964,2821.2666600000002,3,-403.45183599999996,2,1.0
L965,2820.6076000000003,1,-192.415965,1,0.0
L966,2805.70901,1,-854.172854,1,0.0
L967,2795.79764,5,-148.460091,2,0.0
L968,2779.985,1,-175.37,1,1.0
L969,2779.39394,2,-154.969345,1,1.0
L970,2778.6415999999995,1,-133.957536,1,0.0
L971,2749.79832,2,-146.06868,1,1.0
L972,2741.2833499999997,2,-151.287774,2,1.0
L973,2736.4968000000003,2,-148.5358,1,1.0
L974,2726.55669,1,-191.484018,1,1.0
L975,2725.2585,10,-127.39879,1,0.0
L976,2725.03756,3,-66.574494,2,1.0
L977,2698.4695500000003,1,-124.620867,1,0.0
L978,2695.75768,1,-376.09268,1,1.0
L979,2685.8111,1,-149.142647,1,1.0
L980,2680.9196,3,-149.6985,3,1.0
L981,2679.98208,1,-374.4,1,1.0
L982,2676.9873900000002,3,-166.182714,3,1.0
L983,2672.8912,1,-138.18257,1,0.0
L984,2661.59217,5,-297.495407,3,1.0
L985,2660.2818300000004,1,-148.561479,1,1.0
L986,2658.37496,1,-281.834984,1,1.0
L987,2655.1757999999995,2,-150.155,2,1.0
L988,2639.4470499999998,2,-352.45295,1,1.0
L989,2639.35997,3,-333.63117,1,0.0
L990,2622.5331000000006,1,-248.103463,1,1.0
L991,2617.9455199999998,1,-143.298,1,1.0
L992,2613.7720000000004,1,-120.772,1,0.0
L993,2608.11953,4,-148.269079,1,1.0
L994,2607.61104,1,-223.40276,1,1.0
L995,2606.1294100000005,2,-140.085598,1,1.0
L996,2605.96465,4,-389.550236,2,1.0
L997,2596.9558,3,-147.512458,1,1.0
L998,2587.9386000000004,1,-34.963565,1,1.0
L999,2585.25606,4,-158.373654,1,1.0
L1000,2583.57316,2,-144.66398999999998,1,1.0
L1001,2575.6499999999996,2,-163.1245,1,1.0
L1002,2570.8759999999997,1,-120.6966,1,0.0
L1003,2568.69334,4,-137.294588,3,1.0
L1004,2559.7980399999997,2,-143.20195999999999,1,1.0
L1005,2549.7651,2,-208.535027,1,1.0
L1006,2539.6161,1,-90.025054,1,0.0
L1007,2532.0448,1,-520.2624,1,1.0
L1008,2531.9434,2,-330.548694,1,1.0
L1009,2515.2887,3,-197.04083,3,1.0
L1010,2494.136,1,-627.275204,1,1.0
L1011,2486.1774,1,-140.7504,1,1.0
L1012,2479.9322,1,-116.509,1,0.0
L1013,2465.1358000000005,2,-136.7001,1,1.0
L1014,2457.24415,5,-138.048785,1,1.0
L1015,2454.6605999999997,1,-133.7454,1,1.0
L1016,2450.17048,2,-137.888049,1,1.0
L1017,2448.2514,1,-949.2889,1,1.0
L1018,2445.68596,3,53.299938,1,0.0
L1019,2439.81838,4,-134.942698,3,1.0
L1020,2433.16982,4,-569.284464,1,1.0
L1021,2425.70967,2,-109.968941,1,0.0
L1022,2416.5191999999997,2,-286.40470400000004,2,1.0
L1023,2416.51563,2,-136.86019,1,1.0
L1024,2412.39725,3,214.80029000000002,1,1.0
L1025,2409.85928,2,172.19252,1,1.0
L1026,2398.62615,1,-135.60693,1,1.0
L1027,2397.27257,13,-124.359297,9,0.6923076923076923
L1028,2391.1199799999995,2,-607.046048,1,1.0
L1029,2389.6338,1,-378.01773,1,1.0
L1030,2384.8523499999997,7,-123.356634,4,1.0
L1031,2380.57984,2,-140.58484,1,0.0
L1032,2379.41817,3,-115.757895,2,0.3333333333333333
L1033,2378.5938699999997,1,-129.76873,1,1.0
L1034,2370.5263,2,-132.2027,1,1.0
L1035,2368.71898,1,-132.527052,1,1.0
L1036,2368.6139399999997,1,-140.97006,1,1.0
L1037,2365.15219,2,-131.71781,2,1.0
L1038,2362.6142600000003,2,-165.194784,1,1.0
L1039,2360.54508,2,-105.52742,1,0.0
L1040,2358.75328,1,-933.192896,1,1.0
L1041,2358.63716,1,-131.41172,1,1.0
L1042,2354.47296,1,-440.77824,1,1.0
L1043,2350.99063,2,-169.459853,2,1.0
L1044,2344.7400000000002,1,-130.38,1,1.0
L1045,2337.34411,4,-745.6401940000001,1,1.0
L1046,2332.48678,4,-128.419612,3,1.0
L1047,2326.55516,1,-107.83725,1,0.0
L1048,2323.65297,6,-123.889928,1,1.0
L1049,2321.42504,2,-130.7308,1,1.0
L1050,2320.63792,1,-128.05783,1,1.0
L1051,2320.46721,2,-127.84392,1,1.0
L1052,2319.4269,1,-142.278852,1,0.0
L1053,2316.2862,2,-130.06526,2,1.0
L1054,2314.29744,1,-173.610528,1,0.0
L1055,2313.31412,3,-228.417665,3,0.6666666666666666
L1056,2306.42947,1,-239.266404,1,0.0
L1057,2304.6606,1,-101.789895,1,0.0
L1058,2303.3665900000005,2,-105.7987,1,0.0
L1059,2296.7490000000003,1,-246.8158,1,1.0
L1060,2293.16284,7,-206.56332,2,0.0
L1061,2290.0684,7,-176.197726,3,1.0
L1062,2289.819,1,-139.1405,1,0.0
L1063,2282.7054500000004,2,-198.06955000000002,1,1.0
L1064,2279.7558,1,-124.8696,1,1.0
L1065,2279.3965799999996,3,-288.82644,1,0.0
L1066,2279.1665,1,-127.5495,1,1.0
L1067,2271.17618,1,-102.209092,1,0.0
L1068,2270.1114199999997,2,-125.95701,1,0.0
L1069,2261.1535999999996,3,-104.5536,1,0.0
L1070,2255.1797,2,-367.321472,1,0.0
L1071,2253.251,3,-209.651387,1,1.0
L1072,2252.01431,1,-122.305905,1,1.0
L1073,2248.19505,1,-121.9869,1,1.0
L1074,2245.93908,1,-124.788048,1,1.0
L1075,2244.38314,6,-140.020518,3,0.0
L1076,2240.9654800000003,3,-156.78932,1,1.0
L1077,2238.04194,2,-699.089292,2,1.0
L1078,2234.6688000000004,1,-120.4672,1,1.0
L1079,2231.17776,1,-109.19376,1,0.0
L1080,2216.8651600000003,6,-166.81358699999998,5,1.0
L1081,2214.4521,3,-122.15028,1,1.0
L1082,2211.1913,5,-104.59784,2,0.0
L1083,2210.5170000000003,2,-373.632,1,1.0
L1084,2208.28074,2,-120.896028,1,1.0
L1085,2205.45024,5,-123.62410100000001,4,1.0
L1086,2201.26574,3,-121.74490599999999,3,1.0
L1087,2198.2799999999997,1,-899.037,1,1.0
L1088,2188.7832,1,-183.4856,1,1.0
L1089,2187.24312,1,-119.716399,1,1.0
L1090,2185.2546300000004,1,-101.03782,1,0.0
L1091,2184.974,1,-401.995,1,1.0
L1092,2182.11255,6,-117.546053,4,0.6666666666666666
L1093,2179.716,1,-121.9266,1,1.0
L1094,2173.26631,3,-326.515271,1,1.0
L1095,2171.2554999999998,2,-115.735748,1,1.0
L1096,2168.11661,2,-100.79141,1,0.0
L1097,2165.36647,3,-99.346123,1,0.0
L1098,2165.095,1,-99.475,1,0.0
L1099,2164.4,2,-100.548,1,0.0
L1100,2158.19278,4,-103.288159,1,0.0
L1101,2158.07411,2,-120.29029,1,1.0
L1102,2157.7212,1,-163.88964,1,1.0
L1103,2146.62132,5,-118.13678,5,0.8
L1104,2144.04047,4,-118.38302999999999,1,1.0
L1105,2139.0,1,-378.333,1,1.0
L1106,2133.64441,6,-122.70472,4,1.0
L1107,2132.66488,2,-866.945588,1,1.0
L1108,2130.0,1,-228.807,1,1.0
L1109,2113.65,1,-290.105508,1,1.0
L1110,2113.6101,1,-114.80707,1,1.0
L1111,2112.3829,2,-95.19978,1,0.0
L1112,2105.9038,1,-97.097,1,0.0
L1113,2102.13229,4,-114.79921,1,1.0
L1114,2099.70115,6,-387.01645,1,1.0
L1115,2097.6043,1,-97.60676,1,0.0
L1116,2097.18524,1,-97.5456,1,0.0
L1117,2096.28475,2,-112.48997,1,1.0
L1118,2095.8008200000004,4,-96.24598,1,0.0
L1119,2080.0377,1,34.76112,1,1.0
L1120,2077.25518,2,-115.632603,2,1.0
L1121,2076.57492,3,-167.888628,1,1.0
L1122,2076.2019999999998,1,-132.73533,1,0.0
L1123,2071.57538,2,-93.64573399999999,1,0.0
L1124,2069.75922,2,-174.54288,2,1.0
L1125,2068.09092,2,-143.04192,1,1.0
L1126,2067.36684,1,-112.2198,1,1.0
L1127,2065.793,3,-121.890498,3,1.0
L1128,2064.1275699999997,3,-96.211166,2,0.0
L1129,2062.5974,3,-117.0568,1,1.0
L1130,2058.6904799999998,1,-94.203494,1,0.0
