feature,target,family,n_coin,n_sig,n_pos,med_spread,min_spread,max_spread,med_rho,same_sign,ab
aggr_imb,fwd_micro_3s,12 攻撃的な約定フロー,7,7,7,0.1524795572909676,0.09441683582110705,0.9105999540652913,0.9030303030303028,7,0.1524795572909676
qb1,fwd_micro_100ms,3 板の厚み,7,6,0,-0.15135975521467016,-0.6170699371267883,-0.029176861573088565,-0.9878787878787878,7,0.15135975521467016
cum_b1,fwd_micro_100ms,3 板の厚み,7,6,0,-0.15135975521467016,-0.6170699371267883,-0.029176861573088565,-0.9878787878787878,7,0.15135975521467016
trade_dollar_imb,fwd_mid_500ms,12 攻撃的な約定フロー,7,5,7,0.1508928105464273,0.0525338274956297,0.3222570989375588,0.8571428571428572,7,0.1508928105464273
signed_vol,fwd_mid_500ms,12 攻撃的な約定フロー,7,5,7,0.1506418881860392,0.05214181014357784,0.322248418168307,0.8571428571428572,7,0.1506418881860392
ofi_ewma,fwd_mid_300ms,8 OFI,7,6,7,0.14388449671100365,0.0896356674355929,0.28788280605414657,0.9999999999999999,7,0.14388449671100365
signed_vol,fwd_micro_500ms,12 攻撃的な約定フロー,7,5,7,0.14196823153066823,0.05704151791413997,0.3988948960560973,0.8333333333333333,7,0.14196823153066823
trade_dollar_imb,fwd_micro_500ms,12 攻撃的な約定フロー,7,5,7,0.1416796944644565,0.057666706655305905,0.4008866984348263,0.8333333333333333,7,0.1416796944644565
depth_diff,fwd_micro_100ms,2 板の偏り OBI,7,5,0,-0.1408900400167869,-0.6414915428088167,-0.038074674069333854,-0.9030303030303028,7,0.1408900400167869
qa1,fwd_micro_100ms,3 板の厚み,7,6,7,0.13852858260220982,0.03526203403725584,0.5595491656540129,0.9878787878787878,7,0.13852858260220982
cum_a1,fwd_micro_100ms,3 板の厚み,7,6,7,0.13852858260220982,0.03526203403725584,0.5595491656540129,0.9878787878787878,7,0.13852858260220982
signed_cnt,fwd_micro_500ms,12 攻撃的な約定フロー,7,6,7,0.13454627680713313,0.06120619006269751,0.420574260473599,0.7999999999999999,7,0.13454627680713313
ofi_10s,fwd_mid_300ms,8 OFI,7,5,7,0.1313376321306549,0.05606288381937958,0.19707036434804956,0.9999999999999999,7,0.1313376321306549
ofi_5s,fwd_mid_300ms,8 OFI,7,5,7,0.12992015983002567,0.07772868876895515,0.22440387610428908,0.9999999999999999,7,0.12992015983002567
aggr_mom,fwd_micro_1s,12 攻撃的な約定フロー,7,7,7,0.1263306951242482,0.057144264878692376,0.6440548395536256,0.9757575757575757,7,0.1263306951242482
ofi_norm,fwd_mid_300ms,8 OFI,7,5,7,0.12466540199136296,0.04810824966292973,0.2430646156351427,0.9878787878787878,7,0.12466540199136296
depth_ratio,fwd_mid_100ms,2 板の偏り OBI,7,7,7,0.12221207902562266,0.02590546460903948,0.22282187247752294,0.9999999999999999,7,0.12221207902562266
log_depth_ratio,fwd_mid_100ms,2 板の偏り OBI,7,7,7,0.12221207902562266,0.02590546460903948,0.22282187247752294,0.9999999999999999,7,0.12221207902562266
obi1,fwd_mid_100ms,2 板の偏り OBI,7,7,7,0.12221207902562266,0.02590546460903948,0.22282187247752294,0.9999999999999999,7,0.12221207902562266
aggr_mom,fwd_mid_1s,12 攻撃的な約定フロー,7,6,7,0.11800851982777592,0.03754306880564479,0.42486035344512885,0.9757575757575757,7,0.11800851982777592
delta1,fwd_mid_100ms,4 マイクロプライス,7,7,7,0.11134173380960183,0.018241781240891784,0.18588303401081785,0.9757575757575757,7,0.11134173380960183
obi_x_spread,fwd_mid_100ms,4 マイクロプライス,7,7,7,0.10970724763127232,0.017959299747681647,0.18020861825343637,0.9757575757575757,7,0.10970724763127232
delta1_bp,fwd_mid_100ms,4 マイクロプライス,7,7,7,0.10970724763127232,0.017959299747681647,0.18020861825343637,0.9757575757575757,7,0.10970724763127232
micro_minus_ask,fwd_mid_100ms,4 マイクロプライス,7,6,7,0.10729003204905632,0.020517117335434376,0.19076228909280427,0.9878787878787878,7,0.10729003204905632
micro_mom,fwd_micro_100ms,4 マイクロプライス,7,5,0,-0.1059505328541142,-1.226251535361142,-0.02290937071607378,-0.9878787878787878,7,0.1059505328541142
aggr_acc,fwd_micro_500ms,12 攻撃的な約定フロー,7,5,7,0.10582567576857456,0.02645855027473534,0.2794343193128751,0.8285714285714287,7,0.10582567576857456
depth_diff,fwd_mid_100ms,2 板の偏り OBI,7,7,7,0.10335059330298398,0.024796624434331345,0.18316052678252484,0.9999999999999999,7,0.10335059330298398
signed_cnt,fwd_mid_300ms,12 攻撃的な約定フロー,7,5,7,0.10222679261469657,0.03423971905346862,0.1941163647864502,0.8571428571428573,7,0.10222679261469657
qa1,fwd_mid_100ms,3 板の厚み,7,6,0,-0.09719497665602615,-0.18989305099427267,-0.027780091600459106,-0.9878787878787878,7,0.09719497665602615
cum_a1,fwd_mid_100ms,3 板の厚み,7,6,0,-0.09719497665602615,-0.18989305099427267,-0.027780091600459106,-0.9878787878787878,7,0.09719497665602615
d_obi,fwd_mid_100ms,2 板の偏り OBI,7,7,7,0.09620515203120715,0.01432002978928616,0.15459250595177254,0.9761904761904763,7,0.09620515203120715
obi_vel,fwd_mid_100ms,2 板の偏り OBI,7,7,7,0.09620515203120715,0.01432002978928616,0.15459250595177254,0.9761904761904763,7,0.09620515203120715
aggr_acc,fwd_mid_500ms,12 攻撃的な約定フロー,7,5,7,0.09393408018427628,0.01914627642929916,0.19927382602771482,0.8285714285714287,7,0.09393408018427628
trade_dollar_imb,fwd_mid_300ms,12 攻撃的な約定フロー,7,5,7,0.09212411030005832,0.03147992839552821,0.19093957769885708,0.7833333333333333,7,0.09212411030005832
signed_vol,fwd_mid_300ms,12 攻撃的な約定フロー,7,5,7,0.09206273597727428,0.03128281878825975,0.18995408252171683,0.7833333333333333,7,0.09206273597727428
ofi_per_event,fwd_mid_100ms,8 OFI,7,5,7,0.09192141491926277,0.017300998801797984,0.16618096702907686,0.9999999999999999,7,0.09192141491926277
micro_minus_bid,fwd_mid_100ms,4 マイクロプライス,7,6,7,0.09124591973174145,0.02033669634106487,0.18868713491645508,0.9636363636363635,7,0.09124591973174145
cum_b1,fwd_mid_100ms,3 板の厚み,7,7,7,0.08310455841227282,0.023209621796420686,0.17967200386913101,0.9878787878787878,7,0.08310455841227282
qb1,fwd_mid_100ms,3 板の厚み,7,7,7,0.08310455841227282,0.023209621796420686,0.17967200386913101,0.9878787878787878,7,0.08310455841227282
signed_vol,fwd_micro_300ms,12 攻撃的な約定フロー,7,5,7,0.08180164949588312,0.04079109386622532,0.24565296572188264,0.8095238095238096,7,0.08180164949588312
trade_dollar_imb,fwd_micro_300ms,12 攻撃的な約定フロー,7,5,7,0.08135800054782476,0.04108580732685375,0.24794507878047986,0.7857142857142858,7,0.08135800054782476
signed_cnt,fwd_micro_300ms,12 攻撃的な約定フロー,7,5,7,0.08108205466797508,0.04431011718049229,0.2527462139841113,0.8333333333333335,7,0.08108205466797508
ofi_pct,fwd_mid_100ms,8 OFI,7,5,7,0.07956400873024795,0.024819082289582406,0.18707752832776137,0.9757575757575757,7,0.07956400873024795
aggr_imb,fwd_mid_1s,12 攻撃的な約定フロー,7,6,7,0.07838593826907747,0.025188879400126964,0.2586570935768143,0.8787878787878788,7,0.07838593826907747
ofi_z,fwd_mid_100ms,8 OFI,7,5,7,0.07217260635528615,0.0015361661342718582,0.1524223820569141,0.9999999999999999,7,0.07217260635528615
ofi_dollar,fwd_mid_100ms,8 OFI,7,5,7,0.07184940872330477,0.016697193730786184,0.16709332999375945,0.9757575757575757,7,0.07184940872330477
ofi_per_time,fwd_mid_100ms,8 OFI,7,5,7,0.07098043798950095,0.01513015962986925,0.16747914652398954,0.9636363636363635,7,0.07098043798950095
ofi_1s,fwd_mid_100ms,8 OFI,7,5,7,0.07098043798950095,0.01513015962986925,0.16747914652398954,0.9636363636363635,7,0.07098043798950095
aggr_mom,fwd_micro_500ms,12 攻撃的な約定フロー,7,6,7,0.06947630213401536,0.03537914137742014,0.35108256624253004,0.9636363636363635,7,0.06947630213401536
aggr_mom,fwd_mid_500ms,12 攻撃的な約定フロー,7,5,7,0.06212698450001459,0.017064051694645456,0.1996227715913176,0.9636363636363635,7,0.06212698450001459
obi_acc,fwd_mid_100ms,2 板の偏り OBI,7,5,7,0.05859251724600197,0.006410097349926182,0.08969849133662329,0.8303030303030302,7,0.05859251724600197
aggr_acc,fwd_mid_300ms,12 攻撃的な約定フロー,7,5,7,0.05733632410496474,0.011535443421796302,0.11831888376176439,0.8285714285714287,7,0.05733632410496474
ofi_2s,fwd_mid_100ms,8 OFI,7,5,7,0.056675216467947286,0.04149578466115809,0.13274602754467035,0.9878787878787878,7,0.056675216467947286
aggr_acc,fwd_micro_300ms,12 攻撃的な約定フロー,7,5,7,0.05662991135206144,0.017561487801569128,0.16421991900297112,0.8666666666666665,7,0.05662991135206144
ofi_5s,fwd_mid_100ms,8 OFI,7,5,7,0.055472260020901935,0.014588726368560331,0.09055662324028213,0.9999999999999999,7,0.055472260020901935
ofi_ewma,fwd_mid_100ms,8 OFI,7,5,7,0.05408629991805874,0.03780425896011966,0.11194478018423801,0.9999999999999999,7,0.05408629991805874
ofi_norm,fwd_mid_100ms,8 OFI,7,5,7,0.05260078311077322,0.008848359661913165,0.09549890345162167,0.9757575757575757,7,0.05260078311077322
aggr_mom,fwd_micro_300ms,12 攻撃的な約定フロー,7,5,7,0.04397132957717212,0.020264165909533362,0.20837696802756592,0.9151515151515152,7,0.04397132957717212
aggr_imb,fwd_mid_500ms,12 攻撃的な約定フロー,7,5,7,0.042145838564412744,0.014065024880671618,0.11411887634490445,0.9515151515151514,7,0.042145838564412744
signed_cnt,fwd_mid_100ms,12 攻撃的な約定フロー,7,5,7,0.04022104913213713,0.016440449416743972,0.05932679613015309,0.8571428571428572,7,0.04022104913213713
signed_vol,fwd_mid_100ms,12 攻撃的な約定フロー,7,5,7,0.031845140672757205,0.013065604826969677,0.057416728053853616,0.6666666666666669,7,0.031845140672757205
trade_dollar_imb,fwd_mid_100ms,12 攻撃的な約定フロー,7,5,7,0.03161081983198122,0.013109545797694931,0.05764299631449093,0.6666666666666669,7,0.03161081983198122
