model,term,coef,t,r2,n,oos_r2_vs_mean,oos_r2_vs_rw,oos_r2_vs_best_const,oos_r2_vs_har,placebo_p,placebo_t_hi
HAR,定数,7.1860867652338065,1.7310979599027934,0.3724267062542528,76,NaN,NaN,NaN,NaN,NaN,NaN
HAR,RVol(t),0.39234608342186117,4.7034709333219205,0.3724267062542528,76,NaN,NaN,NaN,NaN,NaN,NaN
HAR,RVol(5日平均),-1.3664593775743634,-5.502123869767317,0.3724267062542528,76,NaN,NaN,NaN,NaN,NaN,NaN
HAR,RVol(22日平均),0.7777626651406253,0.9924070409189837,0.3724267062542528,76,NaN,NaN,NaN,NaN,NaN,NaN
HAR,(標本外),NaN,NaN,0.3724267062542528,76,0.42303386678009347,0.5664293791731934,0.40918099257928575,0.0,NaN,NaN
跳び成分 √(RV−BV),追加項,-0.016255339738103655,-3.3120945696095427,0.3883401322495095,76,-0.009050489636484027,0.2417325349830617,-0.033277647333225246,-0.7488903274187355,0.14285714285714285,5.132948700472373
下向き半分散 √RS−,追加項,-2.3834813948092237,-3.373494154205005,0.43200958670140166,76,0.3863267166915665,0.5388451919283599,0.37159250907590347,-0.06362097872828931,0.23214285714285715,5.582764496240383
上向き半分散 √RS+,追加項,2.228332364342502,3.673690591901357,0.43341004665377847,76,0.41008691166185696,0.5567001783670671,0.39592318292347783,-0.02243971417521995,0.21428571428571427,5.584995190656183
microprice のボラ,追加項,1.0473894254681348,1.2822145278641732,0.37900450572516653,76,0.3780055937156841,0.5325921482107064,0.3630715971294778,-0.0780431822109171,0.8214285714285714,5.4524406970693855
スプレッドのボラ,追加項,0.7697466586187884,1.5297774063503173,0.4033253552294854,76,0.3543455313722772,0.5148124080693177,0.3388434600788133,-0.11905089649626999,0.42857142857142855,3.165520067386668
板圧力のボラ,追加項,1.2871505844344107,1.230208403231152,0.38897533021145403,76,0.439830653344236,0.5790515986748273,0.42638106758247807,0.029112257370122796,0.75,6.443126274531303
OFI のボラ,追加項,-0.053978998005852985,-0.6084819950398443,0.37846019715305035,76,0.19449141288852811,0.39468742082625397,0.17515126711142304,-0.3961106913089092,0.7857142857142857,4.755049675881356
