label,cfg,pairs_day,daily,se,t,lo,hi,pos_days,days
基準(門なし),q1,6246.871794871795,-11540.568323303403,2204.348791594623,-5.235364007415075,-15848.134720832217,-8046.187425438702,0,39
+ 価格改善,q1_imp1,7539.871794871795,-11022.857256358117,2221.4392664260868,-4.9620340393514315,-15301.565927900489,-7593.167523213843,0,39
門のみ(BBO × G0),q1_gated,130.05128205128204,11.96199564169955,9.855803311472146,1.2137007267358713,-20.579247139719214,45.54284648341552,21,39
BBO × G1,q1_gatedby_q1_imp1,231.2051282051282,-24.856159568563395,8.845962854669981,-2.8098874002665832,-44.66974980618416,-3.6709300930979016,16,39
改善 × G0,q1_imp1_gatedby_q1,308.7692307692308,70.87235488645071,24.192554102275306,2.929511063066515,-11.72613486144928,144.42178944693447,26,39
★ 候補 1 = 改善 × G1,q1_imp1_gatedby_q1_imp1,1063.6153846153845,157.72135302982247,43.51189364848666,3.6247871513932144,66.2627353839468,255.88987984448784,27,39
候補 1 + 候補 2 の変数,q1_imp1_gated_impact,1073.179487179487,129.3554958994239,37.391437822738666,3.4594950991897826,46.46042880900402,213.39584046850567,25,39
★ 候補 2 の新鮮な A を門に足す,q1_imp1_gatedby_q1_imp1_impact100,990.5128205128206,198.34825380547082,40.766922859030096,4.86542127526644,103.95382930412813,299.7610204661279,28,39
候補 2 の新鮮な A + 遅延 65ms,q1_lat65_imp1_gatedby_q1_imp1_impact100,826.6153846153846,14.379613247914104,30.97290770541169,0.4642642332673742,-44.3207358332144,87.55007402425036,19,39
新鮮な A をさらに 100ms 寝かせる(先読み検査),q1_imp1_gatedby_q1_imp1_impact100lag100,1015.0,192.44973832445564,39.96777738132184,4.815122354399254,96.68637533975766,290.681180240981,28,39
候補 1 + 遅延 65ms,q1_lat65_imp1_gated,889.5897435897435,-25.831100913593065,37.380446069174965,-0.6910324415548953,-87.7926631644653,51.70216873732779,15,39
候補 1 + 遅延 130ms,q1_lat130_imp1_gated,673.3076923076923,-218.7223143570962,23.957598788497346,-9.129559113499736,-268.75338184079243,-174.15727384782227,3,39
