coin,sfx,size_unit,size_usd,lat_ms,n_days,pairs_day,ev_pair_bp,ev_pair_nw,se_pair,t_pair,day_bp,se_day_bp,t_day,day_usd,se_day_usd,t_usd,worst_day_bp,best_day_bp,p_day_pos,p_off_60s,t_off_med,forced_rate
xyz:MU,_q1,0.0,0.0,0,98,4558.34693877551,-1.7659524441938055,-1.536032917759597,0.10366104843835637,-14.817840846680443,-8052.445208457442,1472.6788414648074,-5.467889523317954,NaN,NaN,NaN,-30699.032260816366,5545.432927312447,0.01020408163265306,0.9142229130372517,7.7125,0.00008281944242369979
xyz:MU,_q1_lat130,0.0,0.0,130,98,3737.2448979591836,-2.0373418406729407,-1.7764299135150214,0.09841600674719636,-18.050213295873515,-7616.643718738862,1277.0711955234392,-5.9641496460320615,NaN,NaN,NaN,-27148.740080797197,5301.440870195029,0.01020408163265306,0.8995591904161903,9.762249999999998,0.00009828385469278105
xyz:MU,_q1_sz0.108228,0.108228,99.9999663,0,98,2683.4897959183672,-1.186566630745779,-1.0518380204351097,0.12254645075598498,-8.583178165882046,-3186.6306050041417,639.1561571880569,-4.9856839665342525,-31.868030635443024,5.916341660199432,-5.3864419037572615,-14369.118004143864,3945.757548167381,0.04081632653061224,0.8388378606780043,11.37275,0.00015207853335462432
xyz:MU,_q1_sz0.108228_lat130,0.108228,99.9999663,130,98,2119.5204081632655,-1.4618396680622483,-1.281403187491746,0.13061946189690005,-9.810201090119152,-3100.8034715668746,543.795015208694,-5.702155012172866,-30.99913662575265,5.087538414380119,-6.09315038057156,-12271.387876206683,3751.2467592189405,0.05102040816326531,0.8109043444279644,14.52825,0.0001829112735919442
xyz:MU,_q1_sz1.08228,1.08228,999.9996629999998,0,98,1704.265306122449,-1.3731721852409497,-1.4467278582378669,0.11623357348851875,-12.446729587822325,-2342.5106856881675,410.2962753572917,-5.70931501546846,-234.14890787011552,38.74826640069547,-6.042822805252338,-9730.271773638688,762.056598082319,0.04081632653061224,0.7423262981328913,17.0475,0.00021549917990589868
xyz:MU,_q1_sz1.08228_lat130,1.08228,999.9996629999998,130,98,1318.734693877551,-1.6867529792110612,-1.6618600533040035,0.12480559700595303,-13.315589149617509,-2226.7675166602166,369.0923109529998,-6.033091046818835,-222.64771880453077,35.112964809671716,-6.340897728556474,-9654.20859269099,776.7373945190596,0.030612244897959183,0.7041028411828876,24.191499999999998,0.00026301539413630385
xyz:MU,_q1_sz10.8228,10.8228,9999.99663,0,98,490.35714285714283,-2.0159917787863604,-2.7169893842470425,0.31542838368958925,-8.61364900794981,-992.252424467469,149.5300940529399,-6.635804188795403,-1005.7522618193877,155.36637345297268,-6.473423041722831,-4922.39246976069,440.8249227933585,0.061224489795918366,0.47824559488366725,51.7235,0.0007485808155372107
xyz:MU,_q1_sz10.8228_lat130,10.8228,9999.99663,130,98,363.9387755102041,-2.464827166058416,-3.00572879304955,0.3189573024558017,-9.423608645756143,-900.7594259120121,104.57738785801482,-8.613328792788144,-911.9048587987967,117.91216121125866,-7.733764265120813,-3752.4548753551303,274.37774977928086,0.10204081632653061,0.41452818506900324,67.36,0.0010223373713325397
xyz:MU,_q1_sz108.228,108.228,99999.96629999999,0,97,37.89795918367347,-5.157938469029509,-7.236744199081001,3.2604439372332252,-2.2195579308816513,-213.2390139865058,35.87614450173148,-5.94375502016986,-2188.2764534917665,428.6913760858204,-5.104549742688763,-2063.7437226782636,788.7811405604922,0.32653061224489793,0.1492037439074237,643.53,0.008674763112238089
xyz:INTC,_q1,0.0,0.0,0,99,1088.2222222222222,-1.626096610259491,-1.48939919583971,0.09102040320150684,-16.36335528576359,-1772.9714537291268,233.14132331647284,-7.604707001351466,NaN,NaN,NaN,-6588.1983095444475,690.71439428767,0.08080808080808081,0.6884618587795768,24.008,0.0003433205593341437
xyz:INTC,_q1_lat130,0.0,0.0,130,99,947.030303030303,-1.8379857435904696,-1.653812164059584,0.0950933739706344,-17.391455313913823,-1743.7086678779783,237.22265647390816,-7.350514886716846,NaN,NaN,NaN,-6240.340683298198,758.2436219987277,0.0707070707070707,0.6575445612848633,28.5905,0.00038915691553162565
xyz:INTC,_q1_lat65,0.0,0.0,65,99,1029.171717171717,-1.7207940277066869,-1.5616411980624332,0.08858876923856825,-17.627981644681807,-1774.1686371410103,233.7106912780062,-7.591302851569512,NaN,NaN,NaN,-6368.449958811442,680.9882871905187,0.06060606060606061,0.6757116793486507,24.9655,0.0003630120186411577
xyz:INTC,_q1_sz0.924129,0.924129,99.99999909,0,99,610.5353535353536,-0.8081570474739267,-0.8408029524415815,0.09126267289261314,-9.212999420156548,-496.9254289461854,68.30531983745291,-7.275061885790528,-5.315660781135861,0.8861073309270144,-5.998890422873269,-2137.230606487059,862.9884066563925,0.18181818181818182,0.5652016834932033,41.607,0.000636558286418161
xyz:INTC,_q1_sz0.924129_lat130,0.924129,99.99999909,130,99,518.9090909090909,-0.9693834377917978,-0.9253281720036064,0.10496524723736814,-8.815567022017028,-506.70340342242054,76.57779916133458,-6.616844685688794,-5.414788263832503,0.9243400528025728,-5.858004581122519,-2406.026233219462,907.4747178984187,0.1919191919191919,0.5196794705478502,49.952,0.0007488742572042676
xyz:INTC,_q1_sz9.24129,9.24129,999.9999909000001,0,99,359.73737373737373,-1.09219424588296,-1.386834297931561,0.1439377453689982,-9.634959158046268,-396.9229155681588,63.84113472629349,-6.217353705724201,-42.26369141913646,8.237999194551625,-5.130334492759898,-2197.9258982529163,498.02097574082046,0.1717171717171717,0.4599656747550114,61.691,0.0010938770930917455
xyz:INTC,_q1_sz9.24129_lat130,9.24129,999.9999909000001,130,99,298.09090909090907,-1.267570564912538,-1.5170789396180298,0.17606304178385102,-8.616680276832412,-381.8673545027058,52.01869120498477,-7.340964289122922,-40.7242465662902,6.762328312986179,-6.022222625317457,-2455.2576723294987,684.5937702194107,0.1919191919191919,0.40772118072985203,82.92099999999999,0.001302898526201797
xyz:INTC,_q1_sz92.4129,92.4129,9999.999909,0,99,94.72727272727273,-1.7077566071928114,-2.7622800785078936,0.7471086529021956,-3.6972936503648084,-171.47364465316318,52.15418921859737,-3.287821117004698,-180.65013379876459,57.54130060842474,-3.1394864538796194,-2274.590210127535,1033.7263363792079,0.3434343434343434,0.2643667041012306,221.513,0.003612409689757756
xyz:INTC,_q1_sz92.4129_lat130,92.4129,9999.999909,130,99,73.70707070707071,-2.1392221968430323,-3.0986781524935294,0.722078829572489,-4.291329458209043,-167.60163715348457,45.944116673091294,-3.647945575840096,-174.75445436959438,48.63661430994338,-3.5930637205942846,-1902.2764989143911,1185.7312193195307,0.30303030303030304,0.20387421340927148,347.829,0.004773595199127114
xyz:INTC,_q1_sz924.129,924.129,99999.99909000001,0,84,7.656565656565657,-5.124835899714408,-16.87738173946405,6.188314417935223,-2.727298679354323,-55.86211986601405,30.966663599464603,-1.8039437696148795,-606.1230892438729,343.2570334813386,-1.7657994742206065,-1523.082723685961,1012.8937163082459,0.36363636363636365,0.09683565114169831,2057.5905,0.04232469993682881
xyz:INTC,_q1_sz924.129_lat130,924.129,99999.99909000001,130,82,6.02020202020202,-7.41273339819184,-19.720606673270165,7.076709710118004,-2.786691482494246,-60.05784219927083,41.047982189490014,-1.463113142127803,-608.8361341869455,438.62953146519254,-1.388041822339679,-1443.3543106226214,1056.3721677296737,0.35353535353535354,0.07565532865030714,2792.8845,0.05321683876092136
xyz:AMD,_q1,0.0,0.0,0,99,1029.6464646464647,-2.1338516745539025,-1.946410035461149,0.1492148414887705,-13.04434609882711,-2201.1329739710586,209.4679266371384,-10.50821006016871,NaN,NaN,NaN,-7223.590814003451,822.8521653206132,0.050505050505050504,0.668240499301855,23.0775,0.00034813990320730015
xyz:AMD,_q1_lat130,0.0,0.0,130,99,910.0,-2.3595278871151466,-2.126944004298119,0.14366564416310462,-14.804820015865342,-2151.029621977763,199.64811436148926,-10.774104372871962,NaN,NaN,NaN,-6076.3961693654155,829.3032273669154,0.050505050505050504,0.6426393986106853,28.512,0.00042716787697565144
xyz:AMD,_q1_lat65,0.0,0.0,65,99,979.8585858585859,-2.2418471611622195,-2.02617836336206,0.14461545068691198,-14.010801430537834,-2200.6475036137876,212.01465015450546,-10.379695469204925,NaN,NaN,NaN,-6947.618916675685,828.8995988574417,0.050505050505050504,0.6575553055446375,25.229,0.0003709733929638713
xyz:AMD,_q1_sz0.200363,0.200363,100.00017148500001,0,99,436.34343434343435,-1.2275971299031385,-1.1603533128792063,0.15007852116308937,-7.731641436007074,-540.0631208629453,52.171494341623976,-10.35168970485223,-5.301400862421787,0.4951256729748338,-10.707182341343158,-3224.2230725141712,712.5488640162971,0.13131313131313133,0.5001596486515828,49.406,0.0008673428085716598
xyz:AMD,_q1_sz0.200363_lat130,0.200363,100.00017148500001,130,99,364.989898989899,-1.4506732480776077,-1.3346597966809863,0.17706615217470495,-7.53763370519355,-533.7579216431708,44.21265894462713,-12.07251349238372,-5.245777159179977,0.42730546644740663,-12.276410135337304,-2533.8761613807765,437.12127299086967,0.1414141414141414,0.4570692605550227,66.458,0.0010091096335411453
