y,n,beta_gap,t,lo,hi,r2
現物 寄り→1 時間後,66,1.7667741981283795,1.587272465012539,-0.3918203526194847,3.9460733662784393,0.048564880523868315
現物 1 時間後→2 時間後,66,-0.001735401175965965,-0.002404358310206396,-0.9559069694847755,1.2683657923528575,1.819379542578048e-7
現物 寄り→引け,66,0.6644924853720356,0.4336609195971503,-1.6383036140422007,3.768712927100365,0.00447516414329352
perp 13:30→13:31,66,0.7042468341403436,6.164631353452485,0.509261410658281,0.92085953598072,0.15477193433311676
perp 13:30→13:35,66,0.6737338390492313,2.4017941184310447,0.10324026558178746,1.3246961946853804,0.06346380189477607
perp 13:30→14:30,66,2.597059142683272,2.434445028468436,0.44591479924998784,4.673354846840806,0.11008803556784263
