family,n,finite_p50,max_abs_fwd,max_abs_bwd
1 価格と最良気配,17,0.9999421296296296,0.018649023280983154,0.3241297461496114
10 取消,23,1.0,0.00616543425091073,0.07110424855070743
11 指値の到着,6,1.0,0.0037540835920413856,0.008622652605790124
12 攻撃的な約定フロー,15,1.0,0.016651270239153308,0.2120306098767591
2 板の偏り OBI,19,1.0,0.07634687177805867,0.09786616597168526
3 板の厚み,32,0.9999421296296296,0.023817726701176063,0.09786616597168526
4 マイクロプライス,25,0.9999421296296296,0.10162993689146622,0.938336703237472
5 板の形,17,0.9999421296296296,0.022985205759470717,0.04026723377228735
6 板の隙間,16,1.0,0.040175120698888664,0.02498425757659705
7 板の弾力性,9,0.9999421296296296,0.06554460247695595,0.049376633415590426
8 OFI,27,0.9999421296296296,0.01530053169592914,0.523748723800414
9 指値フロー,23,1.0,0.014146149750006297,0.10486606466925269
