ts,open,high,low,close,volume,dtm,symbol
1777248000,35410.0,36440.0,35030.0,35470.0,23623700,2026-04-27T00:00:00.000000,285A.T
1777334400,36400.0,37430.0,36200.0,36320.0,25822100,2026-04-28T00:00:00.000000,285A.T
1777507200,37460.0,38270.0,36920.0,37560.0,29168400,2026-04-30T00:00:00.000000,285A.T
1777593600,36500.0,36990.0,36050.0,36410.0,19165800,2026-05-01T00:00:00.000000,285A.T
1778112000,43410.0,43410.0,43410.0,43410.0,1272600,2026-05-07T00:00:00.000000,285A.T
1778198400,43350.0,45550.0,41900.0,44490.0,41407500,2026-05-08T00:00:00.000000,285A.T
1778457600,49200.0,49430.0,45690.0,45940.0,38790300,2026-05-11T00:00:00.000000,285A.T
1778544000,46900.0,47180.0,43630.0,46100.0,28465500,2026-05-12T00:00:00.000000,285A.T
1778630400,44800.0,50670.0,44740.0,50500.0,29747400,2026-05-13T00:00:00.000000,285A.T
1778716800,50070.0,53490.0,45110.0,48460.0,47858500,2026-05-14T00:00:00.000000,285A.T
1778803200,48460.0,48470.0,42100.0,44450.0,37961800,2026-05-15T00:00:00.000000,285A.T
1779062400,51450.0,51450.0,51450.0,51450.0,822500,2026-05-18T00:00:00.000000,285A.T
1779148800,52010.0,52590.0,48000.0,49770.0,50094200,2026-05-19T00:00:00.000000,285A.T
1779235200,51000.0,51450.0,48270.0,51290.0,31479300,2026-05-20T00:00:00.000000,285A.T
1779321600,53290.0,59420.0,51120.0,55340.0,55514600,2026-05-21T00:00:00.000000,285A.T
1779408000,57500.0,58880.0,56280.0,57400.0,25359700,2026-05-22T00:00:00.000000,285A.T
1779667200,58380.0,65790.0,58090.0,65450.0,38801400,2026-05-25T00:00:00.000000,285A.T
1779753600,66000.0,66090.0,61110.0,62460.0,31753400,2026-05-26T00:00:00.000000,285A.T
1779840000,65890.0,67340.0,60170.0,60550.0,44939300,2026-05-27T00:00:00.000000,285A.T
1779926400,59000.0,61840.0,56900.0,61280.0,41659000,2026-05-28T00:00:00.000000,285A.T
1780012800,62500.0,65850.0,61110.0,65850.0,42526500,2026-05-29T00:00:00.000000,285A.T
1780272000,70000.0,73150.0,69270.0,72500.0,36726500,2026-06-01T00:00:00.000000,285A.T
1780358400,74000.0,77540.0,70230.0,77540.0,43759900,2026-06-02T00:00:00.000000,285A.T
1780444800,79660.0,83140.0,76240.0,78080.0,43609900,2026-06-03T00:00:00.000000,285A.T
1780531200,77000.0,79830.0,75000.0,76920.0,34757400,2026-06-04T00:00:00.000000,285A.T
1780617600,74010.0,78840.0,73290.0,78140.0,36522900,2026-06-05T00:00:00.000000,285A.T
1780876800,69140.0,74500.0,69010.0,71880.0,44666500,2026-06-08T00:00:00.000000,285A.T
1780963200,74030.0,76650.0,72030.0,76450.0,34519800,2026-06-09T00:00:00.000000,285A.T
1781049600,74950.0,75680.0,70130.0,70500.0,39377200,2026-06-10T00:00:00.000000,285A.T
