model,n,r2,b_A,b_Nn,b_Nm,b_KO,b_JP,b_Pm,b_Pn,t_A,t_Nn,t_Nm,t_KO,t_JP,t_Pm,t_Pn
N1 米アフター+指数先物,50,0.8322015062665573,1.0092489628925547,4.3434082212304395,4.219228009188993,,,,,6.818937716935116,5.764248605640614,4.417176354818085,,,,
N2 +アジアのメモリ現物,50,0.8647285922583655,0.9588184124225624,2.8935517890112603,4.79100435594365,0.380426145688997,-0.13850900740065747,,,10.83934963879516,2.7359526915197114,5.062083641953516,2.6517068479266337,-0.9797334691000565,,
N3 N1+夜の perp,50,0.879378366093978,0.9923537052358214,1.2831871254085252,4.0686980259824574,,,,0.8303903546368389,5.331240792866177,1.100395462712042,4.092543741610796,,,,2.9656002664469714
N4 N2+夜の perp,50,0.88754561964808,0.9562497624809552,1.3168435152809994,4.540061379035057,0.20677829215399246,-0.12872437011511634,,0.6745291981434235,7.312959809600528,1.1284492018791055,4.36479203730474,1.5681165180394632,-0.8723757553560453,,2.4376557886544066
N5 N2+米プレ,50,0.9586860465836332,0.986543847874567,2.880530533391519,0.7513954060643294,0.1555898713353997,-0.00769031406036963,0.9316826920213375,,10.594326870286604,5.145183976598841,1.16449229852114,1.9778523779559263,-0.09964614336143884,8.314138683586346,
N6 N5+夜の perp,50,0.9705741689730608,0.9832704087795912,1.7316714038509553,0.7725304597985613,0.04034904964262109,-0.007165895008499956,0.8846125088285568,0.49177313477113094,23.627417241817465,1.4426507668226702,1.2578322548233598,0.6088790830450819,-0.09204042149875892,11.052668379779586,1.993349877119507
