dec,n,sd_med,fill_pct,rt_mean,n_pair
0,1444050,-5.310706284609168,6.801426543402236,-1.0512731,50978
1,1411773,-2.9060616333165257,6.166430438887838,-1.1061113,44291
2,1432988,-1.8606614864991045,6.359299589389443,-1.2338864,45904
3,1447242,-1.1032387776865882,6.588808229722465,-1.2082757,47735
4,1463648,-0.45855347151624315,6.822610354402152,-1.2617844,49641
5,1466585,0.15342674088536512,7.002253534571812,-1.2972891,50955
6,1455073,0.7802518801192093,7.255718441617706,-1.3335992,51902
7,1437049,1.500608771629608,7.620060276302339,-1.4396746,54198
8,1415340,2.4747692329007975,8.184959091101785,-1.5481894,57394
9,1429628,4.643333085827539,10.370460007778247,-1.7720312,73815
