[dec] 21 日 × 17280 = 362,880 点 / 全ホライズンがそろう点 362,606(99.92%)
[dec] 説明変数 229 本 × 目的変数 18 本 = 4,122 通り
[dec] 特徴量 20/229 完了
[dec] 特徴量 40/229 完了
[dec] 特徴量 60/229 完了
[dec] 特徴量 80/229 完了
[dec] 特徴量 100/229 完了
[dec] 特徴量 120/229 完了
[dec] 特徴量 140/229 完了
[dec] 特徴量 160/229 完了
[dec] 特徴量 180/229 完了
[dec] 特徴量 200/229 完了
[dec] 特徴量 220/229 完了
[dec] 特徴量 229/229 完了

[dec] 十分位の表 41,220 行 / 要約 4,122 行
目的変数                    標準偏差       ちょうど 0 の割合
  fwd_mid_100ms        0.391            83.9%
  fwd_micro_100ms      0.744            74.1%
  fwd_mid_300ms        0.676            64.6%
  fwd_micro_300ms      1.158            52.2%
  fwd_mid_500ms        0.889            54.4%
  fwd_micro_500ms      1.396            42.1%
  fwd_mid_1s           1.637            42.2%
  fwd_micro_1s         2.025            31.4%
  fwd_mid_3s           2.943            26.4%
  fwd_micro_3s         3.229            16.4%
  fwd_mid_5s           3.607            19.9%
  fwd_micro_5s         3.859            11.0%
  fwd_mid_10s          5.234            11.9%
  fwd_micro_10s        5.431             4.8%
  fwd_mid_30s          9.451             4.5%
  fwd_micro_30s        9.580             0.9%
  fwd_mid_60s         13.643             2.6%
  fwd_micro_60s       13.733             0.7%
