dt,ok,n_lgt,n_bnc,gz_bad,usable_pct,lgt_fresh_pct,bnc_fresh_pct,lgt_move_pct,bnc_move_pct,lgt_lat_ms_p50,bnc_lat_ms_p50
2026-08-18,true,824718,6108555,7,19.80115740740741,62.24131944444444,45.37280092592593,88.74867022831157,45.06961573982068,-29.9568,-29.177
2026-08-19,true,1508587,13165719,0,51.237500000000004,99.11701388888889,99.89201388888888,86.00245769067433,44.98477496769763,-34.8521,-34.6261
2026-08-20,true,1716633,12256097,0,49.938541666666666,98.06493055555555,99.14085648148148,79.97283698249468,39.5534789289613,-76.5624,-76.7817
2026-08-21,true,1262710,8564276,0,40.97291666666666,96.83877314814815,99.02256944444444,78.81730818121727,37.19343739936611,-74.3127,-73.3008
2026-08-22,true,265118,1099868,2,8.42650462962963,75.14409722222221,87.82638888888889,76.52633747682165,22.303413227113523,-59.08355,-59.19675
2026-08-23,true,351978,1515660,20,11.388425925925926,83.2125,90.55983796296296,80.76547827147445,23.293629822350503,-57.40145,-57.5766
2026-08-24,true,1394345,8955733,0,44.09375,97.96539351851851,99.27604166666667,80.44937921621124,35.20697167755991,-67.1097,-66.3068
2026-08-25,true,1275326,8782970,0,41.34027777777778,97.59560185185185,99.19594907407408,86.55915784758386,37.18825242174814,-62.2109,-62.5701
2026-08-26,true,1188998,6603205,0,38.40127314814815,98.95925925925926,99.66435185185185,86.5847667328738,36.310042286165526,-59.0591,-61.2352
2026-08-27,true,1360926,7029953,0,42.03831018518518,97.69918981481482,99.42523148148148,86.63917117047667,36.586171674316034,-59.5189,-62.8074
2026-08-28,true,1413613,7479127,14,39.126157407407405,92.82766203703704,95.49988425925926,86.65552433072031,34.6339298920278,-63.4033,-64.7769
2026-08-29,true,124779,823987,0,4.438425925925927,59.71944444444445,85.78645833333334,80.4161885887139,15.729633879211432,-54.8231,-55.9578
2026-08-30,true,270676,1691594,0,8.875810185185184,74.01076388888889,89.13784722222222,82.63851761054677,24.729093588222252,-66.4934,-67.7461
2026-08-31,true,1254679,6648922,0,37.48240740740741,89.94988425925926,90.97569444444444,85.22516736246635,26.052345544823496,-69.5896,-69.6225
2026-09-01,true,1397488,7804237,0,46.384606481481484,98.16828703703703,99.87523148148149,86.03364083011655,27.992105059598813,-71.8473,-70.5258
2026-09-02,true,1169509,6150276,0,38.6712962962963,97.97858796296296,99.753125,85.73566383335329,28.130312462588293,-70.9165,-69.1171
2026-09-03,true,1148036,6099835,2,35.474074074074075,92.975,99.09502314814816,84.55934172060972,30.677724994779705,-66.9897,-66.5921
2026-09-04,true,1065704,6219954,36,31.511574074074073,90.71585648148148,96.94398148148147,82.63718504370821,36.35128186292514,-57.23,-56.5237
2026-09-05,true,148364,874447,1,4.873379629629629,53.455671296296295,84.671875,68.22780601339477,27.084026029544482,-61.0386,-62.0866
2026-09-06,true,232333,1120788,0,7.228703703703704,64.84363425925926,83.38564814814815,75.21615217112847,28.136608172153192,-63.8446,-64.836
2026-09-07,true,524984,2425353,0,16.96446759259259,84.1363425925926,95.37164351851852,78.94837384784374,24.524980726327495,-61.5098,-62.2468
2026-09-08,true,1457157,8161264,44,43.33009259259259,97.42939814814815,99.68599537037038,84.80548758988385,35.887566377827405,-62.2006,-60.9159
2026-09-09,true,277952,952349,11,8.81875,26.68715277777778,26.858333333333334,86.65511720082945,23.608158122686827,-64.388,-62.1027
2026-09-10,true,863889,5605823,3,26.30798611111111,53.79409722222223,55.25428240740741,86.56187170316014,36.09574968873872,242.608,241.3738
2026-09-11,true,1474943,7296832,0,39.947106481481484,95.06689814814816,98.7767361111111,86.30075070333166,30.91790938828254,427.4584,429.329
2026-09-12,true,182625,607751,0,4.53599537037037,60.55891203703704,85.82847222222222,78.51802709805823,15.383633997601489,423.6819,423.5355
2026-09-13,true,572110,2074237,16,14.05,76.00300925925926,86.90219907407408,82.61499934097799,23.351621194147885,422.69455,423.5535
2026-09-14,true,1258353,5396548,23,29.544328703703705,63.5425925925926,63.383912037037035,86.50920815002566,33.28606182643,409.6328,411.8922
