wid,active_days,n_blocks_add,cm_add,cm_can,cm_flow,cm_dist,cm_null_add,cm_null_can,cm_null_flow,cm_null_dist,mean_corr_add,mean_corr_can,mean_corr_flow,mean_corr_dist,herding_score
2802,51,11593713.0,0.22996907266090766,0.22519646255476553,0.0016073853457496752,0.0004606563392829636,0.1648233123247249,0.16481395410809557,4.584686631088328e-6,0.00013009678869446183,0.29864221855438927,0.2916488448402421,0.028190023832779083,0.06930026527176907,0.21363636363636362
364,96,10635695.0,0.3737338146533332,0.3785627801479947,0.039677697164070144,0.0035083160392905344,0.19499141517691873,0.18803161210045943,0.0074191530522112106,0.0009663480884632919,0.4413687417859256,0.45251825416522246,0.04543756701066414,0.04484602358905617,0.7136363636363636
4918,89,7337485.0,0.4684448805155597,0.4697515104934611,0.006017979400518897,0.02201085762065484,0.2278094453703243,0.20908857903523584,0.00010008620336543124,0.012794995387324353,0.4649962323714043,0.4707984328838879,0.01973120862795884,0.1144620366468876,0.759090909090909
22535,33,2826363.0,0.39026586389161905,0.3241411817295351,0.09620679882560039,0.004842818915137403,0.17132577362317247,0.1550283869937832,0.0020877337736019243,0.0004649907496051661,0.3477849848025094,0.3079630507251079,0.08506668002480747,0.04950676349109557,0.7545454545454545
18419,47,6348959.0,0.57578025890033,0.6030490383160565,0.0470877196811517,0.013350255367698658,0.3358738474671328,0.3335543649471679,0.009532559909857657,0.00255580627485933,0.45304919395794996,0.474165665562053,0.04664424000093766,0.07175165313206246,0.8999999999999999
332,98,6817419.0,0.2801951535217635,0.2890017952388606,0.005263184294548538,0.0000427571635603805,0.15275859012277412,0.14881614562694978,1.5848473283200752e-7,9.441583499773984e-6,0.3659736789405198,0.37601991798316203,0.012404528249550281,0.009774177767094983,0.35454545454545455
5070,82,4975098.0,0.25051091272447407,0.36020108449985205,3.4221268660099464e-6,0.00546633092601808,0.2021198642584703,0.21557981639176985,6.65149321408798e-6,0.0032706287428416235,0.2950143700152767,0.3663388369212559,-0.0035377773740141666,0.05218438105713591,0.2727272727272727
22301,33,2519043.0,0.3812731588913013,0.3251851944893806,0.11882269058035488,0.005515810684717322,0.15658363562836047,0.14211364766463327,0.0018540853569189721,0.0007181103609325164,0.33522942306003733,0.30013635435944797,0.08173726770282617,0.04978067983044821,0.8
8454,59,7524256.0,0.5123488654387063,0.5195581681248053,0.011099208069340538,0.0009631675415274896,0.3458088920596608,0.34362113147046675,0.0016673533204582265,0.0003431172176156763,0.37001202551497964,0.3791485817988803,0.01707593978590739,0.027208602406506546,0.6000000000000001
11808,68,8425602.0,0.15357937357875037,0.16350362461888068,0.00021688755887331972,0.006449806312490762,0.09182411391712397,0.09131533775263548,0.00022228087544818751,0.005472090408130381,0.2693750271257909,0.2810346710315546,-0.0034313718191763204,0.05877358267602442,0.20454545454545456
