feat,side,h,s_dec,q_dec,n,n_fill,sum_pnl,sum_ret,sum_retc,sum_ret_fill,sum_retc_fill,sum_mm,uncond,filled,uncond_mic,filled_mic,p_fill,penalty,penalty_mic,penalty_signed,penalty_mic_signed,alpha_signed,pen_daily,pen_se,n_day,pen_t
obi,1,0.1,0,0,249036.0,23217.0,-10096.454100957622,-35294.77153550776,5099.8317635751455,-23558.65018508866,-19378.84164184831,-8981.160634735917,-0.14172557997842786,-1.0147155181586192,0.020478291345729715,-0.8346832769887716,0.09322748518286512,-0.8729899381801913,-0.8551615683345014,-0.8729899381801913,-0.8551615683345014,-0.14172557997842786,-0.844234146029358,0.04826664129899948,97,-17.491048129898736
obi,1,0.5,0,0,249036.0,64337.0,-60694.76441205267,-108615.38165882301,-2750.817497378474,-96330.18352976133,-74992.97483913471,-13448.628143386337,-0.43614329518151196,-1.497275028828844,-0.011045862836611872,-1.165627474690065,0.2583441751393373,-1.0611317336473318,-1.154581611853453,-1.0611317336473318,-1.154581611853453,-0.43614329518151196,,,,
obi,1,1.0,0,0,249033.0,90239.0,-103870.79157482788,-140321.0116316095,-11096.061463384725,-156029.14878555085,-114112.01807352711,-8909.49937002586,-0.5634635234350849,-1.7290655790240455,-0.04455659074654655,-1.2645532205978247,0.36235759919368116,-1.1656020555889606,-1.219996629851278,-1.1656020555889606,-1.219996629851278,-0.5634635234350849,-1.1041819735333045,0.0650376922471279,97,-16.9775700118275
obi,1,3.0,0,0,249027.0,131090.0,-190756.30511850334,-178046.348645951,-31291.765055522752,-270358.7103258013,-199424.0433895076,-6415.304390124025,-0.7149680502353198,-2.062390039864225,-0.12565611381706704,-1.5212757905981205,0.5264087829833712,-1.3474219896289052,-1.3956196767810534,-1.3474219896289052,-1.3956196767810534,-0.7149680502353198,,,,
obi,1,5.0,0,0,249021.0,150740.0,-246911.0767667219,-194580.24945125167,-42102.61358152522,-341859.67537757393,-256615.81540570923,-6837.779928090943,-0.7813808853520453,-2.267876312707801,-0.1690725424021477,-1.702373725658148,0.6053304741367194,-1.4864954273557558,-1.5333011832560002,-1.4864954273557558,-1.5333011832560002,-0.7813808853520453,,,,
obi,1,10.0,0,0,248998.0,175582.0,-329653.6873567249,-214456.4645731765,-58109.88650449196,-444462.16924285004,-341038.37429709063,-7533.091837184625,-0.8612778599554073,-2.5313652267479014,-0.23337491266794094,-1.9423310720751024,0.7051542582671346,-1.6700873667924943,-1.7089561594071614,-1.6700873667924943,-1.7089561594071614,-0.8612778599554073,-1.521653143052097,0.10920159385062998,97,-13.934349210447156
obi,1,30.0,0,0,248943.0,207056.0,-431009.4867859875,-222968.17048860886,-60752.47462989999,-573202.0274057267,-444572.9632320144,-7215.570257705876,-0.8956595304491746,-2.768342996125332,-0.24404170685618792,-2.147114612626605,0.8317405992536444,-1.8726834656761575,-1.9030729057704172,-1.8726834656761575,-1.9030729057704172,-0.8956595304491746,,,,
obi,1,60.0,0,0,248869.0,219652.0,-480415.0088900033,-232964.44514277278,-69209.62545242108,-636030.8396818582,-496495.2278119254,-6840.899763269591,-0.936092663782041,-2.89562963087911,-0.2780966108772932,-2.260371987561804,0.8826008864101194,-1.9595369670970688,-1.9822753766845107,-1.9595369670970688,-1.9822753766845107,-0.936092663782041,,,,
obi,1,0.1,0,1,100017.0,5718.0,-2504.1955598592695,-10095.0480832233,2709.269548816371,-5278.777724974074,-5255.271578719778,-2671.4103276377623,-0.10093332216746453,-0.9231860309503452,0.027088090512776535,-0.919075127443123,0.05717028105222112,-0.8222527087828807,-0.9461632179558995,-0.8222527087828807,-0.9461632179558995,-0.10093332216746453,-0.7899177883648193,0.04504618629312529,96,-17.535730621559242
obi,1,0.5,0,1,100017.0,17192.0,-15285.190356302783,-31340.32553265512,4077.494473379654,-23102.556798937123,-19652.55257045827,-4123.057622723101,-0.3133499858289603,-1.343796928742271,0.04076801417138741,-1.1431219503523888,0.1718907785676435,-1.0304469429133107,-1.1838899645237762,-1.0304469429133107,-1.1838899645237762,-0.3133499858289603,,,,
