coin,k,vr,se,n_days,vr_rw,z_vs_rw,z_vs_1
xyz:MU,2,1.004131556991114,0.006127542654138674,98,1.0013333949837055,0.45665320754944344,0.6742600132409462
xyz:MU,5,0.9882972830329684,0.011653819581583793,98,1.0015136764087953,-1.13408254549542,-1.0041958248199674
xyz:MU,10,0.9734666191521618,0.01691332187334985,98,1.0004196720432945,-1.593599003966356,-1.568785898271502
xyz:MU,20,0.9654983132293339,0.02508056020741106,98,1.001903188298496,-1.451517620344251,-1.3756346144322251
xyz:MU,30,0.9543505075028301,0.032015195487035276,98,0.9978839801005194,-1.3597753171714464,-1.4258695535891974
xyz:MU,60,0.9145201008321105,0.04132018480841642,98,0.9894678040520549,-1.813827880186016,-2.0687201561227826
xyz:SNDK,2,1.0123728457693464,0.007329798965629197,99,0.9994803212509306,1.7589192526113329,1.6880197980005975
xyz:SNDK,5,1.0066272221353019,0.014564560731279553,99,0.9981358485794326,0.5830161109928143,0.45502382513115736
xyz:SNDK,10,0.9852168369732992,0.021297315868710136,99,0.9874323764390285,-0.10402904663607548,-0.6941326840355556
xyz:SNDK,20,0.9631897810053867,0.02837322288732506,99,0.9744601036451844,-0.3972168648078562,-1.2973576932304463
xyz:SNDK,30,0.9463260654488233,0.0340521099330353,99,0.9662453620614785,-0.5849651211577565,-1.5762293337102598
xyz:SNDK,60,0.903730651253664,0.04456961473161405,99,0.9436030926901325,-0.8946104128691571,-2.159977135230885
xyz:INTC,2,1.008264812953881,0.007827751495636108,99,0.9977454622413878,1.3438534320305817,1.0558348663071992
xyz:INTC,5,1.012858972942642,0.017374255867149153,99,0.9905116339585842,1.2862328697663346,0.7401164712300282
xyz:INTC,10,1.0119106272329192,0.02504222842319654,99,0.9856682590993269,1.0479246371414834,0.4756216991410584
xyz:INTC,20,1.006110750323657,0.03303538358902193,99,0.9821169290462052,0.7263067254174495,0.184975915511625
xyz:INTC,30,1.0038899333504863,0.03857118627819788,99,0.9757166272797965,0.7304236345620144,0.10085075741331356
xyz:INTC,60,0.9772151178453432,0.04729480354065171,99,0.9416184876310202,0.752654151184418,-0.4817629094298343
xyz:AMD,2,1.0212106117667976,0.007427308475704704,99,0.9954669176857576,3.4660865595187875,2.8557601769441994
xyz:AMD,5,1.0285302482879024,0.013887631435092378,99,0.9943979225366035,2.4577499705997803,2.054363871999792
xyz:AMD,10,1.0354915319859759,0.020931647038491697,99,0.9896539590315035,2.189869381524566,1.6955919388813343
xyz:AMD,20,1.0399759974067342,0.030109221179751223,99,0.9887042782878553,1.702857699732188,1.3276994834266413
xyz:AMD,30,1.0375710129456701,0.03528945995267763,99,0.9822161596344026,1.568594514778553,1.0646525335341483
xyz:AMD,60,1.0008120991340845,0.04907843097548191,99,0.9557767166132414,0.9176206660588124,0.01654696611002564
xyz:SMSN,2,0.9658483218409253,0.012170800675600588,98,0.9983065882315139,-2.666896554773038,-2.8060338074174767
xyz:SMSN,5,0.9250036438441323,0.022451152922476646,98,0.9973516097588786,-3.222461054207877,-3.340423381143435
xyz:SMSN,10,0.8812606325459919,0.029057845240040476,98,0.9961654781567705,-3.9543484612012674,-4.086310133223173
xyz:SMSN,20,0.8563692819913525,0.035696033498640145,98,0.9825822513939578,-3.535770141167461,-4.023716472983452
xyz:SMSN,30,0.8539181816754307,0.04239489095081443,97,0.9744996976667674,-2.8442464006154085,-3.445741103428007
xyz:SMSN,60,0.8078089343916673,0.05163116311603902,96,0.8545375914583915,-0.9050475380867037,-3.7223849708051464
xyz:DRAM,2,1.0141627813816716,0.006401933135716141,99,0.9900593566176922,3.765022884963814,2.2122663703964633
xyz:DRAM,5,1.0073981355859476,0.013110478846087027,99,0.9807041495031762,2.0360801764871104,0.564291790772818
xyz:DRAM,10,0.9846563258707991,0.019885396465216233,99,0.9726529176921275,0.6036293115738541,-0.7716051402867544
xyz:DRAM,20,0.9581583405951515,0.02674255526996563,99,0.9599166412311452,-0.06574916339308934,-1.564609626210274
xyz:DRAM,30,0.94087574652973,0.032390073848942914,99,0.9448634603466186,-0.12311530487661126,-1.825381866864732
xyz:DRAM,60,0.8945042131691395,0.04178345394888728,99,0.9132569443969999,-0.4488075890231607,-2.524822073347766
xyz:KIOXIA,2,1.0269755372118534,0.013149368843595619,47,0.9999628555918534,2.054294920258209,2.0514701148558787
xyz:KIOXIA,5,1.0744076852740063,0.02531963810859838,47,0.9980262656883814,3.0166868601366907,2.938734153895271
xyz:KIOXIA,10,1.0538159647217238,0.034799244678919115,47,0.9964688053166496,1.6479426474395367,1.546469333408398
xyz:KIOXIA,20,1.050269452489122,0.04452052087469711,47,0.9907511702124551,1.336872999401356,1.1291299270870014
xyz:KIOXIA,30,1.047703868508021,0.04850130336308766,47,0.9750093073062926,1.498816653596433,0.9835584860658931
xyz:KIOXIA,60,0.997848965291364,0.06685088210403561,46,0.9041388576138435,1.4017781774619769,-0.03217660920746664
xyz:SKHX,2,0.9849639738812342,0.007379827622886686,99,1.000060715752095,-2.045676761343597,-2.037449502497225
xyz:SKHX,5,0.936204333555006,0.015782326467146064,99,1.0021966252328014,-4.1814045486367935,-4.042221948569934
xyz:SKHX,10,0.8874701860007045,0.019633374181730556,99,0.9962541672818094,-5.540768503374812,-5.7315575487787465
xyz:SKHX,20,0.8523034680586963,0.024615284670889647,99,0.9797863648010005,-5.179013708221181,-6.000195972381808
xyz:SKHX,30,0.8243991788164992,0.028692927176119577,99,0.9615911273689773,-4.781385590615505,-6.120003724459633
xyz:SKHX,60,0.7807879270930803,0.03480400049454753,99,0.9105462787677528,-3.7282596779356085,-6.298473445351833
