feat,side,h,s_dec,q_dec,n,n_fill,sum_as,sum_as2,sum_hs,sum_hs_post,sum_imp,sum_edge,sum_sprT,sum_wait
obi,1,30.0,0,1,100017.0,76708.0,-110764.91484732294,11585703.504690785,41488.275452027374,83625.17165216795,-41626.305047664064,-60629.96065455309,67895.27475700805,448500.3240000001
obi,1,60.0,0,1,100017.0,83658.0,-125220.68276713823,24897644.6277642,46205.443784555915,91260.13136477188,-44500.05734805173,-74819.79421848095,67895.27475700805,748086.7959999997
obi,1,0.1,0,2,63192.0,3174.0,-3098.1369842843437,7565.112618638277,1506.9430871846666,3807.6052000937793,-2278.990527252015,1492.8145334604458,43543.69473457229,151.518
obi,1,0.5,0,2,63192.0,8994.0,-11757.925397365081,47419.05662522083,3810.291155279615,10506.29000489869,-6640.475128575746,3032.790075462788,43543.69473457229,1740.6760000000002
obi,1,1.0,0,2,63192.0,13290.0,-17749.87041782337,98508.57032425565,5590.532621324276,14960.992893521476,-9289.45715091794,3076.9928753251334,43543.69473457229,4867.6140000000005
obi,1,3.0,0,2,63192.0,21976.0,-28981.348080179436,340976.5210257443,10027.137007942245,24102.90156750041,-13918.681325365445,-1311.7646746343332,43543.69473457229,20875.311000000005
obi,1,5.0,0,2,63192.0,26939.0,-34939.592278684904,674975.5244632332,12925.652808277187,29378.270428610314,-16259.495815753498,-7157.425674760326,43543.69473457229,40233.892
obi,1,10.0,0,2,63192.0,34489.0,-45787.8825624609,1589600.6764141002,17614.497513897746,37535.53379471548,-19656.133762448186,-19049.730888880382,43543.69473457229,94528.228
obi,1,30.0,0,2,63192.0,46111.0,-61167.981180564784,5978665.175590157,25176.608584664078,50149.198932131185,-24611.029082496447,-40280.73320794495,43543.69473457229,306271.811
obi,1,60.0,0,2,63192.0,51234.0,-68372.6886533872,12797781.39918107,28838.679322005413,55930.23614395538,-26701.69626864762,-50695.50142915413,43543.69473457229,527544.1030000002
