c,rounds,n,usd,sz,long_share,dur_s,t0
378,4,94,379003.95236,402.068,0.0,9.288,1779840387795000000
1724,3,60,367699.85902000003,442.679,1.0,6.075,1785238046598000000
304,3,66,366795.50351,533.4100000000001,1.0,6.154000000000001,1779115815052000000
984,6,69,344963.8697,317.15999999999997,0.0,14.853000000000002,1782331298594000000
726,4,33,334306.20599000005,387.291,1.0,9.121,1781022023559000000
856,3,38,331308.53849999997,272.737,0.0,6.049,1782158393342000000
323,2,46,314711.12645,445.749,0.0,2.983,1779207907344000000
498,3,73,297498.4402,293.897,1.0,5.929,1780564273286000000
115,5,171,284313.76392,356.201,0.0,11.975000000000001,1778458811238000000
390,5,67,282111.11199,290.2950000000001,0.0,12.051,1779842901759000000
1699,4,51,270787.15858,307.441,0.0784313725490196,9.019,1785193236744000000
184,1,45,261435.78532999998,332.055,0.0,0.0,1778645246069000000
1894,3,9,256848.981,360.237,1.0,6.096,1785359203516000000
1193,4,63,256204.49732999998,260.418,1.0,9.077,1783004688095000000
228,3,65,252566.85771,337.008,1.0,6.027,1778811196220000000
1101,5,35,248163.31560000003,240.458,1.0,12.108,1782742496650000000
86,3,58,245313.99815,323.79099999999994,0.0,5.797000000000001,1778278448270000000
1953,2,61,243132.19582,261.649,0.0,2.972,1785456209705000000
542,2,54,240853.99972999998,250.808,1.0,3.004,1780618407341000000
339,2,52,226351.79807999998,301.134,0.0,3.044,1779327094365000000
568,2,51,224205.03216,240.871,1.0,2.9850000000000003,1780667175358000000
118,3,92,224098.74722999998,276.409,0.0,5.966,1778458874137000000
828,1,24,224018.89520000003,211.514,1.0,0.0,1781620332785000000
2001,1,33,224016.09136,285.849,1.0,0.0,1785758136905000000
548,3,66,221583.97294,232.45299999999997,1.0,5.9990000000000006,1780618476350000000
1418,3,43,220752.06361,236.517,1.0,5.9430000000000005,1783908499501000000
278,5,89,216930.42358,309.644,1.0,12.004000000000001,1779062973000000000
1100,2,21,211684.5755,204.171,1.0,2.914,1782742481757000000
31,4,39,206337.18522999997,321.96299999999997,0.0,9.386000000000001,1777990839367000000
249,2,53,199488.81731,271.18899999999996,1.0,3.044,1778824183221000000
236,2,73,196869.31302999996,264.757,1.0,3.0610000000000004,1778821687200000000
1849,2,45,196345.50029999999,263.058,1.0,3.0050000000000003,1785354193610000000
117,3,59,196237.78136000002,242.815,0.0,6.03,1778458853126000000
120,3,76,194955.40888,239.20499999999998,0.0,6.025,1778458895150000000
1156,2,25,194842.33359999998,193.244,1.0,3.019,1782950595108000000
1868,2,47,193903.88418,263.25,1.0,2.938,1785355243644000000
216,5,78,188119.73864,248.196,1.0,12.027000000000001,1778810353233000000
1289,3,33,180961.34758,193.64000000000001,1.0,5.942,1783387939666000000
1351,2,27,179119.48731,203.332,1.0,2.9480000000000004,1783499812617000000
1305,4,30,171418.12342,189.49800000000002,1.0,8.985000000000001,1783434184650000000
391,1,46,171327.96536,175.784,0.0,0.0,1779842922777000000
1533,4,58,164855.54304,201.15099999999998,1.0,9.042,1784248087625000000
1882,3,30,164183.89677,227.84500000000003,1.0,5.99,1785356776572000000
1097,5,23,161922.3176,154.959,1.0,11.984,1782742376712000000
1637,3,23,160106.87442,173.108,1.0,6.0120000000000005,1784902630126000000
167,2,18,159078.40418,222.623,1.0,2.874,1778603531230000000
1515,5,33,158212.90164,190.90300000000002,1.0,11.941,1784245024672000000
449,3,29,157632.79898,162.644,0.0,6.589,1780062614124000000
1806,2,25,152603.47229,200.79,1.0,3.0810000000000004,1785298600531000000
1536,6,80,150254.12615,183.723,1.0,15.001000000000001,1784248198625000000
254,1,34,147874.98690000002,202.267,1.0,0.0,1778824897234000000
693,2,30,147060.15230000002,160.59300000000002,1.0,2.946,1781018792666000000
1283,1,47,144581.0355,153.752,1.0,0.0,1783387774621000000
373,6,49,144368.56711,155.33100000000002,0.0,14.987,1779840306717000000
1098,4,30,144157.04260000002,138.7,1.0,9.003,1782742400740000000
6,1,23,142418.70562000002,240.0,0.0,0.0,1777903395262000000
1503,2,14,140714.88449,168.38100000000003,1.0,3.095,1784243446656000000
1601,2,18,139202.47284,149.0,0.0,3.0050000000000003,1784640790124000000
1065,5,47,134616.981,123.04599999999999,1.0,12.096,1782740216621000000
973,5,42,131102.3364,130.677,1.0,11.982000000000001,1782328019503000000
1347,1,12,130343.28984000001,146.948,1.0,0.0,1783499758665000000
1154,2,20,125591.76990000001,124.29499999999999,1.0,3.08,1782950565143000000
1668,3,18,124831.47590000002,141.709,1.0,5.851,1785161484792000000
1869,3,36,122611.09713,166.70100000000002,1.0,5.938000000000001,1785355276618000000
47,2,30,119935.67236000001,177.122,0.0,2.98,1778021540188000000
929,8,68,118934.85059999999,112.087,1.0,21.051000000000002,1782221461562000000
737,1,6,118527.71398,126.27000000000001,0.0,0.0,1781094833623000000
290,4,31,118400.50215,169.61800000000002,1.0,9.023,1779114906021000000
1616,2,17,116266.05265,118.143,0.0,3.0250000000000004,1784668144073000000
1878,2,36,115444.20756,158.929,1.0,3.0460000000000003,1785355798546000000
1009,3,8,115141.22450000001,96.731,0.0,5.882000000000001,1782332780570000000
1664,4,24,114199.97233,128.297,1.0,8.974,1785161019772000000
941,3,44,111152.9689,107.251,1.0,6.545000000000001,1782308546456000000
220,3,41,107333.82118,142.364,1.0,5.8950000000000005,1778810893338000000
1196,2,19,106821.95146000001,109.072,1.0,3.012,1783004808080000000
187,2,6,106066.40616,134.5,0.0,3.02,1778645342088000000
1425,4,51,104645.03463,112.467,1.0,8.893,1783911556625000000
222,3,80,104200.23237,138.414,1.0,5.997000000000001,1778810917237000000
1480,1,14,102813.37109,119.101,1.0,0.0,1784200588742000000
1864,3,34,102238.92036999999,138.142,1.0,6.163,1785355189505000000
1803,2,14,100964.76083000001,132.331,1.0,2.882,1785298555634000000
225,1,24,99092.97364000001,131.8,1.0,0.0,1778811019400000000
392,1,40,99026.13459,101.682,0.0,0.0,1779842928734000000
1747,1,45,98294.16283,121.943,1.0,0.0,1785247115642000000
58,2,38,97997.11492,154.109,1.0,2.9410000000000003,1778077046184000000
1845,1,16,97510.5352,129.508,1.0,0.0,1785353896601000000
1277,3,54,96385.44410000001,101.87400000000001,1.0,5.945,1783387504710000000
719,5,21,95917.74945,108.607,1.0,12.014000000000001,1781021318610000000
116,7,107,95897.20861,119.758,0.0,17.808,1778458829314000000
1887,1,20,93303.03597000001,130.034,1.0,0.0,1785358714594000000
567,1,36,93257.58475,100.084,1.0,0.0,1780667170376000000
1355,1,14,93255.62617,105.952,1.0,0.0,1783502056587000000
1947,1,10,93090.81582,102.506,0.0,0.0,1785450001655000000
998,4,38,92581.48589999999,80.96000000000001,0.0,9.064,1782331733452000000
1328,1,19,90839.944,100.631,1.0,0.0,1783492633584000000
742,1,12,90764.85557999999,102.669,1.0,0.0,1781119142559000000
1300,1,5,88189.69293,96.164,1.0,0.0,1783400848584000000
911,1,21,87285.1298,80.26,1.0,0.0,1782202687659000000
293,1,45,86942.66034,124.744,1.0,0.0,1779114966035000000
1526,1,12,86414.45043,104.999,1.0,0.0,1784247712689000000
649,2,27,85696.02283,100.523,1.0,2.609,1780690734770000000
1847,3,16,85412.05842999999,114.037,1.0,6.103000000000001,1785354004547000000
1540,2,21,84779.59977999999,103.95100000000001,1.0,3.0450000000000004,1784266699641000000
1755,2,10,84686.25839,106.99300000000001,1.0,3.0330000000000004,1785248252668000000
386,6,54,83887.00645,87.8,0.0,15.000000000000002,1779842733748000000
645,3,26,83469.21859,97.557,1.0,5.784000000000001,1780690311607000000
1733,2,31,82163.26864,100.26400000000001,1.0,3.3470000000000004,1785245933651000000
1654,2,11,81613.93559,90.147,1.0,3.016,1785160824739000000
462,1,11,81191.571,77.588,0.0,0.0,1780333239073000000
879,3,14,80760.0352,71.124,1.0,5.9110000000000005,1782192601692000000
1982,2,7,80214.48149,97.11500000000001,1.0,3.003,1785511526526000000
1728,2,8,80186.7424,96.994,1.0,3.023,1785245798668000000
191,1,44,79466.63553,99.542,0.0,0.0,1778646641124000000
1981,1,3,79404.416,95.438,1.0,0.0,1785507020528000000
1881,3,24,79024.39695,109.265,1.0,6.08,1785356761587000000
267,2,26,78983.47971,109.474,1.0,2.947,1778853823294000000
1362,1,15,78804.5434,90.0,1.0,0.0,1783502167563000000
159,3,17,77049.47559,106.422,1.0,5.9,1778601260202000000
1068,2,26,77036.4915,70.807,1.0,3.205,1782740324664000000
84,2,43,77023.91309,101.891,0.0,2.9690000000000003,1778278406143000000
1487,1,7,76706.02192,90.0,1.0,0.0,1784218042682000000
1643,1,11,75758.45928000001,82.196,1.0,0.0,1784904013040000000
374,3,36,75531.06261,81.007,0.0,5.901000000000001,1779840327852000000
389,2,15,75168.84879,77.965,0.0,2.99,1779842892757000000
1970,2,8,74607.94292,87.767,1.0,3.0090000000000003,1785506564605000000
1324,1,6,72560.06447,78.122,1.0,0.0,1783476418622000000
1999,1,19,70361.27906,89.795,1.0,0.0,1785758034964000000
125,2,28,70263.79794,93.836,1.0,2.894,1778596223214000000
1690,1,31,70148.82468,81.783,1.0,0.0,1785163014692000000
996,2,11,69337.049,61.078,0.0,2.7680000000000002,1782331604715000000
1246,4,22,69089.27228,71.209,1.0,9.009,1783378606618000000
217,1,42,68917.355,91.152,1.0,0.0,1778810383242000000
1136,4,8,68026.1926,66.025,1.0,8.928,1782936264178000000
1176,4,21,66532.47497000001,67.127,1.0,8.97,1782976320219000000
1891,3,10,66528.64743,93.035,1.0,6.074000000000001,1785358975508000000
1793,1,14,65558.98351,85.062,1.0,0.0,1785297991560000000
1165,1,14,65541.082,65.176,1.0,0.0,1782972078091000000
183,1,9,65321.28539,83.01299999999999,0.0,0.0,1778645219127000000
730,1,23,64483.913510000006,68.803,0.0,0.0,1781035208655000000
1303,1,6,64404.57783,70.819,1.0,0.0,1783433668597000000
94,1,36,64089.38353,83.786,0.0,0.0,1778300879102000000
1951,4,28,63832.88407999999,69.72,0.0,8.958,1785456185616000000
1815,1,9,63277.982659999994,78.11599999999999,0.0,0.0,1785308122472000000
1719,2,9,61934.73001000001,74.17500000000001,1.0,2.9250000000000003,1785237254626000000
2069,1,6,61919.72382,72.444,1.0,0.0,1786111864180000000
51,2,24,59883.46942,93.60600000000001,1.0,3.0610000000000004,1778076275209000000
1195,3,26,59586.95561,60.760000000000005,1.0,5.988,1783004787123000000
1519,1,23,59483.44083,71.957,1.0,0.0,1784247070747000000
1199,2,26,59199.17916000001,61.282000000000004,1.0,2.978,1783013793114000000
1727,2,11,58323.26667999999,70.465,1.0,3.0170000000000003,1785245786674000000
906,1,7,57628.765699999996,52.822,1.0,0.0,1782202606598000000
867,1,9,56800.7742,49.17,1.0,0.0,1782185512554000000
706,3,15,56592.761959999996,62.849000000000004,1.0,6.168,1781020532624000000
913,2,16,56107.0256,51.751,1.0,3.008,1782220066530000000
2000,1,24,56013.90174,71.462,1.0,0.0,1785758109860000000
1865,2,14,55927.78193,75.64999999999999,1.0,3.0060000000000002,1785355201638000000
538,1,8,55879.923389999996,58.0,1.0,0.0,1780618326320000000
1852,3,11,55717.191569999995,74.883,1.0,5.948,1785354412612000000
1492,2,10,55481.53972,65.63300000000001,1.0,2.9080000000000004,1784222239718000000
1099,2,8,55362.4135,53.387,1.0,3.008,1782742466650000000
1335,1,15,54177.27594,60.620000000000005,1.0,0.0,1783499056728000000
794,1,8,53831.54899999999,51.946,0.0,0.0,1781472995483000000
1475,2,14,53570.933619999996,61.919,1.0,2.9400000000000004,1784200147739000000
377,4,32,53484.030450000006,56.876000000000005,0.0,9.403,1779840372778000000
1263,2,13,53053.85957,55.617999999999995,1.0,3.064,1783384819549000000
1753,6,22,52841.18781,66.438,1.0,14.915000000000001,1785248189674000000
1906,4,16,52806.64491,74.739,1.0,9.017000000000001,1785359803513000000
435,1,14,52325.12054,55.553000000000004,0.0,0.0,1779975015910000000
696,2,8,51717.97257,56.699,1.0,3.0300000000000002,1781018882659000000
198,2,15,51679.46116,63.413000000000004,0.0,3.027,1778660165089000000
57,1,15,51433.87356,80.784,1.0,0.0,1778076386098000000
612,1,12,51212.67364,57.671,1.0,0.0,1780678038413000000
1700,3,16,50951.525330000004,57.894999999999996,1.0,6.152,1785193257597000000
1774,7,29,50570.34659,65.198,1.0,17.982000000000003,1785279530645000000
182,1,1,49707.432,63.2,0.0,0.0,1778645204095000000
703,1,14,49657.37254,54.995,1.0,0.0,1781019290632000000
1276,3,10,49644.47574,52.42099999999999,1.0,5.897,1783387303672000000
1279,2,16,49628.72745,52.608,1.0,2.9210000000000003,1783387552696000000
671,1,4,49296.33874,52.693,0.0,0.0,1780923771313000000
1076,3,13,49159.533200000005,45.67,1.0,5.933000000000001,1782741338728000000
1506,1,16,48211.19347,57.787,1.0,0.0,1784244226667000000
1004,1,1,48119.374800000005,41.244,0.0,0.0,1782332636615000000
411,4,15,47833.77686,48.709,0.0,9.007,1779882852734000000
1875,2,29,47575.29642,65.23,1.0,2.9200000000000004,1785355708644000000
379,4,21,47555.852589999995,50.201,0.0,9.110000000000001,1779842175700000000
1548,2,27,47547.44878,58.623,1.0,2.9290000000000003,1784267728772000000
1106,1,5,47345.17509999999,46.087,1.0,0.0,1782742676647000000
1822,1,22,47110.036869999996,59.991,1.0,0.0,1785336016572000000
1020,1,8,47045.829999999994,38.0,0.0,0.0,1782363629492000000
22,3,15,46899.58856,75.01599999999999,0.0,6.096,1777988367268000000
1844,2,8,46475.142490000006,61.66499999999999,1.0,2.959,1785353884673000000
1038,2,5,45908.4939,40.866,1.0,2.946,1782479888530000000
1341,1,11,45750.70931,51.5,1.0,0.0,1783499422611000000
1114,1,1,45104.0,40.0,0.0,0.0,1782753236687000000
1292,1,19,43659.58236,47.393,1.0,0.0,1783400491666000000
1174,4,14,43617.25208,43.905,1.0,9.152000000000001,1782976269232000000
1551,1,21,43422.66125,53.607,1.0,0.0,1784267791638000000
1843,1,6,43405.52346,57.459,1.0,0.0,1785353662572000000
1284,1,24,42969.58154,45.711,1.0,0.0,1783387780541000000
1189,1,7,42799.3551,40.00000000000001,0.0,0.0,1782995433093000000
1677,2,8,42639.3714,48.961,1.0,3.036,1785162363734000000
987,1,4,42530.6561,38.808,0.0,0.0,1782331484566000000
1313,3,22,42518.89867,47.43599999999999,1.0,5.890000000000001,1783434931703000000
1967,1,6,42027.538700000005,48.986,1.0,0.0,1785506471560000000
778,1,12,41966.06573,42.965,0.0,0.0,1781205617607000000
1867,3,14,41853.381129999994,56.702000000000005,1.0,5.997000000000001,1785355225608000000
1350,3,20,41730.98335,47.293,1.0,6.1370000000000005,1783499797554000000
72,1,5,41593.93734,58.229,0.0,0.0,1778252276132000000
1393,2,9,41429.036100000005,40.977,0.0,3.0170000000000003,1783600362595000000
629,1,14,41343.204880000005,47.515,1.0,0.0,1780685049405000000
1898,1,2,40829.64,57.345,1.0,0.0,1785359494516000000
1862,1,6,40772.27672,54.741,1.0,0.0,1785355087582000000
942,1,14,40764.256700000005,39.353,1.0,0.0,1782308561589000000
1013,1,9,40467.0467,33.713,0.0,0.0,1782333803464000000
453,1,19,39953.61146,40.900999999999996,0.0,0.0,1780062977252000000
2046,1,11,39804.60311,47.166,1.0,0.0,1786014056007000000
208,2,8,39755.87467,51.903,1.0,3.0060000000000002,1778809741229000000
1863,2,12,39369.85944,53.106,1.0,3.0090000000000003,1785355156573000000
368,3,7,39199.9374,42.541999999999994,0.0,5.851,1779840144840000000
483,1,10,38801.824199999995,37.611,1.0,0.0,1780563619251000000
1315,5,28,38766.82726,43.328,1.0,11.99,1783435267684000000
1253,4,14,38562.87589,40.168,1.0,8.961,1783382257643000000
1056,1,3,38495.6409,33.975,1.0,0.0,1782503765635000000
156,4,5,38071.63605,52.443999999999996,1.0,9.0,1778601188241000000
1799,1,10,38011.908039999995,49.622,1.0,0.0,1785298264536000000
990,1,4,37990.2394,34.274,0.0,0.0,1782331523624000000
1088,2,9,37455.6246,35.445,1.0,2.986,1782741740670000000
1905,3,8,37285.455989999995,52.70799999999999,1.0,6.041,1785359779547000000
1449,1,13,37269.044649999996,40.760999999999996,1.0,0.0,1783929925551000000
35,3,15,36955.94579,56.778000000000006,0.0,6.014,1777991307328000000
1959,2,7,36929.9214,42.269,1.0,2.802,1785505700761000000
829,1,7,36919.92,36.196,1.0,0.0,1781704929563000000
1658,1,10,36845.4539,41.103,1.0,0.0,1785160938726000000
253,1,4,36772.23931999999,50.260000000000005,1.0,0.0,1778824891211000000
877,2,5,36643.1712,32.186,1.0,3.008,1782192559547000000
1712,3,8,36544.54911000001,43.51,1.0,5.985,1785236525719000000
1288,2,19,36039.82403,38.483000000000004,1.0,2.926,1783387927650000000
87,1,30,35410.24097,46.708,0.0,0.0,1778278460834000000
1574,1,4,35405.2605,40.317,0.0,0.0,1784298994710000000
1740,2,4,35381.57589,43.455,1.0,3.0340000000000003,1785246320645000000
509,3,21,35117.11236,35.141999999999996,1.0,6.172000000000001,1780564498266000000
230,5,31,35108.69496,46.938,1.0,12.078000000000001,1778811277246000000
2040,1,7,34977.50252,41.029,1.0,0.0,1786013375050000000
887,2,4,34654.0084,30.82,1.0,2.873,1782193312658000000
149,1,9,34279.412220000006,46.864,1.0,0.0,1778600888121000000
108,1,10,34225.37735,43.896,0.0,0.0,1778458694097000000
606,1,16,34134.38713,38.221000000000004,1.0,0.0,1780677831419000000
370,2,9,34079.288010000004,36.864000000000004,0.0,2.963,1779840162729000000
3,1,12,33897.57137,60.0,0.0,0.0,1777863153391000000
1811,1,9,33564.162150000004,44.311,1.0,0.0,1785298693571000000
1071,1,12,33468.861,30.873,1.0,0.0,1782740972665000000
1763,6,16,33319.23034,42.4,1.0,15.117,1785279200573000000
894,1,14,33261.1673,29.755000000000003,1.0,0.0,1782194050555000000
1860,1,5,33253.31766,44.817,1.0,0.0,1785354742553000000
1764,1,12,33250.3014,42.354,1.0,0.0,1785279221698000000
1830,1,4,33109.67102,42.743,1.0,0.0,1785340456536000000
1842,2,9,32776.63605,43.322,1.0,2.946,1785353644637000000
201,1,8,32749.40726,40.0,0.0,0.0,1778660276121000000
1880,1,5,32603.320119999997,45.0,1.0,0.0,1785356752569000000
1688,1,2,32543.511440000002,37.873000000000005,1.0,0.0,1785162915779000000
1157,4,18,32463.351000000006,32.29,1.0,9.027000000000001,1782950607108000000
1572,4,11,32439.76974,37.356,0.0,8.895000000000001,1784297425742000000
1481,3,17,32435.19291,37.589,1.0,6.045000000000001,1784200606706000000
1521,2,5,32287.46858,39.11,1.0,2.9490000000000003,1784247193711000000
426,2,5,31908.435359999996,36.266,1.0,3.133,1779939447715000000
275,1,35,31584.45022,44.319,1.0,0.0,1779062538035000000
974,7,27,31532.57704,31.574,1.0,17.981,1782328049486000000
