metric,unit,side,day_type,hor,hor_ms,bin_i,n_up,n_dn,n,p_up,base,diff,lo,hi
kappa_depth,1/s,売り,立会日,100ms,100,0,407,316,34035,0.5629322268326418,0.5104961832061069,0.05243604362653487,-0.00046208240806056727,0.09882094426003415
kappa_depth,1/s,売り,立会日,100ms,100,1,742,798,64311,0.4818181818181818,0.5104961832061069,-0.02867800138792509,-0.05464214258731088,-0.0030578571978353624
kappa_depth,1/s,売り,立会日,100ms,100,2,376,364,25236,0.5081081081081081,0.5104961832061069,-0.0023880750979987653,-0.03781566481040783,0.036647386733686414
kappa_depth,1/s,売り,立会日,100ms,100,3,346,332,13939,0.5103244837758112,0.5104961832061069,-0.0001716994302957131,-0.04982435701374361,0.03620229643684601
kappa_depth,1/s,売り,立会日,100ms,100,4,145,139,4422,0.5105633802816901,0.5104961832061069,0.00006719707558322519,-0.05216284987277359,0.04924532913957205
kappa_depth,1/s,売り,立会日,100ms,100,5,108,96,3079,0.5294117647058824,0.5104961832061069,0.018915581499775458,-0.06686018690040381,0.07651050952964275
kappa_depth,1/s,売り,立会日,500ms,500,0,4990,4800,34035,0.5097037793667007,0.4403071149443096,0.06939666442239117,0.045835134837491416,0.09230540647891282
kappa_depth,1/s,売り,立会日,500ms,500,1,10617,16322,64311,0.3941126248190356,0.4403071149443096,-0.04619449012527399,-0.06361011269324268,-0.02704845530229548
kappa_depth,1/s,売り,立会日,500ms,500,2,4750,5795,25236,0.45045045045045046,0.4403071149443096,0.010143335506140883,-0.020075655099272078,0.04487764394986968
kappa_depth,1/s,売り,立会日,500ms,500,3,3353,3549,13939,0.48580121703853957,0.4403071149443096,0.04549410209422999,0.0022987681726566863,0.08274168356317019
kappa_depth,1/s,売り,立会日,500ms,500,4,992,1173,4422,0.4581986143187067,0.4403071149443096,0.017891499374397102,-0.008334900557849774,0.0386804196046641
kappa_depth,1/s,売り,立会日,500ms,500,5,792,806,3079,0.4956195244055069,0.4403071149443096,0.05531240946119731,0.03101363301686857,0.08345838531312344
kappa_depth,1/s,売り,立会日,1s,1000,0,7655,8430,34035,0.4759092322039167,0.4009753581393168,0.07493387406459989,0.04326574976324904,0.10281518348420547
kappa_depth,1/s,売り,立会日,1s,1000,1,13489,24881,64310,0.35155069064373207,0.4009753581393168,-0.04942466749558472,-0.067986509068735,-0.027886888469202824
kappa_depth,1/s,売り,立会日,1s,1000,2,6381,9297,25236,0.4070034443168771,0.4009753581393168,0.006028086177560343,-0.024355996966920857,0.03809918700107418
kappa_depth,1/s,売り,立会日,1s,1000,3,4234,5508,13939,0.43461301580784234,0.4009753581393168,0.033637657668525556,-0.011309736188513345,0.07489172210920846
kappa_depth,1/s,売り,立会日,1s,1000,4,1357,1734,4422,0.43901649951472016,0.4009753581393168,0.038041141375403376,0.0009451670613555071,0.07200294832009434
kappa_depth,1/s,売り,立会日,1s,1000,5,982,1171,3079,0.45610775661867164,0.4009753581393168,0.05513239847935486,0.021860593095538065,0.08040978552578447
kappa_depth,1/s,売り,立会日,3s,3000,0,13561,14404,34034,0.4849275880564992,0.4121940006895759,0.07273358736692331,0.036570102908420665,0.10776894176079932
kappa_depth,1/s,売り,立会日,3s,3000,1,19662,33970,64308,0.36660948687350836,0.4121940006895759,-0.04558451381606754,-0.07582828890204145,-0.011091515863666027
kappa_depth,1/s,売り,立会日,3s,3000,2,8787,12333,25236,0.4160511363636364,0.4121940006895759,0.0038571356740604856,-0.03034709666969476,0.03723679959409654
kappa_depth,1/s,売り,立会日,3s,3000,3,5166,7074,13937,0.42205882352941176,0.4121940006895759,0.009864822839835863,-0.042200794015021165,0.052377751747090445
kappa_depth,1/s,売り,立会日,3s,3000,4,1673,2219,4422,0.42985611510791366,0.4121940006895759,0.01766211441833776,-0.020569641250302338,0.04887456041488242
kappa_depth,1/s,売り,立会日,3s,3000,5,1221,1521,3079,0.44529540481400437,0.4121940006895759,0.03310140412442847,-0.006823803988763118,0.07401252214239767
kappa_depth,1/s,売り,立会日,3s,3000,6,141,82,232,0.6322869955156951,0.4121940006895759,0.22009299482611921,0.1380000672052219,0.29837071362539436
kappa_depth,1/s,売り,立会日,5s,5000,0,14232,16664,34032,0.46064215432418437,0.40564325478532753,0.05499889953885684,0.01619033412869393,0.09101222544406132
