dt,n_trade,n_row,vol,notional,px_open,px_close,px_min,px_max,px_med,sz_med,sz_p99,n_taker,buy_vol,sell_vol,n_liq,n_maker
2026-06-25,13663,13703,12143.973,7732593.21191,654.44,632.58,607.38,669.99,639.83,0.078,10.537,455,6558.599,5585.374,5,294
2026-06-26,16393,16400,8752.068,5117801.07224,628.76,566.24,550.5,630.0,574.36,0.087,6.887,421,3706.709,5045.359,4,258
2026-06-27,2178,2186,420.652,237887.00724,563.82,568.35,560.0,574.69,567.43,0.037,4.027,88,156.571,264.081,0,57
2026-06-28,2944,2944,1006.39,573763.76668,568.35,572.39,560.0,587.71,570.47,0.0685,5.371,110,546.819,459.571,0,79
2026-06-29,26220,26239,10066.006,5357027.29485,572.38,551.55,505.88,577.43,532.19,0.028,5.561,412,3613.214,6452.792,217,262
2026-06-30,15601,15601,5731.1,3214654.98528,555.79,583.6,529.28,599.0,556.51,0.035,4.322,252,2982.952,2748.148,44,151
2026-07-01,7072,7089,3839.786,2062645.3233400001,584.48,503.19,496.47,584.6,541.19,0.09,6.185,254,1931.576,1908.21,175,179
2026-07-02,21675,21721,9478.926,4417868.88322,503.44,420.0,417.0,509.45,465.38,0.08,5.181,437,3506.309,5972.617,322,241
2026-07-03,20623,20623,19665.604,9375362.23861,417.6,515.86,413.67,524.09,503.0,0.151,10.764,423,10270.456,9395.148,96,245
2026-07-04,3268,3268,894.908,472636.17180999997,517.93,522.58,517.23,538.81,529.575,0.03,3.527,132,387.501,507.407,0,80
2026-07-05,3267,3267,1503.863,817906.42153,522.27,533.45,522.22,558.37,542.02,0.064,6.417,162,857.311,646.552,0,108
2026-07-06,16658,16658,6171.635,3106570.1577500002,532.22,484.68,471.91,538.7,502.76,0.051,4.791,321,2791.202,3380.433,25,193
2026-07-07,23607,23608,11496.175,5168273.06219,484.68,429.0,415.3,492.0,447.37,0.1,5.081,400,5483.409,6012.766,168,257
2026-07-08,19555,19555,11186.901,5098255.74039,426.93,474.72,420.1,480.0,455.64,0.098,5.608,295,4784.42,6402.481,99,195
2026-07-09,10063,10063,6537.182,3193027.28665,473.15,517.0,463.96,520.92,487.04,0.099,10.0,296,3517.905,3019.277,13,176
2026-07-10,7399,7399,4551.182,2244154.19308,515.33,491.32,470.39,517.82,497.55,0.101,8.0,210,2057.833,2493.349,0,134
2026-07-11,1310,1310,396.495,196990.50485,492.75,499.27,491.02,503.83,497.64,0.1365,3.118,75,194.873,201.62199999999999,0,51
2026-07-12,1362,1362,934.432,454860.31814,499.59,475.97,475.8,500.47,488.88,0.123,10.276,76,155.811,778.621,0,61
2026-07-13,12802,12802,8965.73,3810335.05664,475.0,402.66,401.0,480.48,421.0,0.073,11.764,426,4238.389,4727.341,165,226
2026-07-14,8314,8314,6327.844,2663861.3676299998,403.16,451.2,394.25,451.97,425.82,0.143,11.661,333,3185.2,3142.6440000000002,1,187
2026-07-15,12327,12327,12501.603,5249363.77973,451.2,422.28,397.46,472.83,418.26,0.126,16.427,358,7410.307,5091.296,9,214
2026-07-16,13798,13798,13684.615,5190462.42587,422.59,350.59,341.38,430.0,371.18,0.139,13.235,524,6615.689,7068.926,197,289
2026-07-17,21542,21542,28484.38,9403965.61149,350.59,343.86,308.8,358.88,332.255,0.151,22.936,572,14115.561,14368.819,197,333
2026-07-18,5958,5958,1016.234,346078.26815,343.9,334.21,331.48,348.0,338.9,0.04,1.427,163,506.636,509.598,0,83
2026-07-19,2320,2320,803.231,275845.34747,334.32,344.97,334.0,348.0,345.86,0.098,2.363,97,487.747,315.484,0,64
2026-07-20,10712,10712,8803.416,3054526.60731,344.44,331.16,326.92,357.19,352.18,0.142,14.344,306,4917.073,3886.343,0,207
