coin,from,to,p
MU,1,1,0.8611024080112326
MU,1,2,0.0544758819664606
MU,1,3,0.05338994340791551
MU,1,4,0.004982875802772197
MU,1,5,0.00499878282847937
MU,1,6,0.02105010798313969
MU,2,1,0.19163617522903723
MU,2,2,0.7704888403346494
MU,2,3,4.016435253055503e-6
MU,2,4,0.024665932997827107
MU,2,5,0.0
MU,2,6,0.01320503500323323
MU,3,1,0.1950941883935728
MU,3,2,3.1473065350672896e-6
MU,3,3,0.7657774476602923
MU,3,4,0.0
MU,3,5,0.0254302368033437
MU,3,6,0.013694979836256132
MU,4,1,0.02566389019341195
MU,4,2,0.031534243970462394
MU,4,3,0.0
MU,4,4,0.8060118184987453
MU,4,5,0.0
MU,4,6,0.1367900473373804
MU,5,1,0.025282114756827574
MU,5,2,0.0
MU,5,3,0.030341722582933415
MU,5,4,0.0
MU,5,5,0.8044573769661173
MU,5,6,0.13991878569412172
MU,6,1,0.04773022419654009
MU,6,2,0.009248821161729906
MU,6,3,0.008901191129474805
MU,6,4,0.05745393281304705
MU,6,5,0.057878538066730066
MU,6,6,0.8187872926324781
SNDK,1,1,0.8769733011300386
SNDK,1,2,0.04630579909494731
SNDK,1,3,0.045999778253400535
SNDK,1,4,0.004811795865663698
SNDK,1,5,0.004962172716372141
SNDK,1,6,0.02094715293957774
SNDK,2,1,0.21451026046119187
SNDK,2,2,0.7452916440367835
SNDK,2,3,0.0
SNDK,2,4,0.026268809608349406
SNDK,2,5,0.0
SNDK,2,6,0.01392928589367522
SNDK,3,1,0.21550497955734194
SNDK,3,2,0.0
SNDK,3,3,0.7433191934613678
SNDK,3,4,0.0
SNDK,3,5,0.02685779179049011
SNDK,3,6,0.014318035190800238
SNDK,4,1,0.027902902902902902
SNDK,4,2,0.025580458507287775
SNDK,4,3,0.0
SNDK,4,4,0.8000119021460484
SNDK,4,5,0.0
SNDK,4,6,0.14650473644376083
SNDK,5,1,0.027584151606617507
SNDK,5,2,0.0
SNDK,5,3,0.025070110419134223
SNDK,5,4,0.0
SNDK,5,5,0.7985358957704505
SNDK,5,6,0.1488098422037978
SNDK,6,1,0.0467349350223398
SNDK,6,2,0.007215094192085388
SNDK,6,3,0.007074995275734216
SNDK,6,4,0.049717195675830654
SNDK,6,5,0.049754120971613136
SNDK,6,6,0.8395036588623968
INTC,1,1,0.8931631527078138
INTC,1,2,0.03857198468947879
INTC,1,3,0.037968988863378565
INTC,1,4,0.004480131842102202
INTC,1,5,0.0045234155263444795
INTC,1,6,0.0212923263708822
INTC,2,1,0.2138862638109211
INTC,2,2,0.745219516737989
INTC,2,3,0.0
INTC,2,4,0.02542720917486378
INTC,2,5,0.0
INTC,2,6,0.015467010276226056
INTC,3,1,0.21380613716616104
INTC,3,2,0.0
INTC,3,3,0.7451944596409211
INTC,3,4,0.0
INTC,3,5,0.02577616004376585
INTC,3,6,0.015223243149152037
INTC,4,1,0.028362356687008615
INTC,4,2,0.02212885251853817
INTC,4,3,0.0
INTC,4,4,0.7925138599896661
INTC,4,5,0.0
INTC,4,6,0.1569949308047871
INTC,5,1,0.02778709328965437
INTC,5,2,0.0
INTC,5,3,0.021771822125890024
INTC,5,4,0.0
INTC,5,5,0.7921183709346616
INTC,5,6,0.15832271364979403
INTC,6,1,0.03527390630248416
INTC,6,2,0.00480806620015918
INTC,6,3,0.004657077284813908
INTC,6,4,0.035429859236964074
INTC,6,5,0.03494297169350822
INTC,6,6,0.8848881192820705
AMD,1,1,0.8936434736888227
AMD,1,2,0.03961409543004864
AMD,1,3,0.03822514568636901
AMD,1,4,0.004640603776891732
AMD,1,5,0.004662785348113745
AMD,1,6,0.019213896069754197
AMD,2,1,0.19600384399775767
AMD,2,2,0.7644888615194285
AMD,2,3,0.0
AMD,2,4,0.02672434504298263
AMD,2,5,0.0
AMD,2,6,0.012782949439831218
AMD,3,1,0.1997927588718696
AMD,3,2,0.0
AMD,3,3,0.7593877739459503
AMD,3,4,0.0
AMD,3,5,0.028043505980533404
AMD,3,6,0.01277596120164679
AMD,4,1,0.025788462964687023
AMD,4,2,0.022795088783446656
AMD,4,3,0.0
AMD,4,4,0.8097826687264195
AMD,4,5,0.0
AMD,4,6,0.14163377952544684
AMD,5,1,0.02555901309261168
AMD,5,2,0.0
AMD,5,3,0.021991220210856238
AMD,5,4,0.0
AMD,5,5,0.8086879449705681
AMD,5,6,0.14376182172596397
AMD,6,1,0.034798538073389576
AMD,6,2,0.005124610647603449
AMD,6,3,0.0048666814480511815
AMD,6,4,0.037659451205338465
AMD,6,5,0.03709665595016289
AMD,6,6,0.8804540626754545
SMSN,1,1,0.9011178262139337
SMSN,1,2,0.03675863178786633
SMSN,1,3,0.035920932644339945
SMSN,1,4,0.004024889588213207
SMSN,1,5,0.003932209248961444
SMSN,1,6,0.01824551051668544
SMSN,2,1,0.18191981661524045
SMSN,2,2,0.7786616530427962
SMSN,2,3,0.0
SMSN,2,4,0.025282127547896074
SMSN,2,5,0.0
SMSN,2,6,0.014136402794067278
SMSN,3,1,0.1812381176007211
SMSN,3,2,0.0
SMSN,3,3,0.7794490353953478
SMSN,3,4,0.0
SMSN,3,5,0.025233482044795225
SMSN,3,6,0.014079364959135908
SMSN,4,1,0.023165662821277744
SMSN,4,2,0.025602223903630844
SMSN,4,3,0.0
SMSN,4,4,0.8143480449180536
SMSN,4,5,0.0
SMSN,4,6,0.13688406835703787
SMSN,5,1,0.022413638128963218
SMSN,5,2,0.0
SMSN,5,3,0.025393417350557373
SMSN,5,4,0.0
SMSN,5,5,0.8152248571588475
SMSN,5,6,0.1369680873616319
SMSN,6,1,0.02334048287273009
SMSN,6,2,0.003954764411386817
SMSN,6,3,0.003771753169107253
SMSN,6,4,0.030254864674601145
SMSN,6,5,0.029603284771106828
SMSN,6,6,0.9090748501010678
DRAM,1,1,0.8747505340508911
DRAM,1,2,0.04889805077479764
DRAM,1,3,0.04657656424838089
DRAM,1,4,0.004625110806477395
DRAM,1,5,0.004613000808947835
DRAM,1,6,0.020536739310505182
DRAM,2,1,0.1678183143025114
DRAM,2,2,0.795590134885608
DRAM,2,3,0.00003105101474716194
DRAM,2,4,0.0232209838617526
DRAM,2,5,0.0
DRAM,2,6,0.013339515935380769
DRAM,3,1,0.17470192573900178
DRAM,3,2,0.000036309007810975304
DRAM,3,3,0.7878022157572017
DRAM,3,4,0.0
DRAM,3,5,0.024544889280219306
DRAM,3,6,0.01291466021576628
DRAM,4,1,0.023213670075935045
DRAM,4,2,0.03209338507642124
DRAM,4,3,0.0
DRAM,4,4,0.8173345237779526
DRAM,4,5,2.946645097224555e-6
DRAM,4,6,0.12735547442459388
DRAM,5,1,0.023543662792815768
DRAM,5,2,0.0
DRAM,5,3,0.03086481596172295
DRAM,5,4,6.07186661323424e-6
DRAM,5,5,0.814972008694913
DRAM,5,6,0.13061344068393504
DRAM,6,1,0.033060619276057565
DRAM,6,2,0.007058999439287272
DRAM,6,3,0.006383153697588935
DRAM,6,4,0.0429964488193882
DRAM,6,5,0.042375428322222915
DRAM,6,6,0.8681253504454551
KIOXIA,1,1,0.9141888804048857
KIOXIA,1,2,0.0335926789044471
KIOXIA,1,3,0.02936783452598234
KIOXIA,1,4,0.003224552011513013
KIOXIA,1,5,0.003000877100855244
KIOXIA,1,6,0.016625177052316652
KIOXIA,2,1,0.1686042755664662
KIOXIA,2,2,0.8002600955556242
KIOXIA,2,3,0.0
KIOXIA,2,4,0.017493251840470982
KIOXIA,2,5,0.0
KIOXIA,2,6,0.013642377037438593
KIOXIA,3,1,0.1640393626991565
KIOXIA,3,2,0.0
KIOXIA,3,3,0.803030303030303
KIOXIA,3,4,0.0
KIOXIA,3,5,0.01802561699468916
KIOXIA,3,6,0.014904717275851296
KIOXIA,4,1,0.02534525394711813
KIOXIA,4,2,0.025052311204108807
KIOXIA,4,3,0.0
KIOXIA,4,4,0.7988891002472893
KIOXIA,4,5,0.0
KIOXIA,4,6,0.15071333460148373
KIOXIA,5,1,0.02345606764519712
KIOXIA,5,2,0.0
KIOXIA,5,3,0.02351180168237172
KIOXIA,5,4,0.0
KIOXIA,5,5,0.798971308913863
KIOXIA,5,6,0.1540608217585681
KIOXIA,6,1,0.02355603596308253
KIOXIA,6,2,0.004838820462950578
KIOXIA,6,3,0.004892143288373455
KIOXIA,6,4,0.03701327105709338
KIOXIA,6,5,0.03564585690684231
KIOXIA,6,6,0.8940538723216578
SKHX,1,1,0.8902710443515306
SKHX,1,2,0.04177914902641869
SKHX,1,3,0.041021508959093796
SKHX,1,4,0.0037503183332582143
SKHX,1,5,0.0036413730097085767
SKHX,1,6,0.019536606319990112
SKHX,2,1,0.1986173440050759
SKHX,2,2,0.7617601765992743
SKHX,2,3,0.0
SKHX,2,4,0.023454921581197993
SKHX,2,5,0.0
SKHX,2,6,0.016167557814451797
SKHX,3,1,0.19543265701812046
SKHX,3,2,0.0
SKHX,3,3,0.7663201107779719
SKHX,3,4,0.0
SKHX,3,5,0.022797037985364504
SKHX,3,6,0.015450194218543142
SKHX,4,1,0.02469821489009034
SKHX,4,2,0.028216365387786272
SKHX,4,3,0.0
SKHX,4,4,0.7923805226024246
SKHX,4,5,0.0
SKHX,4,6,0.1547048971196987
SKHX,5,1,0.02492211280214861
SKHX,5,2,0.0
SKHX,5,3,0.028467323187108325
SKHX,5,4,0.0
SKHX,5,5,0.7920608773500447
SKHX,5,6,0.1545496866606983
SKHX,6,1,0.030882651170271537
SKHX,6,2,0.005629768323298439
SKHX,6,3,0.005434402556625478
SKHX,6,4,0.03859850630415172
SKHX,6,5,0.03746826945266117
SKHX,6,6,0.8819864021929916
GOLD,1,1,0.9400778882923825
GOLD,1,2,0.016352829177679187
GOLD,1,3,0.01518787509933859
GOLD,1,4,0.0038372659284879383
GOLD,1,5,0.003777674986115799
GOLD,1,6,0.020766466515996018
GOLD,2,1,0.15280208109145013
GOLD,2,2,0.8021044850140829
GOLD,2,3,0.0
GOLD,2,4,0.029386995049921864
GOLD,2,5,0.0
GOLD,2,6,0.01570643884454509
GOLD,3,1,0.15771426806225577
GOLD,3,2,0.0
GOLD,3,3,0.7979210321730311
GOLD,3,4,0.0
GOLD,3,5,0.02952154908330802
GOLD,3,6,0.014843150681405131
GOLD,4,1,0.017680079379948237
GOLD,4,2,0.011245492666837824
GOLD,4,3,0.0
GOLD,4,4,0.8432269151684627
GOLD,4,5,0.0
GOLD,4,6,0.1278475127847513
GOLD,5,1,0.017678131797212993
GOLD,5,2,0.0
GOLD,5,3,0.011081100461314148
GOLD,5,4,0.0
GOLD,5,5,0.8404689628797476
GOLD,5,6,0.13077180486172527
GOLD,6,1,0.008453392346634647
GOLD,6,2,0.0007541238047871612
GOLD,6,3,0.0006710100588601636
GOLD,6,4,0.01022604079474279
GOLD,6,5,0.01015569911527705
GOLD,6,6,0.9697397338796981
GOOGL,1,1,0.9197473541939567
GOOGL,1,2,0.027324499216568047
GOOGL,1,3,0.026052412213677767
GOOGL,1,4,0.0038555645960324497
GOOGL,1,5,0.003863777285928905
GOOGL,1,6,0.019156392493836084
GOOGL,2,1,0.19482272846518234
GOOGL,2,2,0.7631452660406052
GOOGL,2,3,0.0
GOOGL,2,4,0.027613963319306312
GOOGL,2,5,0.0
GOOGL,2,6,0.014418042174906208
GOOGL,3,1,0.1977913931702521
GOOGL,3,2,0.0
GOOGL,3,3,0.7600575366659686
GOOGL,3,4,0.0
GOOGL,3,5,0.028258514425134055
GOOGL,3,6,0.013892555738645156
GOOGL,4,1,0.023586941645874784
GOOGL,4,2,0.017847680608631875
GOOGL,4,3,0.0
GOOGL,4,4,0.8169577530029793
GOOGL,4,5,0.0
GOOGL,4,6,0.14160762474251404
GOOGL,5,1,0.02308121746443745
GOOGL,5,2,0.0
GOOGL,5,3,0.01732994504299407
GOOGL,5,4,0.0
GOOGL,5,5,0.8154807650479242
GOOGL,5,6,0.14410807244464424
GOOGL,6,1,0.02222729127377055
GOOGL,6,2,0.0024802655040689846
GOOGL,6,3,0.0022624390776753616
GOOGL,6,4,0.025133571293175734
GOOGL,6,5,0.02448491118272039
GOOGL,6,6,0.923411521668589
AAPL,1,1,0.9335615572082503
AAPL,1,2,0.020658400924238634
AAPL,1,3,0.020107124566337772
AAPL,1,4,0.003118227793970103
AAPL,1,5,0.003169839057929957
AAPL,1,6,0.019384850449273218
AAPL,2,1,0.2027796990690871
AAPL,2,2,0.7547254317236062
AAPL,2,3,0.0
AAPL,2,4,0.026416495640243558
AAPL,2,5,0.0
AAPL,2,6,0.016078373567063146
AAPL,3,1,0.19948861666474055
AAPL,3,2,0.0
AAPL,3,3,0.7573067144343002
AAPL,3,4,0.0
AAPL,3,5,0.02711487345429331
AAPL,3,6,0.016089795446665896
AAPL,4,1,0.02312076414257703
AAPL,4,2,0.015208406219235368
AAPL,4,3,0.0
AAPL,4,4,0.804798672188367
AAPL,4,5,0.0
AAPL,4,6,0.1568721574498206
AAPL,5,1,0.022301948589772892
AAPL,5,2,0.0
AAPL,5,3,0.014818340605859818
AAPL,5,4,0.0
AAPL,5,5,0.8051850562685963
AAPL,5,6,0.15769465453577097
AAPL,6,1,0.02135201431091213
AAPL,6,2,0.0018463387549184826
AAPL,6,3,0.0017954155408715373
AAPL,6,4,0.022529204165459348
AAPL,6,5,0.0215443908973117
AAPL,6,6,0.9309326363305268
