dt,n_trade,n_row,vol,notional,px_open,px_close,px_min,px_max,px_med,sz_med,sz_p99,n_taker,buy_vol,sell_vol,n_liq,n_maker
2026-05-04,40625,40625,47156.348,58163655.8354,1197.5,1245.2,1163.1,1274.8,1231.5,0.223,16.773,955,22652.11,24504.238,176,377
2026-05-05,35514,35514,65578.784,90530267.9454,1245.0,1465.1,1242.6,1482.9,1377.4,0.35,22.061,1268,36138.387,29440.397,488,412
2026-05-06,60761,61366,69111.987,98095995.3269,1465.3,1385.1,1342.5,1512.1,1450.3,0.1,16.598,1440,30556.932,38555.055,115,495
2026-05-07,40284,40675,65649.163,88478359.167,1385.0,1333.6,1295.1,1408.7,1360.9,0.202,19.76,1131,31947.05,33702.113,66,393
2026-05-08,54028,54028,96111.202,141430362.9445,1333.6,1561.7,1322.2,1574.7,1474.55,0.2695,21.439,1487,49832.589,46278.613,174,491
2026-05-09,14257,14257,5832.6759999999995,9136814.7531,1561.2,1565.9,1556.2,1572.0,1565.5,0.095,3.481,559,2584.583,3248.093,0,169
2026-05-10,19111,19111,9308.936,14610774.8537,1566.4,1568.0,1539.3,1602.2,1568.0,0.127,4.457,661,5490.923,3818.013,78,262
2026-05-11,76396,76396,80978.201,127460976.0591,1568.0,1537.2,1512.7,1654.6,1571.6,0.142,12.639,1615,47510.832,33467.369,346,579
2026-05-12,69985,70285,104456.311,150410973.2373,1537.3,1414.4,1368.3,1543.4,1457.2,0.2,16.858,1621,52922.331,51533.98,200,612
2026-05-13,66961,66961,65754.249,95923811.7751,1414.3,1442.4,1405.6,1539.0,1450.3,0.188,8.905,1192,34267.892,31486.357,161,428
2026-05-14,61854,61969,66243.762,93435420.8491,1442.8,1370.7,1359.9,1467.8,1407.8,0.25,10.747,1141,33131.101,33112.661,186,444
2026-05-15,82697,83478,122222.604,167672213.3432,1371.3,1381.5,1302.6,1423.1,1373.3,0.331,18.541,1323,57144.419,65078.185,525,490
2026-05-16,14932,14932,4397.947,6092573.2138,1381.5,1392.1,1374.7,1399.1,1383.1,0.135,2.865,432,2698.754,1699.193,0,175
2026-05-17,20212,20212,4538.65,6361296.2385,1392.2,1401.1,1382.0,1419.1,1399.2,0.132,2.311,490,2631.49,1907.16,0,203
2026-05-18,69711,70468,82518.498,110336229.1211,1401.1,1323.6,1277.5,1439.2,1332.9,0.266,15.004,1214,39844.414,42674.084,224,483
2026-05-19,64991,65132,110925.728,149163816.9723,1323.4,1392.8,1279.1,1396.8,1327.7,0.38,20.427,924,59018.518000000004,51907.21,79,338
2026-05-20,38558,38807,51084.89,71967150.3689,1392.6,1391.6,1363.0,1448.4,1401.4,0.353,16.154,809,23949.742,27135.148,0,314
2026-05-21,45288,45288,67228.03,99209546.7085,1406.9,1535.9,1371.9,1549.3,1473.9,0.287,19.343,1041,32978.397,34249.633,117,389
2026-05-22,38975,38975,38727.514,58396885.672,1536.2,1468.5,1468.1,1546.3,1512.2,0.32,14.016,817,18468.225,20259.289,0,293
2026-05-23,16416,16416,4648.888,6924115.0665,1468.5,1512.6,1463.5,1520.0,1483.7,0.123,2.963,424,2407.156,2241.732,4,155
2026-05-24,9943,9943,3347.244,5050160.1974,1512.6,1515.8,1494.3,1521.2,1512.4,0.119,3.329,333,1236.526,2110.718,0,144
2026-05-25,11467,11467,5109.327,7854752.4496,1515.8,1541.1,1513.6,1548.7,1539.7,0.113,9.361,421,2349.854,2759.473,0,156
2026-05-26,52094,52386,70269.963,111474181.9331,1541.0,1618.0,1492.3,1640.9,1589.4,0.24,18.483,1107,37741.569,32528.394,0,390
2026-05-27,54823,54844,60804.252,96905699.9819,1618.6,1555.5,1529.5,1678.2,1597.2,0.289,12.743,1101,30563.409,30240.843,49,392
2026-05-28,54001,54018,67891.022,110997161.8628,1555.7,1648.9,1510.7,1695.6,1642.7,0.25,14.9,1154,31500.858,36390.164,211,418
2026-05-29,34381,34458,38166.438,63828354.8098,1648.7,1682.0,1640.7,1708.7,1672.4,0.269,12.566,851,20977.539,17188.899,43,294
