group,label,cfg,lots_day,ev,se,per_day
ladder,基準: 在庫 MM(門なし),q1,6247.615384615385,-1.6921909767104137,0.1086536496142011,-11540.5683233034
ladder,+ 価格改善 1 ティック,q1_imp1,7540.74358974359,-1.3642887224126443,0.11524633478943419,-11022.857256358117
ladder,+ 門のみ(改善なし),q1_gated,130.05128205128204,0.03595500207395178,0.0834764228296804,11.961995641699554
ladder,★ 候補 1 = 改善 + 門,q1_imp1_gated,1063.7435897435898,0.028519496222104895,0.04602821998821877,157.72135302982252
ladder,候補 1 + 候補 2 の変数,q1_imp1_gated_impact,1073.3076923076924,0.004335851415346004,0.05619195588480424,129.35549589942394
decomp,基準,q1,6247.615384615385,-1.6921909767104137,0.1086536496142011,-11540.5683233034
decomp,値段だけ改善,q1_imp1_price,6275.666666666667,-1.7919576469810035,0.08486151298038547,-12099.79975702281
decomp,行列の先頭,q1_queue,14012.923076923076,-0.5442683766731925,0.15392383428804784,-8219.875236593238
decomp,両方,q1_imp1,7540.74358974359,-1.3642887224126443,0.11524633478943419,-11022.857256358117
