unit,k,G,df,effect,null_mean,null_p95,significant
約定単位,1,8479564.371566325,1,0.32764855315645486,370.5325215829336,431.84074127613894,true
約定単位,2,350938.8364839244,2,0.12142048995511345,372.9078931233973,430.75280324320045,true
約定単位,3,151980.84048154583,4,0.08654629678713963,380.9779527230327,435.608340950991,true
約定単位,4,86408.36272358659,8,0.07039907683517682,387.82016178283413,441.1112756121384,true
約定単位,5,59367.05316621586,16,0.062115262653433145,379.0934294282509,404.944704738008,true
約定単位,6,42734.3273254964,32,0.055749352346371475,404.79234373195635,472.3006740853147,true
約定単位,7,32907.739743224956,64,0.05093373171345243,436.09318531629117,502.60373072054557,true
約定単位,8,27031.36614030501,128,0.06276126273295957,477.77453960888386,552.0413786261137,true
約定単位,9,22158.310898015956,256,0.0888107021342407,626.6339780315059,701.4701222914263,true
約定単位,10,18567.85236445523,512,0.10605100167716541,890.5241649250454,998.2998118324618,true
約定単位,11,16965.810920074073,1024,0.1264026708708152,1402.4179884414366,1498.0402510094939,true
約定単位,12,15679.529703427332,2048,0.11639087656529512,2418.232805673482,2523.4190915204504,true
約定単位,13,17013.609031672415,4096,0.1439285714285714,4446.438231111393,4545.8240658592385,true
約定単位,14,18580.893961511683,8192,0.12684671532846714,8541.42973564186,8717.640233552154,true
成行注文単位,1,1130749.8273273301,1,0.17234027994908996,1789.050942348896,1930.9025785618062,true
成行注文単位,2,437732.14066523773,2,0.14194313817433968,1750.1667014512918,1852.518874817374,true
成行注文単位,3,215334.61880632222,4,0.11228160109447916,1723.8954722979634,1841.819376296087,true
成行注文単位,4,124650.66167154789,8,0.091521543893337,1735.6428025164412,1863.3039932341412,true
成行注文単位,5,77671.97994754494,16,0.07736530669829889,1689.642929393132,1758.959874770218,true
成行注文単位,6,56329.089201563125,32,0.06833403897738011,1657.8349798783013,1814.87265689041,true
成行注文単位,7,41563.37312241278,64,0.06108408239798857,1669.1106271804579,1828.3139260216337,true
成行注文単位,8,31952.756398483376,128,0.05564740082904829,1703.0315882213356,1823.3376345698478,true
成行注文単位,9,26051.32983200194,256,0.06118953688629891,1844.088829130293,1930.7730391173889,true
成行注文単位,10,21912.844172494042,512,0.06346491939454674,2009.5940575099714,2080.089838538544,true
成行注文単位,11,18827.70509912033,1024,0.07369077752182202,2492.6872306547352,2673.3898329534895,true
成行注文単位,12,17724.915508043207,2048,0.11986060978380358,3530.475041393119,3720.7108873002644,true
成行注文単位,13,17389.857131833513,4096,0.10071964762082014,5518.916795725702,5723.995120002052,true
成行注文単位,14,19663.955109596907,8192,0.17037842029806272,9635.053856055161,9944.040801403915,true
