market,n,corr_same,corr_perp_lags,corr_asia_lags,corr_perp_leads
サムスン電子,462,0.673490072349383,-0.007639031820893305,-0.0017302145843058436,-0.03424130499790445
SK ハイニックス,462,0.7410161445371294,0.016717864226299665,0.00044496581736547236,-0.040629452269309786
キオクシア,438,0.4666771284866177,-0.05788879720680469,0.013995118154412983,-0.029123593573325536
東京エレクトロン,462,0.4156795696046897,-0.008153146427597407,-0.049598998739555075,-0.045680250448667116
TSMC,340,0.293421966239265,-0.039304590191231774,0.01233339349947211,0.0641390621380254
NQ 先物,536,0.7390141108351796,0.027245004803620018,0.02886208859032075,-0.012261982425015002
日経先物,540,0.6112769157036798,-0.02640460765844469,-0.026575014192809804,-0.03663183271068337
