group,lag_ms,corr,n_days
全体,-500,0.0003065124899449181,99
全体,-480,0.0003603790406064992,99
全体,-460,-0.000029008420561248394,99
全体,-440,0.0003061521703806783,99
全体,-420,0.00017084013100807774,99
全体,-400,0.00028299807652806553,99
全体,-380,0.00019599431762692068,99
全体,-360,0.0004355903911630586,99
全体,-340,0.00004582893776823797,99
全体,-320,0.0005481374888287683,99
全体,-300,0.0005297012401929836,99
全体,-280,0.00034597196728838224,99
全体,-260,0.0007149432696759363,99
全体,-240,0.0006160003216559204,99
全体,-220,0.0006758686308627691,99
全体,-200,0.001371327995346225,99
全体,-180,0.0012619480572645299,99
全体,-160,0.0008701750146003243,99
全体,-140,0.001332253768969387,99
全体,-120,0.00027540758292469015,99
全体,-100,0.000200112552179054,99
全体,-80,0.00003645535336279301,99
全体,-60,0.00014893750920756603,99
全体,-40,0.00025439940728372675,99
全体,-20,0.0003129424495284709,99
全体,0,0.0002655164574420094,99
全体,20,0.0005930407064216126,99
全体,40,0.0002422220252569589,99
全体,60,0.0007662810864930081,99
全体,80,0.0005221882085996327,99
全体,100,0.000748177490175653,99
全体,120,0.0010438052643450084,99
全体,140,0.0020308067836589203,99
全体,160,0.004927058179426262,99
全体,180,0.006291542397146772,99
全体,200,0.007291786013847309,99
全体,220,0.007410886297446566,99
全体,240,0.00732555479768041,99
全体,260,0.006756762101452587,99
全体,280,0.006004176450674576,99
全体,300,0.004470052354348181,99
全体,320,0.0038168254552208083,99
全体,340,0.0032491454878735442,99
全体,360,0.0027678665558932814,99
全体,380,0.00258417928894015,99
全体,400,0.0022860152810622184,99
全体,420,0.002289509076679837,99
全体,440,0.0025606221330986044,99
全体,460,0.003243260381920846,99
全体,480,0.0038052554744957006,99
全体,500,0.004540118087724965,99
00-08 夜,-500,0.000737879132926852,99
00-08 夜,-480,0.0008011571773156714,99
00-08 夜,-460,0.0001705431098252897,99
00-08 夜,-440,0.00045249631346586686,99
00-08 夜,-420,0.0006832554843416167,99
00-08 夜,-400,0.000480262223900173,99
00-08 夜,-380,0.00048406365023940433,99
00-08 夜,-360,0.001149145013844772,99
00-08 夜,-340,0.00012761583125658064,99
00-08 夜,-320,0.0008808210562358771,99
00-08 夜,-300,0.0010014438636205018,99
00-08 夜,-280,0.0005182354942946214,99
00-08 夜,-260,0.0008815917490801386,99
00-08 夜,-240,0.0011295266236901586,99
00-08 夜,-220,0.001188821159848516,99
00-08 夜,-200,0.0012696312010440317,99
00-08 夜,-180,0.0008927301960443764,99
00-08 夜,-160,0.0008982796324340883,99
00-08 夜,-140,0.0014345164751914234,99
00-08 夜,-120,0.0005022105587978092,99
00-08 夜,-100,0.00045617470947828553,99
00-08 夜,-80,0.0000270388515300169,99
00-08 夜,-60,0.0005725899599687797,99
00-08 夜,-40,0.0005871745049228941,99
00-08 夜,-20,0.0008029133683075195,99
00-08 夜,0,0.0006007729327378579,99
00-08 夜,20,0.001027192464044323,99
00-08 夜,40,0.0007185530649108661,99
00-08 夜,60,0.001070688995594105,99
00-08 夜,80,0.0010398794962453676,99
00-08 夜,100,0.0017580934811988367,99
00-08 夜,120,0.0019782368936649155,99
00-08 夜,140,0.004296199584522976,99
00-08 夜,160,0.008677262723174133,99
00-08 夜,180,0.011675990097501017,99
00-08 夜,200,0.013603186949386187,99
00-08 夜,220,0.012971506887721142,99
00-08 夜,240,0.012801107568281303,99
00-08 夜,260,0.011292764936951957,99
00-08 夜,280,0.009377952598189035,99
00-08 夜,300,0.006466828725365926,99
00-08 夜,320,0.005197236672861928,99
00-08 夜,340,0.004421072675069395,99
00-08 夜,360,0.003945196417739073,99
00-08 夜,380,0.003556270811964774,99
00-08 夜,400,0.0034505653031122706,99
00-08 夜,420,0.003295815231871908,99
00-08 夜,440,0.003907895108686696,99
00-08 夜,460,0.004614575322677957,99
00-08 夜,480,0.006195491850875832,99
00-08 夜,500,0.0074993834979825745,99
08-13.5 プレ,-500,0.0006280228639191872,99
08-13.5 プレ,-480,0.0009338010665839088,99
