dt,side,delta,var,auc,n
2026-05-04,1,0.5,obi,0.2936625720948948,1200
2026-05-04,1,0.5,ofi,0.5452645606808614,1200
2026-05-04,1,0.5,aggr,0.41953279479402383,1200
2026-05-04,1,0.5,depth,0.33649332162219464,1200
2026-05-04,1,0.5,qdepl,0.48278159735893633,1200
2026-05-04,1,0.5,drift,0.6007121872282244,1200
2026-05-04,1,1.0,obi,0.3207871269778772,1200
2026-05-04,1,1.0,ofi,0.5420757272227726,1200
2026-05-04,1,1.0,aggr,0.448626032476776,1200
2026-05-04,1,1.0,depth,0.32125874549474515,1200
2026-05-04,1,1.0,qdepl,0.48247872308204864,1200
2026-05-04,1,1.0,drift,0.5792686884245778,1200
2026-05-04,1,2.0,obi,0.2898593365322626,1200
2026-05-04,1,2.0,ofi,0.4707574885664961,1200
2026-05-04,1,2.0,aggr,0.39922291114101394,1200
2026-05-04,1,2.0,depth,0.3214707574885665,1200
2026-05-04,1,2.0,qdepl,0.4822450772113067,1200
2026-05-04,1,2.0,drift,0.566037409299971,1200
2026-05-04,-1,0.5,obi,0.33416734941046555,2094
2026-05-04,-1,0.5,ofi,0.4957147437039148,2094
2026-05-04,-1,0.5,aggr,0.46271506429665515,2094
2026-05-04,-1,0.5,depth,0.28282834039824745,2094
2026-05-04,-1,0.5,qdepl,0.5064268158016599,2094
2026-05-04,-1,0.5,drift,0.5534442346738859,2094
2026-05-04,-1,1.0,obi,0.3086225198589392,2094
2026-05-04,-1,1.0,ofi,0.4634616891675275,2094
2026-05-04,-1,1.0,aggr,0.47772022940191644,2094
2026-05-04,-1,1.0,depth,0.2834609767392156,2094
2026-05-04,-1,1.0,qdepl,0.5006632707583799,2094
2026-05-04,-1,1.0,drift,0.5306736009689025,2094
2026-05-04,-1,2.0,obi,0.33946069176789084,2094
2026-05-04,-1,2.0,ofi,0.49305311153065223,2094
2026-05-04,-1,2.0,aggr,0.49348199337441667,2094
2026-05-04,-1,2.0,depth,0.2972592882841164,2094
2026-05-04,-1,2.0,qdepl,0.49669931963096214,2094
2026-05-04,-1,2.0,drift,0.5421508210736294,2094
2026-05-05,1,0.5,obi,0.48095815244005025,7266
2026-05-05,1,0.5,ofi,0.5293360813133909,7266
2026-05-05,1,0.5,aggr,0.4702408422334865,7266
2026-05-05,1,0.5,depth,0.46639826004081086,7266
2026-05-05,1,0.5,qdepl,0.5334428953702912,7266
2026-05-05,1,0.5,drift,0.5978610730186957,7266
2026-05-05,1,1.0,obi,0.4748696581457667,7266
2026-05-05,1,1.0,ofi,0.5029201791842155,7266
2026-05-05,1,1.0,aggr,0.45069332373373133,7266
2026-05-05,1,1.0,depth,0.4631549872031416,7266
2026-05-05,1,1.0,qdepl,0.5297349551146547,7266
2026-05-05,1,1.0,drift,0.5746887961929934,7266
2026-05-05,1,2.0,obi,0.48431762150436164,7266
2026-05-05,1,2.0,ofi,0.5091744498948712,7266
2026-05-05,1,2.0,aggr,0.4534523085570238,7266
2026-05-05,1,2.0,depth,0.4711270587527598,7266
2026-05-05,1,2.0,qdepl,0.49952934066336885,7266
2026-05-05,1,2.0,drift,0.5720023018366758,7266
2026-05-05,-1,0.5,obi,0.43597842148566784,4253
2026-05-05,-1,0.5,ofi,0.37454880691595666,4253
2026-05-05,-1,0.5,aggr,0.32398720321425634,4253
2026-05-05,-1,0.5,depth,0.3859556589025188,4253
2026-05-05,-1,0.5,qdepl,0.3993562230277206,4253
2026-05-05,-1,0.5,drift,0.4841618706353006,4253
2026-05-05,-1,1.0,obi,0.4483759121440281,4253
2026-05-05,-1,1.0,ofi,0.34128434853072537,4253
2026-05-05,-1,1.0,aggr,0.3020494614697513,4253
2026-05-05,-1,1.0,depth,0.39567794157166136,4253
2026-05-05,-1,1.0,qdepl,0.3984509008663598,4253
2026-05-05,-1,1.0,drift,0.4444427173895773,4253
2026-05-05,-1,2.0,obi,0.47424650323201045,4253
2026-05-05,-1,2.0,ofi,0.3918749667541938,4253
2026-05-05,-1,2.0,aggr,0.31544449901937827,4253
2026-05-05,-1,2.0,depth,0.42920836640643406,4253
2026-05-05,-1,2.0,qdepl,0.3609865904551895,4253
2026-05-05,-1,2.0,drift,0.4375199906600873,4253
2026-05-07,1,0.5,obi,0.43888052954258977,4766
2026-05-07,1,0.5,ofi,0.5644230621165425,4766
2026-05-07,1,0.5,aggr,0.5477150936796743,4766
2026-05-07,1,0.5,depth,0.46364316810425427,4766
2026-05-07,1,0.5,qdepl,0.5198583970733489,4766
2026-05-07,1,0.5,drift,0.5837790734764542,4766
2026-05-07,1,1.0,obi,0.43449847221947246,4766
2026-05-07,1,1.0,ofi,0.5637199421005278,4766
2026-05-07,1,1.0,aggr,0.5411051605764429,4766
2026-05-07,1,1.0,depth,0.4728884951196816,4766
2026-05-07,1,1.0,qdepl,0.5051244992641576,4766
2026-05-07,1,1.0,drift,0.5573387911065355,4766
2026-05-07,1,2.0,obi,0.4499231160123278,4766
2026-05-07,1,2.0,ofi,0.5561343852910703,4766
2026-05-07,1,2.0,aggr,0.5200467573435757,4766
2026-05-07,1,2.0,depth,0.4867509860728891,4766
2026-05-07,1,2.0,qdepl,0.5284555997720978,4766
2026-05-07,1,2.0,drift,0.5174996315288144,4766
2026-05-07,-1,0.5,obi,0.4139929189614477,3080
2026-05-07,-1,0.5,ofi,0.5252537372147915,3080
2026-05-07,-1,0.5,aggr,0.46892079727248887,3080
2026-05-07,-1,0.5,depth,0.4122797010228167,3080
2026-05-07,-1,0.5,qdepl,0.4948144505638605,3080
2026-05-07,-1,0.5,drift,0.45254261736165746,3080
2026-05-07,-1,1.0,obi,0.42103527406241803,3080
2026-05-07,-1,1.0,ofi,0.5110942827170207,3080
2026-05-07,-1,1.0,aggr,0.46339562024652503,3080
2026-05-07,-1,1.0,depth,0.42338644112247575,3080
2026-05-07,-1,1.0,qdepl,0.494737739312877,3080
2026-05-07,-1,1.0,drift,0.47311106740099657,3080
2026-05-07,-1,2.0,obi,0.4180933648046158,3080
2026-05-07,-1,2.0,ofi,0.4479104379753475,3080
2026-05-07,-1,2.0,aggr,0.429543666404406,3080
2026-05-07,-1,2.0,depth,0.4231818777865198,3080
2026-05-07,-1,2.0,qdepl,0.46049370574350906,3080
2026-05-07,-1,2.0,drift,0.4598019931812221,3080
2026-05-08,1,0.5,obi,0.4252405143117402,2104
2026-05-08,1,0.5,ofi,0.3832084924499877,2104
2026-05-08,1,0.5,aggr,0.37765897067582244,2104
2026-05-08,1,0.5,depth,0.45764355533756085,2104
