wid,user,n_ord,n_fill,n_full,n_part,n_cxl,v_ord_c,v_fill_c,n_fillev,qplace_c,share_q0,med_ttf_s,med_fill_c,fill_completeness,adv1,adv60,adv10_med,adv10_placebo,n_adv_bad,fill_rate,fill_prob,fill_to_order,fill_to_cancel,maker_share,vol_exec_quoted,avg_ttf_s,partial_freq,fill_size,queue_at_fill,adverse_10s
364,0x99c641913b895b0180d6c8ece787a36dd8f99344,21743180.0,168131.0,61692.0,106439.0,21575004.0,728224789.395,1411497.189,168131.0,26.832828620008666,0.8325412922066722,0.909592974,2.6350000000000002,0.4070362432194591,0.09962552798608389,0.2840593142756748,0.23293738548353454,-0.03723843639273977,1,0.007732585573959283,0.004761913231326494,0.002837303467110147,0.007792860664127803,0.06090363842360074,0.0019382712722161711,3.3886821342400273,0.6330718308937674,8.395222707293717,0.0,0.20732758260830458
576,0x98da633cc3814857680eb313de6770b7a801f13b,11215791.0,164772.0,42163.0,122609.0,11050922.0,364634847.508,1373808.093,164772.0,14.656239468174826,0.9224564853251767,1.275064146,2.2520000000000002,0.28814005669127885,0.9478202259880507,1.6310669401715923,1.0628716554496072,0.062168476977476045,1,0.014691072613603445,0.013075679353151771,0.00375925335983882,0.01491024911767543,0.059277419757928024,0.003767626990094135,10.322410118293638,0.7441130774646177,8.337630744301217,0.0,1.3138895448705057
6684,0x847bd1ef4fede0fe191129894d63044843f4d473,5435659.0,228035.0,86014.0,142021.0,5207622.0,45808866.5,911799.343,228035.0,10.68259487156939,0.8470585655710746,0.549292726,1.6360000000000001,0.434890409166736,0.0870520870973273,0.14616713565065126,0.11496829749316906,0.02953269266408453,0,0.04195167504068964,0.045768839335939476,0.01582402428114052,0.04378870048555752,0.03934254912706646,0.01990442926589332,0.9631242578988357,0.6228035170039687,3.9985061196746114,0.0,0.013840151451008632
26795,0x0bfd7d7721f4c116e853c18ea7998e1cc2350a7d,10383779.0,155137.0,26851.0,128286.0,10228631.0,178062490.549,835416.365,155137.0,12.489554773170731,0.8404829279926774,0.658519367,1.574,0.3026380851926859,0.29893495003466447,0.5441611054430701,0.36027133578402093,-0.014930537356325282,0,0.014940321823105056,0.015502686132767353,0.002585860118941283,0.015166936807085914,0.03604675703475231,0.004691703246563916,2.122098467770255,0.8269207216847045,5.385023334214275,0.0,0.4275635175204577
332,0xfc667adba8d4837586078f4fdcdc29804337ca06,17258490.0,57109.0,16762.0,40347.0,17201132.0,564211855.196,822730.404,57109.0,75.3282077824885,0.8725770018736101,1.638240184,7.008,0.326656968006499,0.8382856393377975,0.5041231390052626,0.44157630123176894,0.011266015788278854,0,0.0033090380444639133,0.004463992055120957,0.0009712321298097342,0.0033200721905976885,0.03549937997454911,0.0014581941099309124,5.7465507880159175,0.7064910959743648,14.406317813304382,0.0,0.7470935770517755
893,0xce975678a14f17a15c946b95704744cd7c677e78,4518113.0,177831.0,52486.0,125345.0,4340235.0,52256540.67,813023.079,177831.0,12.771755265527887,0.8932975690402686,1.661711621,1.945,0.398739318485795,0.8260539418220936,1.410350750518636,0.8920076118008562,0.009498667680313082,0,0.03935957334400445,0.039018732293746375,0.01161679665825091,0.04097266622659833,0.03508052585534308,0.015558302722988112,7.920676436162644,0.7048546091513853,4.571886110970528,0.0,1.0102392066229182
22535,0xaca2d79168f9e9072c089e5f7d6eb0daefc13915,20208649.0,126066.0,57018.0,69048.0,20082578.0,246016057.343,613303.908,126066.0,30.89713296074369,0.730292069233576,0.206670274,2.5,0.4343661263551466,-0.13546923953797418,0.09087465659086906,0.11121800666676329,0.013144443774318327,0,0.006238220080916839,0.005739265661149231,0.002821465205318772,0.006277381320266751,0.026462992450644755,0.002492942593356501,2.2427422307794567,0.5477131026605112,4.864943029841512,0.0,-0.14720208822082245
12751,0x5a209e55c592687bb3f105f2f645c09238612d1b,2778871.0,75656.0,42283.0,33373.0,2703130.0,248377710.065,548163.715,75656.0,21.58592114999221,0.91105794649466,3.9827406720000003,3.1835000000000004,0.503888286311958,0.9802203853506198,1.4914670898267697,0.7682667450550251,0.0008932297529519637,0,0.027225445153805268,0.004379892014928824,0.015215891633688645,0.027988295050552506,0.023652306894744887,0.0022069762816339135,23.17374089914377,0.44111504705509147,7.245475771914983,0.0,1.0984213537672312
22301,0x0b1ace05eb9ef1c3a1951b763700ecad24f27741,16922047.0,108732.0,49381.0,59351.0,16813286.0,201439972.43400002,496292.32300000003,108732.0,31.69061355307665,0.7016517676488983,0.202358541,2.5,0.4328507283838311,-0.1807028533286558,-0.011619017679583387,0.0,0.009094092581544427,0,0.006425463775156752,0.005691853995738916,0.0029181457775173418,0.006467028515425242,0.021414146927076078,0.0024637231479100095,2.6488450129675902,0.5458466688739285,4.564363048596549,0.0,-0.2560282486489245
18419,0x25ad068ba92b61ce2217c41270a9a69c247679af,17739315.0,42973.0,19356.0,23617.0,17696287.0,695791627.345,479266.719,42973.0,20.966947243171454,0.7809089428245642,0.401186091,8.092,0.5508666135263963,-0.2045013392812904,0.3241876746109216,0.31795996884083877,-0.02028196347646127,0,0.002422472344619846,0.0012504076490828617,0.001091135706198351,0.0024283625146902287,0.020679521850922693,0.0006888078271777785,1.819746489922556,0.5495776417750681,11.15274053475438,0.0,-0.0855675761505715
