coin,px,lag,rho,se,n_days,t
xyz:MU,mid,1,0.006078960033909213,0.006205370569101196,98,0.9796288499156799
xyz:MU,mid,2,-0.011364128174039942,0.004993106662408936,98,-2.2759634316638637
xyz:MU,mid,3,-0.0018777976052150895,0.004954865652190905,98,-0.3789805288433561
xyz:MU,mid,4,0.004836712526974978,0.00443747122295884,98,1.0899704547830127
xyz:MU,mid,5,0.0006095799752956013,0.0045388958801094535,98,0.13430137888091442
xyz:MU,mid,6,-0.007534292803168168,0.004234388706004543,98,-1.779310622211943
xyz:MU,mid,7,-0.001303443555203268,0.004325658137783986,98,-0.3013283791009467
xyz:MU,mid,8,-0.008827366202381786,0.004227514714104754,98,-2.088074625247313
xyz:MU,mid,9,-0.004240332814414572,0.003915266000360417,98,-1.0830254736266274
xyz:MU,mid,10,0.00746397871298911,0.003747705352824552,98,1.9916130032377533
xyz:MU,mid,11,0.004939015842278636,0.0035364566602125954,98,1.396600133078324
xyz:MU,mid,12,0.0046011840048012015,0.004276828056346,98,1.075840305988902
xyz:MU,mid,13,-0.0007555882694862663,0.0038668405255753435,98,-0.1954019733911429
xyz:MU,mid,14,-0.002522806850728422,0.004017232235120946,98,-0.6279962678464538
xyz:MU,mid,15,0.001012598044830371,0.003715647859035081,98,0.27252260796676603
xyz:MU,mid,16,-0.003910452309420762,0.0037840959606282878,98,-1.0333914229731886
xyz:MU,mid,17,-0.008893446023143872,0.003660926434937887,98,-2.4292883730931245
xyz:MU,mid,18,-0.007609663282364668,0.004157484453196244,98,-1.8303527933855326
xyz:MU,mid,19,-0.001649580056207306,0.0037951830110244905,98,-0.43465099085221987
xyz:MU,mid,20,0.0031712329398415158,0.003916323948858671,98,0.809747350130651
xyz:MU,mid,21,0.001036538417837437,0.0036921279171617666,98,0.2807428239469695
xyz:MU,mid,22,0.005527910491207611,0.00379581794531723,98,1.4563160222231426
xyz:MU,mid,23,0.0019017442797833936,0.003668499525417884,98,0.5183983987477178
xyz:MU,mid,24,-0.00267545171924685,0.0032190113444945452,98,-0.8311408171402248
xyz:MU,mid,25,0.00014313615280846974,0.0035872159455465564,98,0.03990173855749328
xyz:MU,mid,26,-0.006562554385978404,0.0042067586480828345,98,-1.5600025898726533
xyz:MU,mid,27,-0.00032744999824535514,0.00375053968399099,98,-0.08730743461882585
xyz:MU,mid,28,-0.008271808277275408,0.0036195990409465333,98,-2.285283033756223
xyz:MU,mid,29,0.002448480034151065,0.003479108020082622,98,0.7037666033987983
xyz:MU,mid,30,0.005722980415195542,0.0037301238735160096,98,1.5342601504011362
xyz:MU,mid,31,0.0005332931715744194,0.003438052375033926,98,0.15511490617392268
xyz:MU,mid,32,-0.0010508786757145224,0.0038574987590223203,98,-0.27242489015884136
xyz:MU,mid,33,-0.003937738428649709,0.0031361029661811715,98,-1.2556151603162087
xyz:MU,mid,34,0.0033418299161316997,0.0038014774099585126,98,0.879087143166312
xyz:MU,mid,35,-0.002016553967566607,0.003303507237829984,98,-0.6104281971821094
xyz:MU,mid,36,0.0025273207513676356,0.0036191888194951525,98,0.6983113834110972
xyz:MU,mid,37,-0.002299589317146476,0.003457254637820574,98,-0.6651489572073057
xyz:MU,mid,38,0.00008570416914300453,0.0034197393915838268,98,0.02506160830674038
xyz:MU,mid,39,0.0004047824112436355,0.003958720743748003,98,0.10225081218040127
xyz:MU,mid,40,-0.0017562768250488745,0.0038310402132109363,98,-0.45843340902362234
xyz:MU,mid,41,-0.00278252659932587,0.0035589683515054207,98,-0.7818351624702926
xyz:MU,mid,42,-0.0007686515185771036,0.004101861165965912,98,-0.18739091536173447
xyz:MU,mid,43,-0.0046228121889725264,0.0033090172024450933,98,-1.3970348010148288
xyz:MU,mid,44,-0.0019131539563477086,0.0036480997620687576,98,-0.5244247912954005
xyz:MU,mid,45,-0.0035695631711460778,0.003255305284297366,98,-1.096537147641605
xyz:MU,mid,46,0.004668110662026464,0.003448848381613897,98,1.3535273649350772
xyz:MU,mid,47,-0.007348140011049549,0.0033829008030095585,98,-2.1721417324777486
xyz:MU,mid,48,-0.0048283344476539765,0.003746526634673073,98,-1.2887495321584184
xyz:MU,mid,49,-0.004915615676128351,0.0034648173270152697,98,-1.4187228971066295
xyz:MU,mid,50,0.001692726364668676,0.003412743608213778,98,0.4960016218606721
xyz:MU,mid,51,-0.004492622971391341,0.004441219444583935,98,-1.0115741920544126
xyz:MU,mid,52,-0.004701123835678654,0.0034462261254844815,98,-1.3641367874598638
xyz:MU,mid,53,-0.0012109504982915592,0.0031193676450658554,98,-0.38820384003373665
xyz:MU,mid,54,-0.00005881215983632607,0.0035235436792917124,98,-0.016691196474155314
xyz:MU,mid,55,-0.0022904408005289503,0.0032123633863382,98,-0.7130080022297363
xyz:MU,mid,56,0.00015179924837369226,0.003360973650101639,98,0.045165259885063876
xyz:MU,mid,57,-0.004790610016231903,0.0034073978252504556,98,-1.4059438497997445
xyz:MU,mid,58,-0.001912262916570506,0.0031624530648112605,98,-0.6046770900249336
xyz:MU,mid,59,-0.0005048795030831426,0.003064102225895305,98,-0.1647724083146805
xyz:MU,mid,60,0.007127536098660981,0.0033670261029570265,98,2.116863927013027
xyz:MU,micro,1,0.0029217722376250243,0.006515412526384555,98,0.4484400988875427
xyz:MU,micro,2,-0.011582118535265088,0.004990670068801891,98,-2.320754202460353
xyz:MU,micro,3,-0.0016530845421281499,0.0049688420435384005,98,-0.3326900971379962
xyz:MU,micro,4,0.004422553521705399,0.004450020910502791,98,0.993827582083364
xyz:MU,micro,5,0.000584852390593448,0.004503568261813115,98,0.12986422245501597
xyz:MU,micro,6,-0.007883763755109909,0.004272480433489926,98,-1.845242799314624
xyz:MU,micro,7,-0.0007953887372786569,0.004313146749822616,98,-0.1844103118706472
xyz:MU,micro,8,-0.008548840720908363,0.004176762046112723,98,-2.046762689980076
xyz:MU,micro,9,-0.004745262031802675,0.0038770103611214563,98,-1.223948762012096
xyz:MU,micro,10,0.006869669402577416,0.00372902027879451,98,1.8422183010488191
xyz:MU,micro,11,0.0054285350299578695,0.0035373399999121926,98,1.5346376175580019
xyz:MU,micro,12,0.004486448113161032,0.004328101903898121,98,1.0365856009814132
xyz:MU,micro,13,-0.0014511679843698623,0.0038404289723590257,98,-0.37786611725264285
xyz:MU,micro,14,-0.0020336186559272752,0.003992129341102722,98,-0.5094070061781968
xyz:MU,micro,15,0.0007419893419962836,0.0037510047472599038,98,0.1978108245632865
xyz:MU,micro,16,-0.003857241518735216,0.003764627282708322,98,-1.0246011700686253
xyz:MU,micro,17,-0.008967879458153326,0.0036892843124412384,98,-2.4307910962327504
xyz:MU,micro,18,-0.008173683503255093,0.004047704051137996,98,-2.0193382223577077
xyz:MU,micro,19,-0.0008801879918107168,0.003827687368057814,98,-0.22995294734776844
xyz:MU,micro,20,0.0027617403764112316,0.003910464459978021,98,0.7062435689357357
xyz:MU,micro,21,0.0012817718844142774,0.0036666461807784677,98,0.34957610339761325
xyz:MU,micro,22,0.005459217709460128,0.0038225637079743,98,1.4281561084440746
xyz:MU,micro,23,0.001571433680188772,0.003680254110827728,98,0.42699053730160497
xyz:MU,micro,24,-0.0029450417671425255,0.0032568383267523424,98,-0.9042640351384177
xyz:MU,micro,25,0.0004165000418412834,0.0035730592187577454,98,0.11656678950484595
xyz:MU,micro,26,-0.00615849732225074,0.004256595175201104,98,-1.4468130204465075
xyz:MU,micro,27,0.0002205423396348554,0.00375656402021781,98,0.05870852684737903
xyz:MU,micro,28,-0.008085499747175548,0.0036092215090602403,98,-2.240233725438711
xyz:MU,micro,29,0.0021877063414106595,0.0035165768429159983,98,0.6221124801574308
xyz:MU,micro,30,0.005643675825404212,0.0037788139126794457,98,1.493504564082238
xyz:MU,micro,31,0.00017779829765725432,0.0034675937333683658,98,0.05127425855754557
xyz:MU,micro,32,-0.001392257616176321,0.003782907894528341,98,-0.3680389940738723
xyz:MU,micro,33,-0.0036039842312128737,0.0031253364872992797,98,-1.1531507873980031
xyz:MU,micro,34,0.0031340447980156673,0.003776825295766634,98,0.8298093114152126
xyz:MU,micro,35,-0.0020790415788411237,0.0032343443294143115,98,-0.6428015594794773
xyz:MU,micro,36,0.0024696030086869022,0.0036487478342527354,98,0.6768357586960179
xyz:MU,micro,37,-0.00209859808484278,0.0034767656034263464,98,-0.6036064331672562
xyz:MU,micro,38,0.00025851457001431136,0.0033694247831339225,98,0.07672365066830944
xyz:MU,micro,39,0.00037813335125929444,0.003992447200310243,98,0.09471217333316535
xyz:MU,micro,40,-0.0017743210434158327,0.003869647742168671,98,-0.458522625736845
xyz:MU,micro,41,-0.002373689099000353,0.0035608612314081147,98,-0.666605336389842
xyz:MU,micro,42,-0.0007898792973345958,0.004055708116454311,98,-0.19475743190936162
xyz:MU,micro,43,-0.004867744339682422,0.0033050020813180448,98,-1.4728415353194426
xyz:MU,micro,44,-0.0017882676611358534,0.0036169401921265555,98,-0.4944144957189501
xyz:MU,micro,45,-0.004119399531358136,0.0032747120589250965,98,-1.2579425174591694
xyz:MU,micro,46,0.005337321326125439,0.003454155236630353,98,1.545188609221912
xyz:MU,micro,47,-0.006876710739215515,0.0034093562483956713,98,-2.0170114937245014
xyz:MU,micro,48,-0.005299615486163837,0.0037906091011861323,98,-1.3980907407481074
xyz:MU,micro,49,-0.00414749221402734,0.0034517212156780818,98,-1.201572188156156
xyz:MU,micro,50,0.0013885544542156004,0.003453201586630245,98,0.4021063987667747
xyz:MU,micro,51,-0.004875678986040528,0.0044253396463874535,98,-1.1017637911749218
xyz:MU,micro,52,-0.004532743644537607,0.0033478934001259395,98,-1.3539091908861542
xyz:MU,micro,53,-0.000542424306139189,0.0031838252091765697,98,-0.17036874529914153
xyz:MU,micro,54,-0.0011343021925752893,0.0035355916059972357,98,-0.32082387305457816
xyz:MU,micro,55,-0.0023229708906407475,0.003245509872014156,98,-0.7157491371915369
xyz:MU,micro,56,0.00046712881135661967,0.0033669467084255934,98,0.13873959162693497
xyz:MU,micro,57,-0.004688838976563291,0.0033517708735313293,98,-1.398913933404781
xyz:MU,micro,58,-0.001782543519765742,0.0031963780814633458,98,-0.5576760553149799
xyz:MU,micro,59,-0.0004580687539352299,0.0030680530030618718,98,-0.14930275111873362
xyz:MU,micro,60,0.007211320273917401,0.0033393485643292728,98,2.159499116369074
xyz:MU,trade,1,-0.007690685078269078,0.007064909544923172,98,-1.0885751656644473
xyz:MU,trade,2,-0.011785480455524387,0.004912429703614948,98,-2.3991143215447366
xyz:MU,trade,3,-0.0017346683829686578,0.005035930122152931,98,-0.34445839018653074
xyz:MU,trade,4,0.005804991943042101,0.004374852344206689,98,1.3269000840060914
xyz:MU,trade,5,0.0008945139862996354,0.004383689287126112,98,0.2040550613216629
xyz:MU,trade,6,-0.0078015678743227615,0.004222573806737242,98,-1.847585911198314
xyz:MU,trade,7,-0.002366014533668758,0.004355750774290162,98,-0.5431932762623081
xyz:MU,trade,8,-0.008780459052829691,0.004258590274951135,98,-2.0618229240028128
xyz:MU,trade,9,-0.001955911074189049,0.003855251619698125,98,-0.5073368140734226
xyz:MU,trade,10,0.0053836787326104725,0.003697417325991698,98,1.456064668374024
xyz:MU,trade,11,0.005981276029749636,0.003689332119183941,98,1.6212354530642417
xyz:MU,trade,12,0.0037090349378472625,0.004146644721475183,98,0.8944665354710593
xyz:MU,trade,13,-0.0018918848853970095,0.0037706861765885377,98,-0.5017349089254252
xyz:MU,trade,14,-0.0008160755759026689,0.003922558123563826,98,-0.20804677717846695
xyz:MU,trade,15,0.0008248835684382418,0.0036435891557728885,98,0.22639313412471312
xyz:MU,trade,16,-0.0032848178859718954,0.0038576068943552344,98,-0.8515170093610392
xyz:MU,trade,17,-0.01114849360290197,0.00389470965784883,98,-2.8624710395125144
xyz:MU,trade,18,-0.005411161897424395,0.004257558189664111,98,-1.2709543020600018
xyz:MU,trade,19,-0.0013558406441697979,0.003731468157638585,98,-0.3633531325717718
xyz:MU,trade,20,0.0021807301932212915,0.003767191707251148,98,0.5788742285198252
xyz:MU,trade,21,0.002329624718784684,0.0036117720274944113,98,0.6450087937584507
xyz:MU,trade,22,0.004287362553697676,0.0038120688230934767,98,1.124681308932534
