col,family,h,nday,mean,med,pos,worst,best
bid_sz,1.1 最良気配,1s,98,-0.08228038116068644,-0.08413234821768723,11,-0.21757243082554611,0.13026301242393531
bid_sz,1.1 最良気配,10s,98,-0.01256523610804865,-0.007847822819812235,38,-0.16837733700939794,0.1747633187881283
micro_bid__dd,61 加速と高次の動き,1s,98,-0.06547043790748026,-0.05712854799447504,1,-0.2691041962569187,0.0051487077607285095
micro_bid__dd,61 加速と高次の動き,10s,98,-0.018181918629150962,-0.015260375500125411,30,-0.10819827661774177,0.05284358141617716
ofi_norm_500ms,10 注文フローの偏り OFI,1s,98,0.06352272310464528,0.058241066923371373,94,-0.038038193860098685,0.1962083420830096
ofi_norm_500ms,10 注文フローの偏り OFI,10s,98,0.0425479601017484,0.0420429885521305,84,-0.030434734947788006,0.1239710420259357
ofi_norm_100ms,10 注文フローの偏り OFI,1s,98,0.05885230006375766,0.05944021849184422,94,-0.022431031533995935,0.18063522733275655
ofi_norm_100ms,10 注文フローの偏り OFI,10s,98,0.030306272424017008,0.030969302179429167,82,-0.06699075002096679,0.11105056748444098
ret_500ms,1.2 中値,1s,98,0.06337058235828122,0.05759045604024392,91,-0.06005461261265987,0.18842657709912414
ret_500ms,1.2 中値,10s,98,0.039192781801212905,0.03925451720027201,82,-0.06459128700887748,0.12757675059574683
ofi_norm_1s,10 注文フローの偏り OFI,1s,98,0.05708423829552544,0.05253663568129746,93,-0.040125709144606836,0.18802189921787715
ofi_norm_1s,10 注文フローの偏り OFI,10s,98,0.0443137212207113,0.041665544458201656,89,-0.02972031272631146,0.12406822927009897
ofi_norm_5s,10 注文フローの偏り OFI,1s,98,0.041560045893500784,0.0408719292905598,86,-0.02645517701798396,0.1468066561552621
ofi_norm_5s,10 注文フローの偏り OFI,10s,98,0.04298347068665201,0.04013411733077239,89,-0.06427006663766811,0.15623883916893244
ofi_1s,10 注文フローの偏り OFI,1s,98,0.04829901372105929,0.043379070229556976,83,-0.03988904298065487,0.17195657418741456
ofi_1s,10 注文フローの偏り OFI,10s,98,0.04387206325912806,0.04529516725455579,87,-0.030873887486120924,0.13409310176205716
ofi_norm_10s,10 注文フローの偏り OFI,1s,98,0.035293502214415545,0.03355897505185425,86,-0.025486916520571272,0.1251358833738031
ofi_norm_10s,10 注文フローの偏り OFI,10s,98,0.041423312843372084,0.042368609544053235,88,-0.038840735249754725,0.11559010447100507
ofi_5s,10 注文フローの偏り OFI,1s,98,0.03935799232586932,0.03669671956626447,86,-0.05387780214379268,0.13027531916592927
ofi_5s,10 注文フローの偏り OFI,10s,98,0.04186313345996436,0.03709527595011351,84,-0.06325368366052952,0.17750349668270582
ofi_500ms,10 注文フローの偏り OFI,1s,98,0.052147512989008514,0.04585534663099351,90,-0.06249060772162155,0.18386218828940853
ofi_500ms,10 注文フローの偏り OFI,10s,98,0.03995962081784758,0.04197052855205201,82,-0.03068166123086448,0.12575210790010163
ret_1s,1.2 中値,1s,98,0.055419151187448674,0.053031435744628305,81,-0.07000295894089278,0.18647410480898574
ret_1s,1.2 中値,10s,98,0.04193051652791909,0.040993672158808475,82,-0.045065338076065053,0.1178796010846037
ofi_1s__z,60 衝撃(z 得点),1s,98,0.03833354783793456,0.03697601576695236,78,-0.05203988579663508,0.16994954059853393
ofi_1s__z,60 衝撃(z 得点),10s,98,0.033385174911699296,0.03380358820659311,84,-0.0533761146516588,0.11655268023245985
